result/io_traces.ns825.oracleGeneral.zst S3FIFO-d cache size   388096, 2800000 req, miss ratio 0.7310, byte miss ratio 0.7310
result/io_traces.ns825.oracleGeneral.zst S3FIFO-d cache size   776192, 2800000 req, miss ratio 0.7154, byte miss ratio 0.7154
result/io_traces.ns825.oracleGeneral.zst S3FIFO-d cache size  1552385, 2800000 req, miss ratio 0.6948, byte miss ratio 0.6948
result/io_traces.ns825.oracleGeneral.zst S3FIFO cache size     1940, 2800000 req, miss ratio 0.7556, byte miss ratio 0.7556
result/io_traces.ns825.oracleGeneral.zst S3FIFO cache size     5821, 2800000 req, miss ratio 0.7476, byte miss ratio 0.7476
result/io_traces.ns825.oracleGeneral.zst S3FIFO cache size    19404, 2800000 req, miss ratio 0.7422, byte miss ratio 0.7422
result/io_traces.ns825.oracleGeneral.zst S3FIFO cache size    58214, 2800000 req, miss ratio 0.7387, byte miss ratio 0.7387
result/io_traces.ns825.oracleGeneral.zst S3FIFO cache size   194048, 2800000 req, miss ratio 0.7342, byte miss ratio 0.7342
result/io_traces.ns825.oracleGeneral.zst S3FIFO cache size   388096, 2800000 req, miss ratio 0.7310, byte miss ratio 0.7310
result/io_traces.ns825.oracleGeneral.zst S3FIFO cache size   776192, 2800000 req, miss ratio 0.7154, byte miss ratio 0.7154
result/io_traces.ns825.oracleGeneral.zst S3FIFO cache size  1552385, 2800000 req, miss ratio 0.6948, byte miss ratio 0.6948
result/io_traces.ns825.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1940, 2800000 req, miss ratio 0.8105, byte miss ratio 0.8105
result/io_traces.ns825.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5821, 2800000 req, miss ratio 0.7715, byte miss ratio 0.7715
result/io_traces.ns825.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    19404, 2800000 req, miss ratio 0.7447, byte miss ratio 0.7447
result/io_traces.ns825.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    58214, 2800000 req, miss ratio 0.7376, byte miss ratio 0.7376
result/io_traces.ns825.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   194048, 2800000 req, miss ratio 0.7256, byte miss ratio 0.7256
result/io_traces.ns825.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   388096, 2800000 req, miss ratio 0.7110, byte miss ratio 0.7110
result/io_traces.ns825.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   776192, 2800000 req, miss ratio 0.6996, byte miss ratio 0.6996
result/io_traces.ns825.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1552385, 2800000 req, miss ratio 0.6956, byte miss ratio 0.6956
result/io_traces.ns825.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1940, 2800000 req, miss ratio 0.7608, byte miss ratio 0.7608
result/io_traces.ns825.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5821, 2800000 req, miss ratio 0.7524, byte miss ratio 0.7524
result/io_traces.ns825.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    19404, 2800000 req, miss ratio 0.7405, byte miss ratio 0.7405
result/io_traces.ns825.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    58214, 2800000 req, miss ratio 0.7361, byte miss ratio 0.7361
result/io_traces.ns825.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   194048, 2800000 req, miss ratio 0.7261, byte miss ratio 0.7261
result/io_traces.ns825.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   388096, 2800000 req, miss ratio 0.7123, byte miss ratio 0.7123
result/io_traces.ns825.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   776192, 2800000 req, miss ratio 0.6987, byte miss ratio 0.6987
result/io_traces.ns825.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1552385, 2800000 req, miss ratio 0.6966, byte miss ratio 0.6966
