result/tencentBlock.ns11509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14775, 7191319 req, miss ratio 0.5041, byte miss ratio 0.5041
result/tencentBlock.ns11509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    44325, 7191319 req, miss ratio 0.4424, byte miss ratio 0.4424
result/tencentBlock.ns11509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   147751, 7191319 req, miss ratio 0.3600, byte miss ratio 0.3600
result/tencentBlock.ns11509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   295503, 7191319 req, miss ratio 0.3170, byte miss ratio 0.3170
result/tencentBlock.ns11509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   591006, 7191319 req, miss ratio 0.2648, byte miss ratio 0.2648
result/tencentBlock.ns11509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1182012, 7191319 req, miss ratio 0.2167, byte miss ratio 0.2167
result/tencentBlock.ns11509.oracleGeneral.zst B-LRU cache size     1477, 7191319 req, miss ratio 0.7001, byte miss ratio 0.7001
result/tencentBlock.ns11509.oracleGeneral.zst B-LRU cache size     4432, 7191319 req, miss ratio 0.5594, byte miss ratio 0.5594
result/tencentBlock.ns11509.oracleGeneral.zst B-LRU cache size    14775, 7191319 req, miss ratio 0.4926, byte miss ratio 0.4926
result/tencentBlock.ns11509.oracleGeneral.zst B-LRU cache size    44325, 7191319 req, miss ratio 0.4388, byte miss ratio 0.4388
result/tencentBlock.ns11509.oracleGeneral.zst B-LRU cache size   147751, 7191319 req, miss ratio 0.3705, byte miss ratio 0.3705
result/tencentBlock.ns11509.oracleGeneral.zst B-LRU cache size   295503, 7191319 req, miss ratio 0.3296, byte miss ratio 0.3296
result/tencentBlock.ns11509.oracleGeneral.zst B-LRU cache size   591006, 7191319 req, miss ratio 0.3056, byte miss ratio 0.3056
result/tencentBlock.ns11509.oracleGeneral.zst B-LRU cache size  1182012, 7191319 req, miss ratio 0.3047, byte miss ratio 0.3047
result/tencentBlock.ns11509.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1477, 7191319 req, miss ratio 0.6641, byte miss ratio 0.6641
result/tencentBlock.ns11509.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4432, 7191319 req, miss ratio 0.5385, byte miss ratio 0.5385
result/tencentBlock.ns11509.oracleGeneral.zst S4LRU(25:25:25:25) cache size    14775, 7191319 req, miss ratio 0.4815, byte miss ratio 0.4815
result/tencentBlock.ns11509.oracleGeneral.zst S4LRU(25:25:25:25) cache size    44325, 7191319 req, miss ratio 0.4322, byte miss ratio 0.4322
result/tencentBlock.ns11509.oracleGeneral.zst S4LRU(25:25:25:25) cache size   147751, 7191319 req, miss ratio 0.3502, byte miss ratio 0.3502
result/tencentBlock.ns11509.oracleGeneral.zst S4LRU(25:25:25:25) cache size   295503, 7191319 req, miss ratio 0.2883, byte miss ratio 0.2883
result/tencentBlock.ns11509.oracleGeneral.zst S4LRU(25:25:25:25) cache size   591006, 7191319 req, miss ratio 0.2533, byte miss ratio 0.2533
result/tencentBlock.ns11509.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1182012, 7191319 req, miss ratio 0.2103, byte miss ratio 0.2103
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-d cache size     1477, 7191319 req, miss ratio 0.6078, byte miss ratio 0.6078
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-d cache size     4432, 7191319 req, miss ratio 0.5240, byte miss ratio 0.5240
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-d cache size    14775, 7191319 req, miss ratio 0.4742, byte miss ratio 0.4742
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-d cache size    44325, 7191319 req, miss ratio 0.4220, byte miss ratio 0.4220
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-d cache size   147751, 7191319 req, miss ratio 0.3461, byte miss ratio 0.3461
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-d cache size   295503, 7191319 req, miss ratio 0.2949, byte miss ratio 0.2949
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-d cache size   591006, 7191319 req, miss ratio 0.2547, byte miss ratio 0.2547
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO-d cache size  1182012, 7191319 req, miss ratio 0.2101, byte miss ratio 0.2101
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO cache size     1477, 7191319 req, miss ratio 0.6134, byte miss ratio 0.6134
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO cache size     4432, 7191319 req, miss ratio 0.5241, byte miss ratio 0.5241
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO cache size    14775, 7191319 req, miss ratio 0.4748, byte miss ratio 0.4748
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO cache size    44325, 7191319 req, miss ratio 0.4245, byte miss ratio 0.4245
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO cache size   147751, 7191319 req, miss ratio 0.3531, byte miss ratio 0.3531
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO cache size   295503, 7191319 req, miss ratio 0.2970, byte miss ratio 0.2970
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO cache size   591006, 7191319 req, miss ratio 0.2547, byte miss ratio 0.2547
result/tencentBlock.ns11509.oracleGeneral.zst S3FIFO cache size  1182012, 7191319 req, miss ratio 0.2101, byte miss ratio 0.2101
result/tencentBlock.ns11509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1477, 7191319 req, miss ratio 0.6070, byte miss ratio 0.6070
result/tencentBlock.ns11509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4432, 7191319 req, miss ratio 0.5284, byte miss ratio 0.5284
result/tencentBlock.ns11509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    14775, 7191319 req, miss ratio 0.4835, byte miss ratio 0.4835
result/tencentBlock.ns11509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    44325, 7191319 req, miss ratio 0.4455, byte miss ratio 0.4455
result/tencentBlock.ns11509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   147751, 7191319 req, miss ratio 0.3639, byte miss ratio 0.3639
result/tencentBlock.ns11509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   295503, 7191319 req, miss ratio 0.3030, byte miss ratio 0.3030
result/tencentBlock.ns11509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   591006, 7191319 req, miss ratio 0.2671, byte miss ratio 0.2671
result/tencentBlock.ns11509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1182012, 7191319 req, miss ratio 0.2225, byte miss ratio 0.2225
result/tencentBlock.ns11509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1477, 7191319 req, miss ratio 0.6024, byte miss ratio 0.6024
result/tencentBlock.ns11509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4432, 7191319 req, miss ratio 0.5279, byte miss ratio 0.5279
result/tencentBlock.ns11509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    14775, 7191319 req, miss ratio 0.4822, byte miss ratio 0.4822
result/tencentBlock.ns11509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    44325, 7191319 req, miss ratio 0.4411, byte miss ratio 0.4411
result/tencentBlock.ns11509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   147751, 7191319 req, miss ratio 0.3576, byte miss ratio 0.3576
result/tencentBlock.ns11509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   295503, 7191319 req, miss ratio 0.3017, byte miss ratio 0.3017
result/tencentBlock.ns11509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   591006, 7191319 req, miss ratio 0.2566, byte miss ratio 0.2566
result/tencentBlock.ns11509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1182012, 7191319 req, miss ratio 0.2195, byte miss ratio 0.2195
