result/cdn1_sjc.ns509.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1009, 1497698 req, miss ratio 0.3981, byte miss ratio 0.3981
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     3365, 1497698 req, miss ratio 0.2095, byte miss ratio 0.2095
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     6730, 1497698 req, miss ratio 0.0932, byte miss ratio 0.0932
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    13461, 1497698 req, miss ratio 0.0379, byte miss ratio 0.0379
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    26923, 1497698 req, miss ratio 0.0232, byte miss ratio 0.0232
result/cdn1_sjc.ns509.oracleGeneral.bin.zst TwoQ cache size       33, 1497698 req, miss ratio 0.7730, byte miss ratio 0.7730
result/cdn1_sjc.ns509.oracleGeneral.bin.zst TwoQ cache size      100, 1497698 req, miss ratio 0.6640, byte miss ratio 0.6640
result/cdn1_sjc.ns509.oracleGeneral.bin.zst TwoQ cache size      336, 1497698 req, miss ratio 0.5190, byte miss ratio 0.5190
result/cdn1_sjc.ns509.oracleGeneral.bin.zst TwoQ cache size     1009, 1497698 req, miss ratio 0.3917, byte miss ratio 0.3917
result/cdn1_sjc.ns509.oracleGeneral.bin.zst TwoQ cache size     3365, 1497698 req, miss ratio 0.2140, byte miss ratio 0.2140
result/cdn1_sjc.ns509.oracleGeneral.bin.zst TwoQ cache size     6730, 1497698 req, miss ratio 0.1032, byte miss ratio 0.1032
result/cdn1_sjc.ns509.oracleGeneral.bin.zst TwoQ cache size    13461, 1497698 req, miss ratio 0.0440, byte miss ratio 0.0440
result/cdn1_sjc.ns509.oracleGeneral.bin.zst TwoQ cache size    26923, 1497698 req, miss ratio 0.0276, byte miss ratio 0.0276
result/cdn1_sjc.ns509.oracleGeneral.bin.zst B-LRU cache size       33, 1497698 req, miss ratio 0.7268, byte miss ratio 0.7268
result/cdn1_sjc.ns509.oracleGeneral.bin.zst B-LRU cache size      100, 1497698 req, miss ratio 0.6293, byte miss ratio 0.6293
result/cdn1_sjc.ns509.oracleGeneral.bin.zst B-LRU cache size      336, 1497698 req, miss ratio 0.5218, byte miss ratio 0.5218
result/cdn1_sjc.ns509.oracleGeneral.bin.zst B-LRU cache size     1009, 1497698 req, miss ratio 0.4175, byte miss ratio 0.4175
result/cdn1_sjc.ns509.oracleGeneral.bin.zst B-LRU cache size     3365, 1497698 req, miss ratio 0.2357, byte miss ratio 0.2357
result/cdn1_sjc.ns509.oracleGeneral.bin.zst B-LRU cache size     6730, 1497698 req, miss ratio 0.1070, byte miss ratio 0.1070
result/cdn1_sjc.ns509.oracleGeneral.bin.zst B-LRU cache size    13461, 1497698 req, miss ratio 0.0464, byte miss ratio 0.0464
result/cdn1_sjc.ns509.oracleGeneral.bin.zst B-LRU cache size    26923, 1497698 req, miss ratio 0.0383, byte miss ratio 0.0383
result/cdn1_sjc.ns509.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       33, 1497698 req, miss ratio 0.7312, byte miss ratio 0.7312
result/cdn1_sjc.ns509.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      100, 1497698 req, miss ratio 0.6335, byte miss ratio 0.6335
result/cdn1_sjc.ns509.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      336, 1497698 req, miss ratio 0.5268, byte miss ratio 0.5268
