result/io_traces.ns611.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    36194, 2600000 req, miss ratio 0.2942, byte miss ratio 0.2942
result/io_traces.ns611.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    72388, 2600000 req, miss ratio 0.1937, byte miss ratio 0.1937
result/io_traces.ns611.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   144777, 2600000 req, miss ratio 0.0831, byte miss ratio 0.0831
result/io_traces.ns611.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      180, 2600000 req, miss ratio 0.7155, byte miss ratio 0.7155
result/io_traces.ns611.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      542, 2600000 req, miss ratio 0.6903, byte miss ratio 0.6903
result/io_traces.ns611.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1809, 2600000 req, miss ratio 0.6212, byte miss ratio 0.6212
result/io_traces.ns611.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5429, 2600000 req, miss ratio 0.5315, byte miss ratio 0.5315
result/io_traces.ns611.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18097, 2600000 req, miss ratio 0.4285, byte miss ratio 0.4285
result/io_traces.ns611.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    36194, 2600000 req, miss ratio 0.3915, byte miss ratio 0.3915
result/io_traces.ns611.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    72388, 2600000 req, miss ratio 0.1349, byte miss ratio 0.1349
result/io_traces.ns611.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   144777, 2600000 req, miss ratio 0.0806, byte miss ratio 0.0806
