result/tencentBlock.ns1841.oracleGeneral.zst B-LRU cache size    46603, 1205120 req, miss ratio 0.0807, byte miss ratio 0.0807
result/tencentBlock.ns1841.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       58, 1205120 req, miss ratio 0.3714, byte miss ratio 0.3714
result/tencentBlock.ns1841.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      174, 1205120 req, miss ratio 0.2372, byte miss ratio 0.2372
result/tencentBlock.ns1841.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      582, 1205120 req, miss ratio 0.1936, byte miss ratio 0.1936
result/tencentBlock.ns1841.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1747, 1205120 req, miss ratio 0.1858, byte miss ratio 0.1858
result/tencentBlock.ns1841.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5825, 1205120 req, miss ratio 0.1745, byte miss ratio 0.1745
result/tencentBlock.ns1841.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    11650, 1205120 req, miss ratio 0.1565, byte miss ratio 0.1565
result/tencentBlock.ns1841.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    23301, 1205120 req, miss ratio 0.1000, byte miss ratio 0.1000
result/tencentBlock.ns1841.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    46603, 1205120 req, miss ratio 0.0600, byte miss ratio 0.0600
result/tencentBlock.ns1841.oracleGeneral.zst TwoQ cache size       58, 1205120 req, miss ratio 0.2704, byte miss ratio 0.2704
result/tencentBlock.ns1841.oracleGeneral.zst TwoQ cache size      174, 1205120 req, miss ratio 0.1972, byte miss ratio 0.1972
result/tencentBlock.ns1841.oracleGeneral.zst TwoQ cache size      582, 1205120 req, miss ratio 0.1864, byte miss ratio 0.1864
result/tencentBlock.ns1841.oracleGeneral.zst TwoQ cache size     1747, 1205120 req, miss ratio 0.1842, byte miss ratio 0.1842
result/tencentBlock.ns1841.oracleGeneral.zst TwoQ cache size     5825, 1205120 req, miss ratio 0.1813, byte miss ratio 0.1813
result/tencentBlock.ns1841.oracleGeneral.zst TwoQ cache size    11650, 1205120 req, miss ratio 0.1322, byte miss ratio 0.1322
result/tencentBlock.ns1841.oracleGeneral.zst TwoQ cache size    23301, 1205120 req, miss ratio 0.0695, byte miss ratio 0.0695
result/tencentBlock.ns1841.oracleGeneral.zst TwoQ cache size    46603, 1205120 req, miss ratio 0.0627, byte miss ratio 0.0627
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO cache size       58, 1205120 req, miss ratio 0.2709, byte miss ratio 0.2709
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO cache size      174, 1205120 req, miss ratio 0.1950, byte miss ratio 0.1950
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO cache size      582, 1205120 req, miss ratio 0.1865, byte miss ratio 0.1865
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO cache size     1747, 1205120 req, miss ratio 0.1827, byte miss ratio 0.1827
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO cache size     5825, 1205120 req, miss ratio 0.1668, byte miss ratio 0.1668
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO cache size    11650, 1205120 req, miss ratio 0.1341, byte miss ratio 0.1341
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO cache size    23301, 1205120 req, miss ratio 0.0641, byte miss ratio 0.0641
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO cache size    46603, 1205120 req, miss ratio 0.0502, byte miss ratio 0.0502
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-d cache size       58, 1205120 req, miss ratio 0.2640, byte miss ratio 0.2640
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-d cache size      174, 1205120 req, miss ratio 0.1931, byte miss ratio 0.1931
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-d cache size      582, 1205120 req, miss ratio 0.1865, byte miss ratio 0.1865
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-d cache size     1747, 1205120 req, miss ratio 0.1827, byte miss ratio 0.1827
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-d cache size     5825, 1205120 req, miss ratio 0.1667, byte miss ratio 0.1667
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-d cache size    11650, 1205120 req, miss ratio 0.1332, byte miss ratio 0.1332
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-d cache size    23301, 1205120 req, miss ratio 0.0641, byte miss ratio 0.0641
result/tencentBlock.ns1841.oracleGeneral.zst S3FIFO-d cache size    46603, 1205120 req, miss ratio 0.0502, byte miss ratio 0.0502
result/tencentBlock.ns1841.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       58, 1205120 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns1841.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      174, 1205120 req, miss ratio 0.3039, byte miss ratio 0.3039
result/tencentBlock.ns1841.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      582, 1205120 req, miss ratio 0.2240, byte miss ratio 0.2240
result/tencentBlock.ns1841.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1747, 1205120 req, miss ratio 0.1917, byte miss ratio 0.1917
result/tencentBlock.ns1841.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5825, 1205120 req, miss ratio 0.1476, byte miss ratio 0.1476
result/tencentBlock.ns1841.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    11650, 1205120 req, miss ratio 0.1065, byte miss ratio 0.1065
result/tencentBlock.ns1841.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    23301, 1205120 req, miss ratio 0.0583, byte miss ratio 0.0583
result/tencentBlock.ns1841.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    46603, 1205120 req, miss ratio 0.0527, byte miss ratio 0.0527
result/tencentBlock.ns1841.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       58, 1205120 req, miss ratio 0.2689, byte miss ratio 0.2689
result/tencentBlock.ns1841.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      174, 1205120 req, miss ratio 0.1971, byte miss ratio 0.1971
result/tencentBlock.ns1841.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      582, 1205120 req, miss ratio 0.1859, byte miss ratio 0.1859
result/tencentBlock.ns1841.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1747, 1205120 req, miss ratio 0.1776, byte miss ratio 0.1776
result/tencentBlock.ns1841.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5825, 1205120 req, miss ratio 0.1494, byte miss ratio 0.1494
result/tencentBlock.ns1841.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    11650, 1205120 req, miss ratio 0.1087, byte miss ratio 0.1087
result/tencentBlock.ns1841.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    23301, 1205120 req, miss ratio 0.0583, byte miss ratio 0.0583
result/tencentBlock.ns1841.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    46603, 1205120 req, miss ratio 0.0494, byte miss ratio 0.0494
