result/cdn1_nyc.ns1.oracleGeneral.bin.zst B-LRU cache size     6106, 17591590 req, miss ratio 0.0063, byte miss ratio 0.0063
result/cdn1_nyc.ns1.oracleGeneral.bin.zst B-LRU cache size    12212, 17591590 req, miss ratio 0.0054, byte miss ratio 0.0054
result/cdn1_nyc.ns1.oracleGeneral.bin.zst B-LRU cache size    24424, 17591590 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn1_nyc.ns1.oracleGeneral.bin.zst B-LRU cache size    48849, 17591590 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn1_nyc.ns1.oracleGeneral.bin.zst TwoQ cache size       61, 17591590 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn1_nyc.ns1.oracleGeneral.bin.zst TwoQ cache size      183, 17591590 req, miss ratio 0.0156, byte miss ratio 0.0156
result/cdn1_nyc.ns1.oracleGeneral.bin.zst TwoQ cache size      610, 17591590 req, miss ratio 0.0123, byte miss ratio 0.0123
result/cdn1_nyc.ns1.oracleGeneral.bin.zst TwoQ cache size     1831, 17591590 req, miss ratio 0.0087, byte miss ratio 0.0087
result/cdn1_nyc.ns1.oracleGeneral.bin.zst TwoQ cache size     6106, 17591590 req, miss ratio 0.0058, byte miss ratio 0.0058
result/cdn1_nyc.ns1.oracleGeneral.bin.zst TwoQ cache size    12212, 17591590 req, miss ratio 0.0048, byte miss ratio 0.0048
result/cdn1_nyc.ns1.oracleGeneral.bin.zst TwoQ cache size    24424, 17591590 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn1_nyc.ns1.oracleGeneral.bin.zst TwoQ cache size    48849, 17591590 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO cache size       61, 17591590 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO cache size      183, 17591590 req, miss ratio 0.0157, byte miss ratio 0.0157
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO cache size      610, 17591590 req, miss ratio 0.0120, byte miss ratio 0.0120
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO cache size     1831, 17591590 req, miss ratio 0.0085, byte miss ratio 0.0085
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO cache size     6106, 17591590 req, miss ratio 0.0055, byte miss ratio 0.0055
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO cache size    12212, 17591590 req, miss ratio 0.0045, byte miss ratio 0.0045
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO cache size    24424, 17591590 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO cache size    48849, 17591590 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO-d cache size       61, 17591590 req, miss ratio 0.0187, byte miss ratio 0.0187
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO-d cache size      183, 17591590 req, miss ratio 0.0155, byte miss ratio 0.0155
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO-d cache size      610, 17591590 req, miss ratio 0.0120, byte miss ratio 0.0120
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO-d cache size     1831, 17591590 req, miss ratio 0.0085, byte miss ratio 0.0085
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO-d cache size     6106, 17591590 req, miss ratio 0.0055, byte miss ratio 0.0055
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO-d cache size    12212, 17591590 req, miss ratio 0.0045, byte miss ratio 0.0045
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO-d cache size    24424, 17591590 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S3FIFO-d cache size    48849, 17591590 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn1_nyc.ns1.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       61, 17591590 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_nyc.ns1.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      183, 17591590 req, miss ratio 0.0191, byte miss ratio 0.0191
result/cdn1_nyc.ns1.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      610, 17591590 req, miss ratio 0.0131, byte miss ratio 0.0131
result/cdn1_nyc.ns1.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1831, 17591590 req, miss ratio 0.0090, byte miss ratio 0.0090
result/cdn1_nyc.ns1.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     6106, 17591590 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn1_nyc.ns1.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    12212, 17591590 req, miss ratio 0.0062, byte miss ratio 0.0062
result/cdn1_nyc.ns1.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    24424, 17591590 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn1_nyc.ns1.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    48849, 17591590 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn1_nyc.ns1.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       61, 17591590 req, miss ratio 0.0281, byte miss ratio 0.0281
result/cdn1_nyc.ns1.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      183, 17591590 req, miss ratio 0.0173, byte miss ratio 0.0173
result/cdn1_nyc.ns1.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      610, 17591590 req, miss ratio 0.0126, byte miss ratio 0.0126
result/cdn1_nyc.ns1.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1831, 17591590 req, miss ratio 0.0095, byte miss ratio 0.0095
result/cdn1_nyc.ns1.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     6106, 17591590 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn1_nyc.ns1.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    12212, 17591590 req, miss ratio 0.0056, byte miss ratio 0.0056
result/cdn1_nyc.ns1.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    24424, 17591590 req, miss ratio 0.0047, byte miss ratio 0.0047
result/cdn1_nyc.ns1.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    48849, 17591590 req, miss ratio 0.0037, byte miss ratio 0.0037
