result/cdn2_allcolo.ns1066.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3600, 5848557 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns1066.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7200, 5848557 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns1066.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        9, 5848557 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1066.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       27, 5848557 req, miss ratio 0.0239, byte miss ratio 0.0239
result/cdn2_allcolo.ns1066.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       90, 5848557 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_allcolo.ns1066.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      270, 5848557 req, miss ratio 0.0053, byte miss ratio 0.0053
result/cdn2_allcolo.ns1066.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      900, 5848557 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_allcolo.ns1066.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1800, 5848557 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns1066.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3600, 5848557 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns1066.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7200, 5848557 req, miss ratio 0.0017, byte miss ratio 0.0017
