result/cluster3.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    18833, 86950524 req, miss ratio 0.1676, byte miss ratio 0.1676
result/cluster3.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    62778, 86950524 req, miss ratio 0.0206, byte miss ratio 0.0206
result/cluster3.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   125556, 86950524 req, miss ratio 0.0156, byte miss ratio 0.0156
result/cluster3.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   251112, 86950524 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cluster3.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   502225, 86950524 req, miss ratio 0.0083, byte miss ratio 0.0083
result/cluster3.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      627, 86950524 req, miss ratio 0.2059, byte miss ratio 0.2059
result/cluster3.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     1883, 86950524 req, miss ratio 0.1556, byte miss ratio 0.1556
result/cluster3.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     6277, 86950524 req, miss ratio 0.1397, byte miss ratio 0.1397
result/cluster3.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    18833, 86950524 req, miss ratio 0.1078, byte miss ratio 0.1078
result/cluster3.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    62778, 86950524 req, miss ratio 0.0209, byte miss ratio 0.0209
result/cluster3.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   125556, 86950524 req, miss ratio 0.0153, byte miss ratio 0.0153
result/cluster3.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   251112, 86950524 req, miss ratio 0.0107, byte miss ratio 0.0107
result/cluster3.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   502225, 86950524 req, miss ratio 0.0078, byte miss ratio 0.0078
