result/tencentBlock.ns25663.oracleGeneral.zst S4LRU(25:25:25:25) cache size   111374, 1888496 req, miss ratio 0.1661, byte miss ratio 0.1661
result/tencentBlock.ns25663.oracleGeneral.zst S4LRU(25:25:25:25) cache size   222748, 1888496 req, miss ratio 0.1477, byte miss ratio 0.1477
result/tencentBlock.ns25663.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      278, 1888496 req, miss ratio 0.6066, byte miss ratio 0.6066
result/tencentBlock.ns25663.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      835, 1888496 req, miss ratio 0.4621, byte miss ratio 0.4621
result/tencentBlock.ns25663.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2784, 1888496 req, miss ratio 0.3372, byte miss ratio 0.3372
result/tencentBlock.ns25663.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     8353, 1888496 req, miss ratio 0.2808, byte miss ratio 0.2808
result/tencentBlock.ns25663.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    27843, 1888496 req, miss ratio 0.2473, byte miss ratio 0.2473
result/tencentBlock.ns25663.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    55687, 1888496 req, miss ratio 0.2163, byte miss ratio 0.2163
result/tencentBlock.ns25663.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   111374, 1888496 req, miss ratio 0.1730, byte miss ratio 0.1730
result/tencentBlock.ns25663.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   222748, 1888496 req, miss ratio 0.1507, byte miss ratio 0.1507
result/tencentBlock.ns25663.oracleGeneral.zst B-LRU cache size      278, 1888496 req, miss ratio 0.5857, byte miss ratio 0.5857
result/tencentBlock.ns25663.oracleGeneral.zst B-LRU cache size      835, 1888496 req, miss ratio 0.4736, byte miss ratio 0.4736
result/tencentBlock.ns25663.oracleGeneral.zst B-LRU cache size     2784, 1888496 req, miss ratio 0.3541, byte miss ratio 0.3541
result/tencentBlock.ns25663.oracleGeneral.zst B-LRU cache size     8353, 1888496 req, miss ratio 0.3217, byte miss ratio 0.3217
result/tencentBlock.ns25663.oracleGeneral.zst B-LRU cache size    27843, 1888496 req, miss ratio 0.2768, byte miss ratio 0.2768
result/tencentBlock.ns25663.oracleGeneral.zst B-LRU cache size    55687, 1888496 req, miss ratio 0.2559, byte miss ratio 0.2559
result/tencentBlock.ns25663.oracleGeneral.zst B-LRU cache size   111374, 1888496 req, miss ratio 0.2406, byte miss ratio 0.2406
result/tencentBlock.ns25663.oracleGeneral.zst B-LRU cache size   222748, 1888496 req, miss ratio 0.2394, byte miss ratio 0.2394
result/tencentBlock.ns25663.oracleGeneral.zst TwoQ cache size      278, 1888496 req, miss ratio 0.5189, byte miss ratio 0.5189
result/tencentBlock.ns25663.oracleGeneral.zst TwoQ cache size      835, 1888496 req, miss ratio 0.3954, byte miss ratio 0.3954
result/tencentBlock.ns25663.oracleGeneral.zst TwoQ cache size     2784, 1888496 req, miss ratio 0.2827, byte miss ratio 0.2827
result/tencentBlock.ns25663.oracleGeneral.zst TwoQ cache size     8353, 1888496 req, miss ratio 0.2651, byte miss ratio 0.2651
result/tencentBlock.ns25663.oracleGeneral.zst TwoQ cache size    27843, 1888496 req, miss ratio 0.2240, byte miss ratio 0.2240
result/tencentBlock.ns25663.oracleGeneral.zst TwoQ cache size    55687, 1888496 req, miss ratio 0.1921, byte miss ratio 0.1921
result/tencentBlock.ns25663.oracleGeneral.zst TwoQ cache size   111374, 1888496 req, miss ratio 0.1669, byte miss ratio 0.1669
result/tencentBlock.ns25663.oracleGeneral.zst TwoQ cache size   222748, 1888496 req, miss ratio 0.1513, byte miss ratio 0.1513
