result/cdn1_lax.ns310.oracleGeneral.bin.zst ARC cache size     6937, 27800596 req, miss ratio 0.0225, byte miss ratio 0.0225
result/cdn1_lax.ns310.oracleGeneral.bin.zst ARC cache size    13874, 27800596 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn1_lax.ns310.oracleGeneral.bin.zst LHD cache size       17, 27800596 req, miss ratio 0.6303, byte miss ratio 0.6303
result/cdn1_lax.ns310.oracleGeneral.bin.zst LHD cache size       52, 27800596 req, miss ratio 0.5041, byte miss ratio 0.5041
result/cdn1_lax.ns310.oracleGeneral.bin.zst LHD cache size      173, 27800596 req, miss ratio 0.3543, byte miss ratio 0.3543
result/cdn1_lax.ns310.oracleGeneral.bin.zst LHD cache size      520, 27800596 req, miss ratio 0.2323, byte miss ratio 0.2323
result/cdn1_lax.ns310.oracleGeneral.bin.zst LHD cache size     1734, 27800596 req, miss ratio 0.1396, byte miss ratio 0.1396
result/cdn1_lax.ns310.oracleGeneral.bin.zst LHD cache size     3468, 27800596 req, miss ratio 0.0903, byte miss ratio 0.0903
result/cdn1_lax.ns310.oracleGeneral.bin.zst LHD cache size     6937, 27800596 req, miss ratio 0.0225, byte miss ratio 0.0225
result/cdn1_lax.ns310.oracleGeneral.bin.zst LHD cache size    13874, 27800596 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO-d-1 cache size       17, 27800596 req, miss ratio 0.5756, byte miss ratio 0.5756
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO-d-1 cache size       52, 27800596 req, miss ratio 0.4476, byte miss ratio 0.4476
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO-d-1 cache size      173, 27800596 req, miss ratio 0.3340, byte miss ratio 0.3340
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO-d-1 cache size      520, 27800596 req, miss ratio 0.2187, byte miss ratio 0.2187
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1734, 27800596 req, miss ratio 0.1339, byte miss ratio 0.1339
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO-d-1 cache size     3468, 27800596 req, miss ratio 0.0866, byte miss ratio 0.0866
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO-d-1 cache size     6937, 27800596 req, miss ratio 0.0189, byte miss ratio 0.0189
result/cdn1_lax.ns310.oracleGeneral.bin.zst S3FIFO-d-1 cache size    13874, 27800596 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn1_lax.ns310.oracleGeneral.bin.zst LRB cache size       17, 27800596 req, miss ratio 0.6211, byte miss ratio 0.6211
result/cdn1_lax.ns310.oracleGeneral.bin.zst LRB cache size       52, 27800596 req, miss ratio 0.5097, byte miss ratio 0.5097
result/cdn1_lax.ns310.oracleGeneral.bin.zst LRB cache size      173, 27800596 req, miss ratio 0.3698, byte miss ratio 0.3698
result/cdn1_lax.ns310.oracleGeneral.bin.zst LRB cache size      520, 27800596 req, miss ratio 0.2163, byte miss ratio 0.2163
result/cdn1_lax.ns310.oracleGeneral.bin.zst LRB cache size     1734, 27800596 req, miss ratio 0.1295, byte miss ratio 0.1295
result/cdn1_lax.ns310.oracleGeneral.bin.zst LRB cache size     3468, 27800596 req, miss ratio 0.0774, byte miss ratio 0.0774
result/cdn1_lax.ns310.oracleGeneral.bin.zst LRB cache size     6937, 27800596 req, miss ratio 0.0153, byte miss ratio 0.0153
result/cdn1_lax.ns310.oracleGeneral.bin.zst LRB cache size    13874, 27800596 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn1_lax.ns310.oracleGeneral.bin.zst TwoQ cache size       17, 27800596 req, miss ratio 0.5940, byte miss ratio 0.5940
result/cdn1_lax.ns310.oracleGeneral.bin.zst TwoQ cache size       52, 27800596 req, miss ratio 0.4712, byte miss ratio 0.4712
result/cdn1_lax.ns310.oracleGeneral.bin.zst TwoQ cache size      173, 27800596 req, miss ratio 0.3441, byte miss ratio 0.3441
result/cdn1_lax.ns310.oracleGeneral.bin.zst TwoQ cache size      520, 27800596 req, miss ratio 0.2227, byte miss ratio 0.2227
result/cdn1_lax.ns310.oracleGeneral.bin.zst TwoQ cache size     1734, 27800596 req, miss ratio 0.1343, byte miss ratio 0.1343
result/cdn1_lax.ns310.oracleGeneral.bin.zst TwoQ cache size     3468, 27800596 req, miss ratio 0.0899, byte miss ratio 0.0899
result/cdn1_lax.ns310.oracleGeneral.bin.zst TwoQ cache size     6937, 27800596 req, miss ratio 0.0242, byte miss ratio 0.0242
result/cdn1_lax.ns310.oracleGeneral.bin.zst TwoQ cache size    13874, 27800596 req, miss ratio 0.0010, byte miss ratio 0.0010
