result/io_traces.ns310.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7732, 10400000 req, miss ratio 0.2955, byte miss ratio 0.2955
result/io_traces.ns310.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    23198, 10400000 req, miss ratio 0.2322, byte miss ratio 0.2322
result/io_traces.ns310.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    77329, 10400000 req, miss ratio 0.1428, byte miss ratio 0.1428
result/io_traces.ns310.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   154658, 10400000 req, miss ratio 0.0977, byte miss ratio 0.0977
result/io_traces.ns310.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   309316, 10400000 req, miss ratio 0.0791, byte miss ratio 0.0791
result/io_traces.ns310.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   618632, 10400000 req, miss ratio 0.0758, byte miss ratio 0.0758
result/io_traces.ns310.oracleGeneral.zst S4LRU(25:25:25:25) cache size      773, 10400000 req, miss ratio 0.4944, byte miss ratio 0.4944
result/io_traces.ns310.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2319, 10400000 req, miss ratio 0.3229, byte miss ratio 0.3229
result/io_traces.ns310.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7732, 10400000 req, miss ratio 0.2825, byte miss ratio 0.2825
result/io_traces.ns310.oracleGeneral.zst S4LRU(25:25:25:25) cache size    23198, 10400000 req, miss ratio 0.2453, byte miss ratio 0.2453
result/io_traces.ns310.oracleGeneral.zst S4LRU(25:25:25:25) cache size    77329, 10400000 req, miss ratio 0.0974, byte miss ratio 0.0974
result/io_traces.ns310.oracleGeneral.zst S4LRU(25:25:25:25) cache size   154658, 10400000 req, miss ratio 0.0895, byte miss ratio 0.0895
result/io_traces.ns310.oracleGeneral.zst S4LRU(25:25:25:25) cache size   309316, 10400000 req, miss ratio 0.0776, byte miss ratio 0.0776
result/io_traces.ns310.oracleGeneral.zst S4LRU(25:25:25:25) cache size   618632, 10400000 req, miss ratio 0.0744, byte miss ratio 0.0744
result/io_traces.ns310.oracleGeneral.zst TwoQ cache size      773, 10400000 req, miss ratio 0.4873, byte miss ratio 0.4873
result/io_traces.ns310.oracleGeneral.zst TwoQ cache size     2319, 10400000 req, miss ratio 0.3216, byte miss ratio 0.3216
result/io_traces.ns310.oracleGeneral.zst TwoQ cache size     7732, 10400000 req, miss ratio 0.2772, byte miss ratio 0.2772
result/io_traces.ns310.oracleGeneral.zst TwoQ cache size    23198, 10400000 req, miss ratio 0.2148, byte miss ratio 0.2148
result/io_traces.ns310.oracleGeneral.zst TwoQ cache size    77329, 10400000 req, miss ratio 0.1015, byte miss ratio 0.1015
result/io_traces.ns310.oracleGeneral.zst TwoQ cache size   154658, 10400000 req, miss ratio 0.0869, byte miss ratio 0.0869
result/io_traces.ns310.oracleGeneral.zst TwoQ cache size   309316, 10400000 req, miss ratio 0.0799, byte miss ratio 0.0799
result/io_traces.ns310.oracleGeneral.zst TwoQ cache size   618632, 10400000 req, miss ratio 0.0777, byte miss ratio 0.0777
result/io_traces.ns310.oracleGeneral.zst S3FIFO-d cache size      773, 10400000 req, miss ratio 0.5079, byte miss ratio 0.5079
result/io_traces.ns310.oracleGeneral.zst S3FIFO-d cache size     2319, 10400000 req, miss ratio 0.3188, byte miss ratio 0.3188
result/io_traces.ns310.oracleGeneral.zst S3FIFO-d cache size     7732, 10400000 req, miss ratio 0.2702, byte miss ratio 0.2702
result/io_traces.ns310.oracleGeneral.zst S3FIFO-d cache size    23198, 10400000 req, miss ratio 0.2145, byte miss ratio 0.2145
result/io_traces.ns310.oracleGeneral.zst S3FIFO-d cache size    77329, 10400000 req, miss ratio 0.0958, byte miss ratio 0.0958
result/io_traces.ns310.oracleGeneral.zst S3FIFO-d cache size   154658, 10400000 req, miss ratio 0.0859, byte miss ratio 0.0859
result/io_traces.ns310.oracleGeneral.zst S3FIFO-d cache size   309316, 10400000 req, miss ratio 0.0782, byte miss ratio 0.0782
result/io_traces.ns310.oracleGeneral.zst S3FIFO-d cache size   618632, 10400000 req, miss ratio 0.0744, byte miss ratio 0.0744
result/io_traces.ns310.oracleGeneral.zst S3FIFO cache size      773, 10400000 req, miss ratio 0.4731, byte miss ratio 0.4731
result/io_traces.ns310.oracleGeneral.zst S3FIFO cache size     2319, 10400000 req, miss ratio 0.3185, byte miss ratio 0.3185
result/io_traces.ns310.oracleGeneral.zst S3FIFO cache size     7732, 10400000 req, miss ratio 0.2706, byte miss ratio 0.2706
result/io_traces.ns310.oracleGeneral.zst S3FIFO cache size    23198, 10400000 req, miss ratio 0.2144, byte miss ratio 0.2144
result/io_traces.ns310.oracleGeneral.zst S3FIFO cache size    77329, 10400000 req, miss ratio 0.0973, byte miss ratio 0.0973
result/io_traces.ns310.oracleGeneral.zst S3FIFO cache size   154658, 10400000 req, miss ratio 0.0860, byte miss ratio 0.0860
result/io_traces.ns310.oracleGeneral.zst S3FIFO cache size   309316, 10400000 req, miss ratio 0.0782, byte miss ratio 0.0782
result/io_traces.ns310.oracleGeneral.zst S3FIFO cache size   618632, 10400000 req, miss ratio 0.0744, byte miss ratio 0.0744
result/io_traces.ns310.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      773, 10400000 req, miss ratio 0.5024, byte miss ratio 0.5024
result/io_traces.ns310.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2319, 10400000 req, miss ratio 0.4024, byte miss ratio 0.4024
result/io_traces.ns310.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7732, 10400000 req, miss ratio 0.6008, byte miss ratio 0.6008
result/io_traces.ns310.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    23198, 10400000 req, miss ratio 0.2446, byte miss ratio 0.2446
result/io_traces.ns310.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    77329, 10400000 req, miss ratio 0.1501, byte miss ratio 0.1501
result/io_traces.ns310.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   154658, 10400000 req, miss ratio 0.1256, byte miss ratio 0.1256
result/io_traces.ns310.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   309316, 10400000 req, miss ratio 0.1015, byte miss ratio 0.1015
result/io_traces.ns310.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   618632, 10400000 req, miss ratio 0.0797, byte miss ratio 0.0797
result/io_traces.ns310.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      773, 10400000 req, miss ratio 0.5174, byte miss ratio 0.5174
result/io_traces.ns310.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2319, 10400000 req, miss ratio 0.3436, byte miss ratio 0.3436
result/io_traces.ns310.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7732, 10400000 req, miss ratio 0.3168, byte miss ratio 0.3168
result/io_traces.ns310.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    23198, 10400000 req, miss ratio 0.2380, byte miss ratio 0.2380
result/io_traces.ns310.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    77329, 10400000 req, miss ratio 0.1158, byte miss ratio 0.1158
result/io_traces.ns310.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   154658, 10400000 req, miss ratio 0.0947, byte miss ratio 0.0947
result/io_traces.ns310.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   309316, 10400000 req, miss ratio 0.0866, byte miss ratio 0.0866
result/io_traces.ns310.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   618632, 10400000 req, miss ratio 0.0786, byte miss ratio 0.0786
