result/cdn2_allcolo.ns1198.oracleGeneral.zst FIFO cache size    30567, 2118317 req, miss ratio 0.1030, byte miss ratio 0.1030
result/cdn2_allcolo.ns1198.oracleGeneral.zst FIFO cache size    61134, 2118317 req, miss ratio 0.0484, byte miss ratio 0.0484
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-d-1 cache size       76, 2118317 req, miss ratio 0.5807, byte miss ratio 0.5807
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-d-1 cache size      229, 2118317 req, miss ratio 0.5151, byte miss ratio 0.5151
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-d-1 cache size      764, 2118317 req, miss ratio 0.4316, byte miss ratio 0.4316
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-d-1 cache size     2292, 2118317 req, miss ratio 0.3329, byte miss ratio 0.3329
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-d-1 cache size     7641, 2118317 req, miss ratio 0.2008, byte miss ratio 0.2008
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-d-1 cache size    15283, 2118317 req, miss ratio 0.1259, byte miss ratio 0.1259
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-d-1 cache size    30567, 2118317 req, miss ratio 0.0670, byte miss ratio 0.0670
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-d-1 cache size    61134, 2118317 req, miss ratio 0.0381, byte miss ratio 0.0381
result/cdn2_allcolo.ns1198.oracleGeneral.zst LRB cache size       76, 2118317 req, miss ratio 0.5852, byte miss ratio 0.5852
result/cdn2_allcolo.ns1198.oracleGeneral.zst LRB cache size      229, 2118317 req, miss ratio 0.5165, byte miss ratio 0.5165
result/cdn2_allcolo.ns1198.oracleGeneral.zst LRB cache size      764, 2118317 req, miss ratio 0.4279, byte miss ratio 0.4279
result/cdn2_allcolo.ns1198.oracleGeneral.zst LRB cache size     2292, 2118317 req, miss ratio 0.3248, byte miss ratio 0.3248
result/cdn2_allcolo.ns1198.oracleGeneral.zst LRB cache size     7641, 2118317 req, miss ratio 0.1919, byte miss ratio 0.1919
result/cdn2_allcolo.ns1198.oracleGeneral.zst LRB cache size    15283, 2118317 req, miss ratio 0.1219, byte miss ratio 0.1219
result/cdn2_allcolo.ns1198.oracleGeneral.zst LRB cache size    30567, 2118317 req, miss ratio 0.0690, byte miss ratio 0.0690
result/cdn2_allcolo.ns1198.oracleGeneral.zst LRB cache size    61134, 2118317 req, miss ratio 0.0384, byte miss ratio 0.0384
result/cdn2_allcolo.ns1198.oracleGeneral.zst B-LRU cache size       76, 2118317 req, miss ratio 0.6543, byte miss ratio 0.6543
result/cdn2_allcolo.ns1198.oracleGeneral.zst B-LRU cache size      229, 2118317 req, miss ratio 0.5806, byte miss ratio 0.5806
result/cdn2_allcolo.ns1198.oracleGeneral.zst B-LRU cache size      764, 2118317 req, miss ratio 0.4887, byte miss ratio 0.4887
result/cdn2_allcolo.ns1198.oracleGeneral.zst B-LRU cache size     2292, 2118317 req, miss ratio 0.3833, byte miss ratio 0.3833
result/cdn2_allcolo.ns1198.oracleGeneral.zst B-LRU cache size     7641, 2118317 req, miss ratio 0.2350, byte miss ratio 0.2350
result/cdn2_allcolo.ns1198.oracleGeneral.zst B-LRU cache size    15283, 2118317 req, miss ratio 0.1465, byte miss ratio 0.1465
result/cdn2_allcolo.ns1198.oracleGeneral.zst B-LRU cache size    30567, 2118317 req, miss ratio 0.0810, byte miss ratio 0.0810
result/cdn2_allcolo.ns1198.oracleGeneral.zst B-LRU cache size    61134, 2118317 req, miss ratio 0.0619, byte miss ratio 0.0619
result/cdn2_allcolo.ns1198.oracleGeneral.zst S4LRU(25:25:25:25) cache size       76, 2118317 req, miss ratio 0.5870, byte miss ratio 0.5870
result/cdn2_allcolo.ns1198.oracleGeneral.zst S4LRU(25:25:25:25) cache size      229, 2118317 req, miss ratio 0.5221, byte miss ratio 0.5221
result/cdn2_allcolo.ns1198.oracleGeneral.zst S4LRU(25:25:25:25) cache size      764, 2118317 req, miss ratio 0.4394, byte miss ratio 0.4394
result/cdn2_allcolo.ns1198.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2292, 2118317 req, miss ratio 0.3392, byte miss ratio 0.3392
result/cdn2_allcolo.ns1198.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7641, 2118317 req, miss ratio 0.2046, byte miss ratio 0.2046
result/cdn2_allcolo.ns1198.oracleGeneral.zst S4LRU(25:25:25:25) cache size    15283, 2118317 req, miss ratio 0.1281, byte miss ratio 0.1281
result/cdn2_allcolo.ns1198.oracleGeneral.zst S4LRU(25:25:25:25) cache size    30567, 2118317 req, miss ratio 0.0680, byte miss ratio 0.0680
result/cdn2_allcolo.ns1198.oracleGeneral.zst S4LRU(25:25:25:25) cache size    61134, 2118317 req, miss ratio 0.0382, byte miss ratio 0.0382
result/cdn2_allcolo.ns1198.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       76, 2118317 req, miss ratio 0.6807, byte miss ratio 0.6807
result/cdn2_allcolo.ns1198.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      229, 2118317 req, miss ratio 0.5692, byte miss ratio 0.5692
result/cdn2_allcolo.ns1198.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      764, 2118317 req, miss ratio 0.4797, byte miss ratio 0.4797
result/cdn2_allcolo.ns1198.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2292, 2118317 req, miss ratio 0.3744, byte miss ratio 0.3744
result/cdn2_allcolo.ns1198.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7641, 2118317 req, miss ratio 0.2309, byte miss ratio 0.2309
result/cdn2_allcolo.ns1198.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    15283, 2118317 req, miss ratio 0.1470, byte miss ratio 0.1470
result/cdn2_allcolo.ns1198.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    30567, 2118317 req, miss ratio 0.0791, byte miss ratio 0.0791
result/cdn2_allcolo.ns1198.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    61134, 2118317 req, miss ratio 0.0448, byte miss ratio 0.0448
result/cdn2_allcolo.ns1198.oracleGeneral.zst TwoQ cache size       76, 2118317 req, miss ratio 0.5859, byte miss ratio 0.5859
result/cdn2_allcolo.ns1198.oracleGeneral.zst TwoQ cache size      229, 2118317 req, miss ratio 0.5201, byte miss ratio 0.5201
result/cdn2_allcolo.ns1198.oracleGeneral.zst TwoQ cache size      764, 2118317 req, miss ratio 0.4395, byte miss ratio 0.4395
result/cdn2_allcolo.ns1198.oracleGeneral.zst TwoQ cache size     2292, 2118317 req, miss ratio 0.3430, byte miss ratio 0.3430
result/cdn2_allcolo.ns1198.oracleGeneral.zst TwoQ cache size     7641, 2118317 req, miss ratio 0.2128, byte miss ratio 0.2128
result/cdn2_allcolo.ns1198.oracleGeneral.zst TwoQ cache size    15283, 2118317 req, miss ratio 0.1379, byte miss ratio 0.1379
result/cdn2_allcolo.ns1198.oracleGeneral.zst TwoQ cache size    30567, 2118317 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cdn2_allcolo.ns1198.oracleGeneral.zst TwoQ cache size    61134, 2118317 req, miss ratio 0.0484, byte miss ratio 0.0484
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO cache size       76, 2118317 req, miss ratio 0.5762, byte miss ratio 0.5762
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO cache size      229, 2118317 req, miss ratio 0.5108, byte miss ratio 0.5108
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO cache size      764, 2118317 req, miss ratio 0.4280, byte miss ratio 0.4280
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO cache size     2292, 2118317 req, miss ratio 0.3297, byte miss ratio 0.3297
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO cache size     7641, 2118317 req, miss ratio 0.1990, byte miss ratio 0.1990
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO cache size    15283, 2118317 req, miss ratio 0.1254, byte miss ratio 0.1254
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO cache size    30567, 2118317 req, miss ratio 0.0680, byte miss ratio 0.0680
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO cache size    61134, 2118317 req, miss ratio 0.0388, byte miss ratio 0.0388
result/cdn2_allcolo.ns1198.oracleGeneral.zst S3FIFO-d cache size       76, 2118317 req, miss ratio 0.5973, byte miss ratio 0.5973
