result/cdn2_colo28.ns629.oracleGeneral.zst B-LRU cache size    21778, 3722658 req, miss ratio 0.7119, byte miss ratio 0.7119
result/cdn2_colo28.ns629.oracleGeneral.zst B-LRU cache size    65334, 3722658 req, miss ratio 0.7099, byte miss ratio 0.7099
result/cdn2_colo28.ns629.oracleGeneral.zst B-LRU cache size   217780, 3722658 req, miss ratio 0.7099, byte miss ratio 0.7099
result/cdn2_colo28.ns629.oracleGeneral.zst B-LRU cache size   435560, 3722658 req, miss ratio 0.7099, byte miss ratio 0.7099
result/cdn2_colo28.ns629.oracleGeneral.zst B-LRU cache size   871121, 3722658 req, miss ratio 0.7099, byte miss ratio 0.7099
result/cdn2_colo28.ns629.oracleGeneral.zst B-LRU cache size  1742243, 3722658 req, miss ratio 0.7099, byte miss ratio 0.7099
result/cdn2_colo28.ns629.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2177, 3722658 req, miss ratio 0.7441, byte miss ratio 0.7441
result/cdn2_colo28.ns629.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6533, 3722658 req, miss ratio 0.6680, byte miss ratio 0.6680
result/cdn2_colo28.ns629.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    21778, 3722658 req, miss ratio 0.6192, byte miss ratio 0.6192
result/cdn2_colo28.ns629.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    65334, 3722658 req, miss ratio 0.5991, byte miss ratio 0.5991
result/cdn2_colo28.ns629.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   217780, 3722658 req, miss ratio 0.5902, byte miss ratio 0.5902
result/cdn2_colo28.ns629.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   435560, 3722658 req, miss ratio 0.5871, byte miss ratio 0.5871
result/cdn2_colo28.ns629.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   871121, 3722658 req, miss ratio 0.5851, byte miss ratio 0.5851
result/cdn2_colo28.ns629.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1742243, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-d cache size     2177, 3722658 req, miss ratio 0.7315, byte miss ratio 0.7315
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-d cache size     6533, 3722658 req, miss ratio 0.6727, byte miss ratio 0.6727
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-d cache size    21778, 3722658 req, miss ratio 0.6208, byte miss ratio 0.6208
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-d cache size    65334, 3722658 req, miss ratio 0.6008, byte miss ratio 0.6008
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-d cache size   217780, 3722658 req, miss ratio 0.5887, byte miss ratio 0.5887
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-d cache size   435560, 3722658 req, miss ratio 0.5852, byte miss ratio 0.5852
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-d cache size   871121, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-d cache size  1742243, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
