result/w88.oracleGeneral.bin.zst B-LRU cache size    41802, 4711053 req, miss ratio 0.2564, byte miss ratio 0.2564
result/w88.oracleGeneral.bin.zst B-LRU cache size    83605, 4711053 req, miss ratio 0.2076, byte miss ratio 0.2076
result/w88.oracleGeneral.bin.zst B-LRU cache size   167210, 4711053 req, miss ratio 0.1537, byte miss ratio 0.1537
result/w88.oracleGeneral.bin.zst B-LRU cache size   334421, 4711053 req, miss ratio 0.1448, byte miss ratio 0.1448
result/w88.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      418, 4711053 req, miss ratio 0.5172, byte miss ratio 0.5172
result/w88.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1254, 4711053 req, miss ratio 0.4425, byte miss ratio 0.4425
result/w88.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     4180, 4711053 req, miss ratio 0.3554, byte miss ratio 0.3554
result/w88.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    12540, 4711053 req, miss ratio 0.2965, byte miss ratio 0.2965
result/w88.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    41802, 4711053 req, miss ratio 0.2162, byte miss ratio 0.2162
result/w88.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    83605, 4711053 req, miss ratio 0.1833, byte miss ratio 0.1833
result/w88.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   167210, 4711053 req, miss ratio 0.1454, byte miss ratio 0.1454
result/w88.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   334421, 4711053 req, miss ratio 0.0905, byte miss ratio 0.0905
result/w88.oracleGeneral.bin.zst S3FIFO cache size      418, 4711053 req, miss ratio 0.4987, byte miss ratio 0.4987
result/w88.oracleGeneral.bin.zst S3FIFO cache size     1254, 4711053 req, miss ratio 0.4158, byte miss ratio 0.4158
result/w88.oracleGeneral.bin.zst S3FIFO cache size     4180, 4711053 req, miss ratio 0.3341, byte miss ratio 0.3341
result/w88.oracleGeneral.bin.zst S3FIFO cache size    12540, 4711053 req, miss ratio 0.2750, byte miss ratio 0.2750
result/w88.oracleGeneral.bin.zst S3FIFO cache size    41802, 4711053 req, miss ratio 0.2077, byte miss ratio 0.2077
