result/tencentBlock.ns12103.oracleGeneral.zst TwoQ cache size      166, 1283191 req, miss ratio 0.1934, byte miss ratio 0.1934
result/tencentBlock.ns12103.oracleGeneral.zst TwoQ cache size      553, 1283191 req, miss ratio 0.1755, byte miss ratio 0.1755
result/tencentBlock.ns12103.oracleGeneral.zst TwoQ cache size     1660, 1283191 req, miss ratio 0.1570, byte miss ratio 0.1570
result/tencentBlock.ns12103.oracleGeneral.zst TwoQ cache size     5533, 1283191 req, miss ratio 0.1549, byte miss ratio 0.1549
result/tencentBlock.ns12103.oracleGeneral.zst TwoQ cache size    11066, 1283191 req, miss ratio 0.1159, byte miss ratio 0.1159
result/tencentBlock.ns12103.oracleGeneral.zst TwoQ cache size    22133, 1283191 req, miss ratio 0.0731, byte miss ratio 0.0731
result/tencentBlock.ns12103.oracleGeneral.zst TwoQ cache size    44267, 1283191 req, miss ratio 0.0612, byte miss ratio 0.0612
result/tencentBlock.ns12103.oracleGeneral.zst S4LRU(25:25:25:25) cache size       55, 1283191 req, miss ratio 0.3021, byte miss ratio 0.3021
result/tencentBlock.ns12103.oracleGeneral.zst S4LRU(25:25:25:25) cache size      166, 1283191 req, miss ratio 0.2069, byte miss ratio 0.2069
result/tencentBlock.ns12103.oracleGeneral.zst S4LRU(25:25:25:25) cache size      553, 1283191 req, miss ratio 0.1760, byte miss ratio 0.1760
result/tencentBlock.ns12103.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1660, 1283191 req, miss ratio 0.1622, byte miss ratio 0.1622
result/tencentBlock.ns12103.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5533, 1283191 req, miss ratio 0.1496, byte miss ratio 0.1496
result/tencentBlock.ns12103.oracleGeneral.zst S4LRU(25:25:25:25) cache size    11066, 1283191 req, miss ratio 0.1277, byte miss ratio 0.1277
result/tencentBlock.ns12103.oracleGeneral.zst S4LRU(25:25:25:25) cache size    22133, 1283191 req, miss ratio 0.0907, byte miss ratio 0.0907
result/tencentBlock.ns12103.oracleGeneral.zst S4LRU(25:25:25:25) cache size    44267, 1283191 req, miss ratio 0.0449, byte miss ratio 0.0449
result/tencentBlock.ns12103.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       55, 1283191 req, miss ratio 0.3936, byte miss ratio 0.3936
result/tencentBlock.ns12103.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      166, 1283191 req, miss ratio 0.2386, byte miss ratio 0.2386
result/tencentBlock.ns12103.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      553, 1283191 req, miss ratio 0.1834, byte miss ratio 0.1834
result/tencentBlock.ns12103.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1660, 1283191 req, miss ratio 0.1720, byte miss ratio 0.1720
