result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-d cache size    15668, 1736230 req, miss ratio 0.1306, byte miss ratio 0.1306
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-d cache size    31337, 1736230 req, miss ratio 0.1035, byte miss ratio 0.1035
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-d cache size    62675, 1736230 req, miss ratio 0.0944, byte miss ratio 0.0944
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-d cache size   125350, 1736230 req, miss ratio 0.0904, byte miss ratio 0.0904
result/cdn1_sjc.ns626.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      156, 1736230 req, miss ratio 0.8209, byte miss ratio 0.8209
result/cdn1_sjc.ns626.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      470, 1736230 req, miss ratio 0.7080, byte miss ratio 0.7080
result/cdn1_sjc.ns626.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1566, 1736230 req, miss ratio 0.5147, byte miss ratio 0.5147
result/cdn1_sjc.ns626.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     4700, 1736230 req, miss ratio 0.2903, byte miss ratio 0.2903
result/cdn1_sjc.ns626.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    15668, 1736230 req, miss ratio 0.1703, byte miss ratio 0.1703
result/cdn1_sjc.ns626.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    31337, 1736230 req, miss ratio 0.1229, byte miss ratio 0.1229
result/cdn1_sjc.ns626.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    62675, 1736230 req, miss ratio 0.1082, byte miss ratio 0.1082
result/cdn1_sjc.ns626.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   125350, 1736230 req, miss ratio 0.0933, byte miss ratio 0.0933
result/cdn1_sjc.ns626.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      156, 1736230 req, miss ratio 0.8145, byte miss ratio 0.8145
result/cdn1_sjc.ns626.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      470, 1736230 req, miss ratio 0.7140, byte miss ratio 0.7140
result/cdn1_sjc.ns626.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1566, 1736230 req, miss ratio 0.5678, byte miss ratio 0.5678
result/cdn1_sjc.ns626.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     4700, 1736230 req, miss ratio 0.4238, byte miss ratio 0.4238
result/cdn1_sjc.ns626.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    15668, 1736230 req, miss ratio 0.1712, byte miss ratio 0.1712
result/cdn1_sjc.ns626.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    31337, 1736230 req, miss ratio 0.1239, byte miss ratio 0.1239
result/cdn1_sjc.ns626.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    62675, 1736230 req, miss ratio 0.1095, byte miss ratio 0.1095
result/cdn1_sjc.ns626.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   125350, 1736230 req, miss ratio 0.0950, byte miss ratio 0.0950
