result/io_traces.ns44.oracleGeneral.zst S3FIFO-d cache size    75855, 3200000 req, miss ratio 0.1914, byte miss ratio 0.1914
result/io_traces.ns44.oracleGeneral.zst S3FIFO-d cache size   151710, 3200000 req, miss ratio 0.1444, byte miss ratio 0.1444
result/io_traces.ns44.oracleGeneral.zst S3FIFO-d cache size   303421, 3200000 req, miss ratio 0.1203, byte miss ratio 0.1203
result/io_traces.ns44.oracleGeneral.zst S3FIFO cache size      379, 3200000 req, miss ratio 0.6054, byte miss ratio 0.6054
result/io_traces.ns44.oracleGeneral.zst S3FIFO cache size     1137, 3200000 req, miss ratio 0.5772, byte miss ratio 0.5772
result/io_traces.ns44.oracleGeneral.zst S3FIFO cache size     3792, 3200000 req, miss ratio 0.5380, byte miss ratio 0.5380
result/io_traces.ns44.oracleGeneral.zst S3FIFO cache size    11378, 3200000 req, miss ratio 0.4694, byte miss ratio 0.4694
result/io_traces.ns44.oracleGeneral.zst S3FIFO cache size    37927, 3200000 req, miss ratio 0.3092, byte miss ratio 0.3092
result/io_traces.ns44.oracleGeneral.zst S3FIFO cache size    75855, 3200000 req, miss ratio 0.1910, byte miss ratio 0.1910
result/io_traces.ns44.oracleGeneral.zst S3FIFO cache size   151710, 3200000 req, miss ratio 0.1444, byte miss ratio 0.1444
result/io_traces.ns44.oracleGeneral.zst S3FIFO cache size   303421, 3200000 req, miss ratio 0.1203, byte miss ratio 0.1203
result/io_traces.ns44.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      379, 3200000 req, miss ratio 0.6799, byte miss ratio 0.6799
result/io_traces.ns44.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1137, 3200000 req, miss ratio 0.6007, byte miss ratio 0.6007
result/io_traces.ns44.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3792, 3200000 req, miss ratio 0.5670, byte miss ratio 0.5670
result/io_traces.ns44.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    11378, 3200000 req, miss ratio 0.4775, byte miss ratio 0.4775
result/io_traces.ns44.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    37927, 3200000 req, miss ratio 0.2794, byte miss ratio 0.2794
result/io_traces.ns44.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    75855, 3200000 req, miss ratio 0.2028, byte miss ratio 0.2028
