result/cdn2_allcolo.ns238.oracleGeneral.zst B-LRU cache size      789, 1519690 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns238.oracleGeneral.zst B-LRU cache size     1579, 1519690 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns238.oracleGeneral.zst TwoQ cache size        5, 1519690 req, miss ratio 0.6439, byte miss ratio 0.6439
result/cdn2_allcolo.ns238.oracleGeneral.zst TwoQ cache size       19, 1519690 req, miss ratio 0.3607, byte miss ratio 0.3607
result/cdn2_allcolo.ns238.oracleGeneral.zst TwoQ cache size       59, 1519690 req, miss ratio 0.0950, byte miss ratio 0.0950
result/cdn2_allcolo.ns238.oracleGeneral.zst TwoQ cache size      197, 1519690 req, miss ratio 0.0110, byte miss ratio 0.0110
result/cdn2_allcolo.ns238.oracleGeneral.zst TwoQ cache size      394, 1519690 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_allcolo.ns238.oracleGeneral.zst TwoQ cache size      789, 1519690 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns238.oracleGeneral.zst TwoQ cache size     1579, 1519690 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns238.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        5, 1519690 req, miss ratio 0.7445, byte miss ratio 0.7445
result/cdn2_allcolo.ns238.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       19, 1519690 req, miss ratio 0.4575, byte miss ratio 0.4575
result/cdn2_allcolo.ns238.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       59, 1519690 req, miss ratio 0.1609, byte miss ratio 0.1609
result/cdn2_allcolo.ns238.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      197, 1519690 req, miss ratio 0.0135, byte miss ratio 0.0135
result/cdn2_allcolo.ns238.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      394, 1519690 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns238.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      789, 1519690 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns238.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1579, 1519690 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns238.oracleGeneral.zst S4LRU(25:25:25:25) cache size        5, 1519690 req, miss ratio 0.6302, byte miss ratio 0.6302
result/cdn2_allcolo.ns238.oracleGeneral.zst S4LRU(25:25:25:25) cache size       19, 1519690 req, miss ratio 0.3575, byte miss ratio 0.3575
result/cdn2_allcolo.ns238.oracleGeneral.zst S4LRU(25:25:25:25) cache size       59, 1519690 req, miss ratio 0.0841, byte miss ratio 0.0841
result/cdn2_allcolo.ns238.oracleGeneral.zst S4LRU(25:25:25:25) cache size      197, 1519690 req, miss ratio 0.0086, byte miss ratio 0.0086
result/cdn2_allcolo.ns238.oracleGeneral.zst S4LRU(25:25:25:25) cache size      394, 1519690 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns238.oracleGeneral.zst S4LRU(25:25:25:25) cache size      789, 1519690 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns238.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1579, 1519690 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-d cache size        5, 1519690 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-d cache size       19, 1519690 req, miss ratio 0.3307, byte miss ratio 0.3307
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-d cache size       59, 1519690 req, miss ratio 0.0899, byte miss ratio 0.0899
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-d cache size      197, 1519690 req, miss ratio 0.0086, byte miss ratio 0.0086
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-d cache size      394, 1519690 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-d cache size      789, 1519690 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-d cache size     1579, 1519690 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO cache size        5, 1519690 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO cache size       19, 1519690 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO cache size       59, 1519690 req, miss ratio 0.0778, byte miss ratio 0.0778
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO cache size      197, 1519690 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO cache size      394, 1519690 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO cache size      789, 1519690 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO cache size     1579, 1519690 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns238.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        5, 1519690 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns238.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       19, 1519690 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns238.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       59, 1519690 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns238.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      197, 1519690 req, miss ratio 0.0076, byte miss ratio 0.0076
result/cdn2_allcolo.ns238.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      394, 1519690 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns238.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      789, 1519690 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns238.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1579, 1519690 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns238.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        5, 1519690 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns238.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       19, 1519690 req, miss ratio 0.3245, byte miss ratio 0.3245
result/cdn2_allcolo.ns238.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       59, 1519690 req, miss ratio 0.0765, byte miss ratio 0.0765
result/cdn2_allcolo.ns238.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      197, 1519690 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_allcolo.ns238.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      394, 1519690 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns238.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      789, 1519690 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns238.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1579, 1519690 req, miss ratio 0.0014, byte miss ratio 0.0014
