result/io_traces.ns127.oracleGeneral.zst S3FIFO-d cache size    21493, 3800000 req, miss ratio 0.2703, byte miss ratio 0.2703
result/io_traces.ns127.oracleGeneral.zst S3FIFO-d cache size    42987, 3800000 req, miss ratio 0.1327, byte miss ratio 0.1327
result/io_traces.ns127.oracleGeneral.zst S3FIFO-d cache size    85974, 3800000 req, miss ratio 0.0729, byte miss ratio 0.0729
result/io_traces.ns127.oracleGeneral.zst S3FIFO-d cache size   171948, 3800000 req, miss ratio 0.0595, byte miss ratio 0.0595
result/io_traces.ns127.oracleGeneral.zst S3FIFO cache size      214, 3800000 req, miss ratio 0.4724, byte miss ratio 0.4724
result/io_traces.ns127.oracleGeneral.zst S3FIFO cache size      644, 3800000 req, miss ratio 0.4611, byte miss ratio 0.4611
result/io_traces.ns127.oracleGeneral.zst S3FIFO cache size     2149, 3800000 req, miss ratio 0.4262, byte miss ratio 0.4262
result/io_traces.ns127.oracleGeneral.zst S3FIFO cache size     6448, 3800000 req, miss ratio 0.4063, byte miss ratio 0.4063
result/io_traces.ns127.oracleGeneral.zst S3FIFO cache size    21493, 3800000 req, miss ratio 0.2784, byte miss ratio 0.2784
result/io_traces.ns127.oracleGeneral.zst S3FIFO cache size    42987, 3800000 req, miss ratio 0.1260, byte miss ratio 0.1260
result/io_traces.ns127.oracleGeneral.zst S3FIFO cache size    85974, 3800000 req, miss ratio 0.0741, byte miss ratio 0.0741
result/io_traces.ns127.oracleGeneral.zst S3FIFO cache size   171948, 3800000 req, miss ratio 0.0595, byte miss ratio 0.0595
result/io_traces.ns127.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      214, 3800000 req, miss ratio 0.5537, byte miss ratio 0.5537
result/io_traces.ns127.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      644, 3800000 req, miss ratio 0.4899, byte miss ratio 0.4899
result/io_traces.ns127.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2149, 3800000 req, miss ratio 0.4432, byte miss ratio 0.4432
result/io_traces.ns127.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6448, 3800000 req, miss ratio 0.3776, byte miss ratio 0.3776
result/io_traces.ns127.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    21493, 3800000 req, miss ratio 0.2462, byte miss ratio 0.2462
result/io_traces.ns127.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    42987, 3800000 req, miss ratio 0.0996, byte miss ratio 0.0996
result/io_traces.ns127.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    85974, 3800000 req, miss ratio 0.0756, byte miss ratio 0.0756
result/io_traces.ns127.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   171948, 3800000 req, miss ratio 0.0623, byte miss ratio 0.0623
result/io_traces.ns127.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      214, 3800000 req, miss ratio 0.4873, byte miss ratio 0.4873
result/io_traces.ns127.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      644, 3800000 req, miss ratio 0.4452, byte miss ratio 0.4452
result/io_traces.ns127.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2149, 3800000 req, miss ratio 0.4242, byte miss ratio 0.4242
result/io_traces.ns127.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6448, 3800000 req, miss ratio 0.3807, byte miss ratio 0.3807
result/io_traces.ns127.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    21493, 3800000 req, miss ratio 0.2580, byte miss ratio 0.2580
result/io_traces.ns127.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    42987, 3800000 req, miss ratio 0.1065, byte miss ratio 0.1065
result/io_traces.ns127.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    85974, 3800000 req, miss ratio 0.0756, byte miss ratio 0.0756
result/io_traces.ns127.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   171948, 3800000 req, miss ratio 0.0666, byte miss ratio 0.0666
