result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO-d cache size    77751, 5755608 req, miss ratio 0.0182, byte miss ratio 0.0182
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO cache size       97, 5755608 req, miss ratio 0.6440, byte miss ratio 0.6440
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO cache size      291, 5755608 req, miss ratio 0.3298, byte miss ratio 0.3298
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO cache size      971, 5755608 req, miss ratio 0.0913, byte miss ratio 0.0913
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO cache size     2915, 5755608 req, miss ratio 0.0874, byte miss ratio 0.0874
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO cache size     9718, 5755608 req, miss ratio 0.0818, byte miss ratio 0.0818
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO cache size    19437, 5755608 req, miss ratio 0.0687, byte miss ratio 0.0687
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO cache size    38875, 5755608 req, miss ratio 0.0519, byte miss ratio 0.0519
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO cache size    77751, 5755608 req, miss ratio 0.0182, byte miss ratio 0.0182
result/tencentBlock.ns17709.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       97, 5755608 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns17709.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      291, 5755608 req, miss ratio 0.2744, byte miss ratio 0.2744
result/tencentBlock.ns17709.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      971, 5755608 req, miss ratio 0.1033, byte miss ratio 0.1033
result/tencentBlock.ns17709.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2915, 5755608 req, miss ratio 0.0885, byte miss ratio 0.0885
result/tencentBlock.ns17709.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9718, 5755608 req, miss ratio 0.0768, byte miss ratio 0.0768
result/tencentBlock.ns17709.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    19437, 5755608 req, miss ratio 0.0654, byte miss ratio 0.0654
result/tencentBlock.ns17709.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    38875, 5755608 req, miss ratio 0.0436, byte miss ratio 0.0436
result/tencentBlock.ns17709.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    77751, 5755608 req, miss ratio 0.0180, byte miss ratio 0.0180
result/tencentBlock.ns17709.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       97, 5755608 req, miss ratio 0.6386, byte miss ratio 0.6386
result/tencentBlock.ns17709.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      291, 5755608 req, miss ratio 0.2722, byte miss ratio 0.2722
result/tencentBlock.ns17709.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      971, 5755608 req, miss ratio 0.0935, byte miss ratio 0.0935
result/tencentBlock.ns17709.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2915, 5755608 req, miss ratio 0.0868, byte miss ratio 0.0868
result/tencentBlock.ns17709.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9718, 5755608 req, miss ratio 0.0775, byte miss ratio 0.0775
result/tencentBlock.ns17709.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    19437, 5755608 req, miss ratio 0.0664, byte miss ratio 0.0664
result/tencentBlock.ns17709.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    38875, 5755608 req, miss ratio 0.0456, byte miss ratio 0.0456
result/tencentBlock.ns17709.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    77751, 5755608 req, miss ratio 0.0171, byte miss ratio 0.0171
