result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-d cache size     1515, 1073735 req, miss ratio 0.0376, byte miss ratio 0.0376
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-d cache size     3030, 1073735 req, miss ratio 0.0273, byte miss ratio 0.0273
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-d cache size     6060, 1073735 req, miss ratio 0.0193, byte miss ratio 0.0193
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-d cache size    12120, 1073735 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_allcolo.ns4644.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       15, 1073735 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns4644.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       45, 1073735 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns4644.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      151, 1073735 req, miss ratio 0.1210, byte miss ratio 0.1210
result/cdn2_allcolo.ns4644.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      454, 1073735 req, miss ratio 0.0666, byte miss ratio 0.0666
result/cdn2_allcolo.ns4644.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1515, 1073735 req, miss ratio 0.0408, byte miss ratio 0.0408
result/cdn2_allcolo.ns4644.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3030, 1073735 req, miss ratio 0.0300, byte miss ratio 0.0300
result/cdn2_allcolo.ns4644.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6060, 1073735 req, miss ratio 0.0203, byte miss ratio 0.0203
result/cdn2_allcolo.ns4644.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    12120, 1073735 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_allcolo.ns4644.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       15, 1073735 req, miss ratio 0.2603, byte miss ratio 0.2603
result/cdn2_allcolo.ns4644.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       45, 1073735 req, miss ratio 0.1805, byte miss ratio 0.1805
result/cdn2_allcolo.ns4644.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      151, 1073735 req, miss ratio 0.1140, byte miss ratio 0.1140
result/cdn2_allcolo.ns4644.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      454, 1073735 req, miss ratio 0.0651, byte miss ratio 0.0651
result/cdn2_allcolo.ns4644.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1515, 1073735 req, miss ratio 0.0382, byte miss ratio 0.0382
result/cdn2_allcolo.ns4644.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3030, 1073735 req, miss ratio 0.0276, byte miss ratio 0.0276
result/cdn2_allcolo.ns4644.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6060, 1073735 req, miss ratio 0.0199, byte miss ratio 0.0199
result/cdn2_allcolo.ns4644.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    12120, 1073735 req, miss ratio 0.0151, byte miss ratio 0.0151
