result/trending_content_v2_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     1181, 166503119 req, miss ratio 0.0101, byte miss ratio 0.0101
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     3543, 166503119 req, miss ratio 0.0020, byte miss ratio 0.0020
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    11812, 166503119 req, miss ratio 0.0010, byte miss ratio 0.0010
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    23625, 166503119 req, miss ratio 0.0009, byte miss ratio 0.0009
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    47251, 166503119 req, miss ratio 0.0008, byte miss ratio 0.0008
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    94503, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      118, 166503119 req, miss ratio 0.2237, byte miss ratio 0.2237
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      354, 166503119 req, miss ratio 0.0539, byte miss ratio 0.0539
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     1181, 166503119 req, miss ratio 0.0073, byte miss ratio 0.0073
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     3543, 166503119 req, miss ratio 0.0013, byte miss ratio 0.0013
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    11812, 166503119 req, miss ratio 0.0009, byte miss ratio 0.0009
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    23625, 166503119 req, miss ratio 0.0008, byte miss ratio 0.0008
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    47251, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    94503, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst B-LRU cache size      118, 166503119 req, miss ratio 0.2670, byte miss ratio 0.2670
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst B-LRU cache size      354, 166503119 req, miss ratio 0.0606, byte miss ratio 0.0606
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst B-LRU cache size     1181, 166503119 req, miss ratio 0.0083, byte miss ratio 0.0083
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst B-LRU cache size     3543, 166503119 req, miss ratio 0.0020, byte miss ratio 0.0020
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst B-LRU cache size    11812, 166503119 req, miss ratio 0.0016, byte miss ratio 0.0016
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst B-LRU cache size    23625, 166503119 req, miss ratio 0.0015, byte miss ratio 0.0015
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst B-LRU cache size    47251, 166503119 req, miss ratio 0.0014, byte miss ratio 0.0014
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst B-LRU cache size    94503, 166503119 req, miss ratio 0.0014, byte miss ratio 0.0014
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst TwoQ cache size      118, 166503119 req, miss ratio 0.2395, byte miss ratio 0.2395
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst TwoQ cache size      354, 166503119 req, miss ratio 0.0581, byte miss ratio 0.0581
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst TwoQ cache size     1181, 166503119 req, miss ratio 0.0079, byte miss ratio 0.0079
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst TwoQ cache size     3543, 166503119 req, miss ratio 0.0017, byte miss ratio 0.0017
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst TwoQ cache size    11812, 166503119 req, miss ratio 0.0010, byte miss ratio 0.0010
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst TwoQ cache size    23625, 166503119 req, miss ratio 0.0008, byte miss ratio 0.0008
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst TwoQ cache size    47251, 166503119 req, miss ratio 0.0008, byte miss ratio 0.0008
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst TwoQ cache size    94503, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO cache size      118, 166503119 req, miss ratio 0.2100, byte miss ratio 0.2100
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO cache size      354, 166503119 req, miss ratio 0.0489, byte miss ratio 0.0489
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     1181, 166503119 req, miss ratio 0.0071, byte miss ratio 0.0071
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     3543, 166503119 req, miss ratio 0.0014, byte miss ratio 0.0014
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    11812, 166503119 req, miss ratio 0.0009, byte miss ratio 0.0009
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    23625, 166503119 req, miss ratio 0.0008, byte miss ratio 0.0008
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    47251, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    94503, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size      118, 166503119 req, miss ratio 0.2480, byte miss ratio 0.2480
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size      354, 166503119 req, miss ratio 0.0546, byte miss ratio 0.0546
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     1181, 166503119 req, miss ratio 0.0072, byte miss ratio 0.0072
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     3543, 166503119 req, miss ratio 0.0013, byte miss ratio 0.0013
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    11812, 166503119 req, miss ratio 0.0009, byte miss ratio 0.0009
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    23625, 166503119 req, miss ratio 0.0008, byte miss ratio 0.0008
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    47251, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    94503, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      118, 166503119 req, miss ratio 0.2089, byte miss ratio 0.2089
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      354, 166503119 req, miss ratio 0.0481, byte miss ratio 0.0481
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     1181, 166503119 req, miss ratio 0.0081, byte miss ratio 0.0081
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     3543, 166503119 req, miss ratio 0.0021, byte miss ratio 0.0021
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    11812, 166503119 req, miss ratio 0.0015, byte miss ratio 0.0015
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    23625, 166503119 req, miss ratio 0.0012, byte miss ratio 0.0012
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    47251, 166503119 req, miss ratio 0.0010, byte miss ratio 0.0010
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    94503, 166503119 req, miss ratio 0.0008, byte miss ratio 0.0008
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      118, 166503119 req, miss ratio 0.2049, byte miss ratio 0.2049
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      354, 166503119 req, miss ratio 0.0478, byte miss ratio 0.0478
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     1181, 166503119 req, miss ratio 0.0071, byte miss ratio 0.0071
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     3543, 166503119 req, miss ratio 0.0021, byte miss ratio 0.0021
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    11812, 166503119 req, miss ratio 0.0013, byte miss ratio 0.0013
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    23625, 166503119 req, miss ratio 0.0010, byte miss ratio 0.0010
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    47251, 166503119 req, miss ratio 0.0008, byte miss ratio 0.0008
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    94503, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
