result/cdn2_allcolo.ns4805.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      296, 1324035 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns4805.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      593, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1186, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2372, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst S4LRU(25:25:25:25) cache size        8, 1324035 req, miss ratio 0.0095, byte miss ratio 0.0095
result/cdn2_allcolo.ns4805.oracleGeneral.zst S4LRU(25:25:25:25) cache size       29, 1324035 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn2_allcolo.ns4805.oracleGeneral.zst S4LRU(25:25:25:25) cache size       88, 1324035 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_allcolo.ns4805.oracleGeneral.zst S4LRU(25:25:25:25) cache size      296, 1324035 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns4805.oracleGeneral.zst S4LRU(25:25:25:25) cache size      593, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1186, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2372, 1324035 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns4805.oracleGeneral.zst B-LRU cache size        8, 1324035 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns4805.oracleGeneral.zst B-LRU cache size       29, 1324035 req, miss ratio 0.0053, byte miss ratio 0.0053
result/cdn2_allcolo.ns4805.oracleGeneral.zst B-LRU cache size       88, 1324035 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_allcolo.ns4805.oracleGeneral.zst B-LRU cache size      296, 1324035 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns4805.oracleGeneral.zst B-LRU cache size      593, 1324035 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns4805.oracleGeneral.zst B-LRU cache size     1186, 1324035 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns4805.oracleGeneral.zst B-LRU cache size     2372, 1324035 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO-d cache size        8, 1324035 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO-d cache size       29, 1324035 req, miss ratio 0.0044, byte miss ratio 0.0044
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO-d cache size       88, 1324035 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO-d cache size      296, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO-d cache size      593, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO-d cache size     1186, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO-d cache size     2372, 1324035 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO cache size        8, 1324035 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO cache size       29, 1324035 req, miss ratio 0.0045, byte miss ratio 0.0045
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO cache size       88, 1324035 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO cache size      296, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO cache size      593, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO cache size     1186, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO cache size     2372, 1324035 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns4805.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        8, 1324035 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns4805.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       29, 1324035 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns4805.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       88, 1324035 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns4805.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      296, 1324035 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns4805.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      593, 1324035 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns4805.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1186, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2372, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        8, 1324035 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns4805.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       29, 1324035 req, miss ratio 0.0047, byte miss ratio 0.0047
result/cdn2_allcolo.ns4805.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       88, 1324035 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns4805.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      296, 1324035 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns4805.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      593, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1186, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2372, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
