result/w73.oracleGeneral.bin.zst S3FIFO cache size    60122, 6368815 req, miss ratio 0.3763, byte miss ratio 0.3763
result/w73.oracleGeneral.bin.zst S3FIFO cache size   120245, 6368815 req, miss ratio 0.2787, byte miss ratio 0.2787
result/w73.oracleGeneral.bin.zst S3FIFO cache size   240490, 6368815 req, miss ratio 0.1611, byte miss ratio 0.1611
result/w73.oracleGeneral.bin.zst S3FIFO cache size   480981, 6368815 req, miss ratio 0.0991, byte miss ratio 0.0991
result/w73.oracleGeneral.bin.zst S3FIFO-d cache size      601, 6368815 req, miss ratio 0.7161, byte miss ratio 0.7161
result/w73.oracleGeneral.bin.zst S3FIFO-d cache size     1803, 6368815 req, miss ratio 0.6853, byte miss ratio 0.6853
result/w73.oracleGeneral.bin.zst S3FIFO-d cache size     6012, 6368815 req, miss ratio 0.6423, byte miss ratio 0.6423
result/w73.oracleGeneral.bin.zst S3FIFO-d cache size    18036, 6368815 req, miss ratio 0.5675, byte miss ratio 0.5675
result/w73.oracleGeneral.bin.zst S3FIFO-d cache size    60122, 6368815 req, miss ratio 0.4124, byte miss ratio 0.4124
result/w73.oracleGeneral.bin.zst S3FIFO-d cache size   120245, 6368815 req, miss ratio 0.2834, byte miss ratio 0.2834
result/w73.oracleGeneral.bin.zst S3FIFO-d cache size   240490, 6368815 req, miss ratio 0.1710, byte miss ratio 0.1710
result/w73.oracleGeneral.bin.zst S3FIFO-d cache size   480981, 6368815 req, miss ratio 0.0991, byte miss ratio 0.0991
result/w73.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      601, 6368815 req, miss ratio 0.7387, byte miss ratio 0.7387
result/w73.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1803, 6368815 req, miss ratio 0.7018, byte miss ratio 0.7018
result/w73.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     6012, 6368815 req, miss ratio 0.6472, byte miss ratio 0.6472
result/w73.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    18036, 6368815 req, miss ratio 0.5579, byte miss ratio 0.5579
result/w73.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    60122, 6368815 req, miss ratio 0.3569, byte miss ratio 0.3569
result/w73.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   120245, 6368815 req, miss ratio 0.2595, byte miss ratio 0.2595
result/w73.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   240490, 6368815 req, miss ratio 0.1443, byte miss ratio 0.1443
result/w73.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   480981, 6368815 req, miss ratio 0.0958, byte miss ratio 0.0958
result/w73.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      601, 6368815 req, miss ratio 0.7169, byte miss ratio 0.7169
result/w73.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1803, 6368815 req, miss ratio 0.6869, byte miss ratio 0.6869
result/w73.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     6012, 6368815 req, miss ratio 0.6464, byte miss ratio 0.6464
result/w73.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    18036, 6368815 req, miss ratio 0.5646, byte miss ratio 0.5646
result/w73.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    60122, 6368815 req, miss ratio 0.3792, byte miss ratio 0.3792
result/w73.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   120245, 6368815 req, miss ratio 0.2583, byte miss ratio 0.2583
result/w73.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   240490, 6368815 req, miss ratio 0.1498, byte miss ratio 0.1498
result/w73.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   480981, 6368815 req, miss ratio 0.0965, byte miss ratio 0.0965
