result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO-d-1 cache size    47525, 1060216 req, miss ratio 0.1125, byte miss ratio 0.1125
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO-d-1 cache size    95050, 1060216 req, miss ratio 0.1121, byte miss ratio 0.1121
result/cdn2_colo28.ns3538.oracleGeneral.zst LRB cache size      118, 1060216 req, miss ratio 0.2207, byte miss ratio 0.2207
result/cdn2_colo28.ns3538.oracleGeneral.zst LRB cache size      356, 1060216 req, miss ratio 0.1694, byte miss ratio 0.1694
result/cdn2_colo28.ns3538.oracleGeneral.zst LRB cache size     1188, 1060216 req, miss ratio 0.1416, byte miss ratio 0.1416
result/cdn2_colo28.ns3538.oracleGeneral.zst LRB cache size     3564, 1060216 req, miss ratio 0.1282, byte miss ratio 0.1282
result/cdn2_colo28.ns3538.oracleGeneral.zst LRB cache size    11881, 1060216 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns3538.oracleGeneral.zst LRB cache size    23762, 1060216 req, miss ratio 0.1140, byte miss ratio 0.1140
result/cdn2_colo28.ns3538.oracleGeneral.zst LRB cache size    47525, 1060216 req, miss ratio 0.1127, byte miss ratio 0.1127
result/cdn2_colo28.ns3538.oracleGeneral.zst LRB cache size    95050, 1060216 req, miss ratio 0.1121, byte miss ratio 0.1121
result/cdn2_colo28.ns3538.oracleGeneral.zst S4LRU(25:25:25:25) cache size      118, 1060216 req, miss ratio 0.1827, byte miss ratio 0.1827
result/cdn2_colo28.ns3538.oracleGeneral.zst S4LRU(25:25:25:25) cache size      356, 1060216 req, miss ratio 0.1442, byte miss ratio 0.1442
result/cdn2_colo28.ns3538.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1188, 1060216 req, miss ratio 0.1247, byte miss ratio 0.1247
result/cdn2_colo28.ns3538.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3564, 1060216 req, miss ratio 0.1196, byte miss ratio 0.1196
result/cdn2_colo28.ns3538.oracleGeneral.zst S4LRU(25:25:25:25) cache size    11881, 1060216 req, miss ratio 0.1143, byte miss ratio 0.1143
result/cdn2_colo28.ns3538.oracleGeneral.zst S4LRU(25:25:25:25) cache size    23762, 1060216 req, miss ratio 0.1135, byte miss ratio 0.1135
result/cdn2_colo28.ns3538.oracleGeneral.zst S4LRU(25:25:25:25) cache size    47525, 1060216 req, miss ratio 0.1125, byte miss ratio 0.1125
result/cdn2_colo28.ns3538.oracleGeneral.zst S4LRU(25:25:25:25) cache size    95050, 1060216 req, miss ratio 0.1121, byte miss ratio 0.1121
result/cdn2_colo28.ns3538.oracleGeneral.zst TwoQ cache size      118, 1060216 req, miss ratio 0.1824, byte miss ratio 0.1824
result/cdn2_colo28.ns3538.oracleGeneral.zst TwoQ cache size      356, 1060216 req, miss ratio 0.1440, byte miss ratio 0.1440
result/cdn2_colo28.ns3538.oracleGeneral.zst TwoQ cache size     1188, 1060216 req, miss ratio 0.1246, byte miss ratio 0.1246
result/cdn2_colo28.ns3538.oracleGeneral.zst TwoQ cache size     3564, 1060216 req, miss ratio 0.1207, byte miss ratio 0.1207
result/cdn2_colo28.ns3538.oracleGeneral.zst TwoQ cache size    11881, 1060216 req, miss ratio 0.1156, byte miss ratio 0.1156
result/cdn2_colo28.ns3538.oracleGeneral.zst TwoQ cache size    23762, 1060216 req, miss ratio 0.1149, byte miss ratio 0.1149
result/cdn2_colo28.ns3538.oracleGeneral.zst TwoQ cache size    47525, 1060216 req, miss ratio 0.1143, byte miss ratio 0.1143
result/cdn2_colo28.ns3538.oracleGeneral.zst TwoQ cache size    95050, 1060216 req, miss ratio 0.1135, byte miss ratio 0.1135
result/cdn2_colo28.ns3538.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      118, 1060216 req, miss ratio 0.2132, byte miss ratio 0.2132
result/cdn2_colo28.ns3538.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      356, 1060216 req, miss ratio 0.1654, byte miss ratio 0.1654
result/cdn2_colo28.ns3538.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1188, 1060216 req, miss ratio 0.1391, byte miss ratio 0.1391
