result/tencentBlock.ns21298.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    15052, 1586158 req, miss ratio 0.3908, byte miss ratio 0.3908
result/tencentBlock.ns21298.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    30104, 1586158 req, miss ratio 0.3525, byte miss ratio 0.3525
result/tencentBlock.ns21298.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    60209, 1586158 req, miss ratio 0.2883, byte miss ratio 0.2883
result/tencentBlock.ns21298.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   120419, 1586158 req, miss ratio 0.1349, byte miss ratio 0.1349
result/tencentBlock.ns21298.oracleGeneral.zst S4LRU(25:25:25:25) cache size      150, 1586158 req, miss ratio 0.4861, byte miss ratio 0.4861
result/tencentBlock.ns21298.oracleGeneral.zst S4LRU(25:25:25:25) cache size      451, 1586158 req, miss ratio 0.4154, byte miss ratio 0.4154
result/tencentBlock.ns21298.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1505, 1586158 req, miss ratio 0.4028, byte miss ratio 0.4028
result/tencentBlock.ns21298.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4515, 1586158 req, miss ratio 0.3984, byte miss ratio 0.3984
result/tencentBlock.ns21298.oracleGeneral.zst S4LRU(25:25:25:25) cache size    15052, 1586158 req, miss ratio 0.3819, byte miss ratio 0.3819
result/tencentBlock.ns21298.oracleGeneral.zst S4LRU(25:25:25:25) cache size    30104, 1586158 req, miss ratio 0.3578, byte miss ratio 0.3578
result/tencentBlock.ns21298.oracleGeneral.zst S4LRU(25:25:25:25) cache size    60209, 1586158 req, miss ratio 0.2669, byte miss ratio 0.2669
result/tencentBlock.ns21298.oracleGeneral.zst S4LRU(25:25:25:25) cache size   120419, 1586158 req, miss ratio 0.1145, byte miss ratio 0.1145
result/tencentBlock.ns21298.oracleGeneral.zst TwoQ cache size      150, 1586158 req, miss ratio 0.4319, byte miss ratio 0.4319
result/tencentBlock.ns21298.oracleGeneral.zst TwoQ cache size      451, 1586158 req, miss ratio 0.4098, byte miss ratio 0.4098
result/tencentBlock.ns21298.oracleGeneral.zst TwoQ cache size     1505, 1586158 req, miss ratio 0.4012, byte miss ratio 0.4012
result/tencentBlock.ns21298.oracleGeneral.zst TwoQ cache size     4515, 1586158 req, miss ratio 0.3980, byte miss ratio 0.3980
result/tencentBlock.ns21298.oracleGeneral.zst TwoQ cache size    15052, 1586158 req, miss ratio 0.3314, byte miss ratio 0.3314
result/tencentBlock.ns21298.oracleGeneral.zst TwoQ cache size    30104, 1586158 req, miss ratio 0.2907, byte miss ratio 0.2907
result/tencentBlock.ns21298.oracleGeneral.zst TwoQ cache size    60209, 1586158 req, miss ratio 0.2393, byte miss ratio 0.2393
result/tencentBlock.ns21298.oracleGeneral.zst TwoQ cache size   120419, 1586158 req, miss ratio 0.1359, byte miss ratio 0.1359
result/tencentBlock.ns21298.oracleGeneral.zst B-LRU cache size      150, 1586158 req, miss ratio 0.5202, byte miss ratio 0.5202
result/tencentBlock.ns21298.oracleGeneral.zst B-LRU cache size      451, 1586158 req, miss ratio 0.4587, byte miss ratio 0.4587
result/tencentBlock.ns21298.oracleGeneral.zst B-LRU cache size     1505, 1586158 req, miss ratio 0.4490, byte miss ratio 0.4490
result/tencentBlock.ns21298.oracleGeneral.zst B-LRU cache size     4515, 1586158 req, miss ratio 0.4460, byte miss ratio 0.4460
result/tencentBlock.ns21298.oracleGeneral.zst B-LRU cache size    15052, 1586158 req, miss ratio 0.4096, byte miss ratio 0.4096
result/tencentBlock.ns21298.oracleGeneral.zst B-LRU cache size    30104, 1586158 req, miss ratio 0.3704, byte miss ratio 0.3704
result/tencentBlock.ns21298.oracleGeneral.zst B-LRU cache size    60209, 1586158 req, miss ratio 0.2879, byte miss ratio 0.2879
result/tencentBlock.ns21298.oracleGeneral.zst B-LRU cache size   120419, 1586158 req, miss ratio 0.2005, byte miss ratio 0.2005
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO cache size      150, 1586158 req, miss ratio 0.4331, byte miss ratio 0.4331
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO cache size      451, 1586158 req, miss ratio 0.4105, byte miss ratio 0.4105
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO cache size     1505, 1586158 req, miss ratio 0.4007, byte miss ratio 0.4007
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO cache size     4515, 1586158 req, miss ratio 0.3980, byte miss ratio 0.3980
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO cache size    15052, 1586158 req, miss ratio 0.3494, byte miss ratio 0.3494
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO cache size    30104, 1586158 req, miss ratio 0.3050, byte miss ratio 0.3050
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO cache size    60209, 1586158 req, miss ratio 0.2397, byte miss ratio 0.2397
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO cache size   120419, 1586158 req, miss ratio 0.1146, byte miss ratio 0.1146
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-d cache size      150, 1586158 req, miss ratio 0.4264, byte miss ratio 0.4264
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-d cache size      451, 1586158 req, miss ratio 0.4054, byte miss ratio 0.4054
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-d cache size     1505, 1586158 req, miss ratio 0.4006, byte miss ratio 0.4006
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-d cache size     4515, 1586158 req, miss ratio 0.3980, byte miss ratio 0.3980
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-d cache size    15052, 1586158 req, miss ratio 0.3492, byte miss ratio 0.3492
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-d cache size    30104, 1586158 req, miss ratio 0.3014, byte miss ratio 0.3014
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-d cache size    60209, 1586158 req, miss ratio 0.2397, byte miss ratio 0.2397
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-d cache size   120419, 1586158 req, miss ratio 0.1146, byte miss ratio 0.1146
result/tencentBlock.ns21298.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      150, 1586158 req, miss ratio 0.5706, byte miss ratio 0.5706
