result/tencentBlock.ns6814.oracleGeneral.zst B-LRU cache size   898542, 56981299 req, miss ratio 0.0868, byte miss ratio 0.0868
result/tencentBlock.ns6814.oracleGeneral.zst B-LRU cache size  1797084, 56981299 req, miss ratio 0.0762, byte miss ratio 0.0762
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO cache size     2246, 56981299 req, miss ratio 0.7743, byte miss ratio 0.7743
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO cache size     6739, 56981299 req, miss ratio 0.6724, byte miss ratio 0.6724
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO cache size    22463, 56981299 req, miss ratio 0.5423, byte miss ratio 0.5423
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO cache size    67390, 56981299 req, miss ratio 0.3998, byte miss ratio 0.3998
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO cache size   224635, 56981299 req, miss ratio 0.2099, byte miss ratio 0.2099
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO cache size   449271, 56981299 req, miss ratio 0.1165, byte miss ratio 0.1165
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO cache size   898542, 56981299 req, miss ratio 0.0544, byte miss ratio 0.0544
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO cache size  1797084, 56981299 req, miss ratio 0.0399, byte miss ratio 0.0399
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-d cache size     2246, 56981299 req, miss ratio 0.7875, byte miss ratio 0.7875
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-d cache size     6739, 56981299 req, miss ratio 0.6535, byte miss ratio 0.6535
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-d cache size    22463, 56981299 req, miss ratio 0.5262, byte miss ratio 0.5262
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-d cache size    67390, 56981299 req, miss ratio 0.4024, byte miss ratio 0.4024
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-d cache size   224635, 56981299 req, miss ratio 0.2146, byte miss ratio 0.2146
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-d cache size   449271, 56981299 req, miss ratio 0.1222, byte miss ratio 0.1222
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-d cache size   898542, 56981299 req, miss ratio 0.0602, byte miss ratio 0.0602
result/tencentBlock.ns6814.oracleGeneral.zst S3FIFO-d cache size  1797084, 56981299 req, miss ratio 0.0399, byte miss ratio 0.0399
result/tencentBlock.ns6814.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2246, 56981299 req, miss ratio 0.8131, byte miss ratio 0.8131
result/tencentBlock.ns6814.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6739, 56981299 req, miss ratio 0.7350, byte miss ratio 0.7350
result/tencentBlock.ns6814.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    22463, 56981299 req, miss ratio 0.6248, byte miss ratio 0.6248
result/tencentBlock.ns6814.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    67390, 56981299 req, miss ratio 0.4514, byte miss ratio 0.4514
result/tencentBlock.ns6814.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   224635, 56981299 req, miss ratio 0.2236, byte miss ratio 0.2236
result/tencentBlock.ns6814.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   449271, 56981299 req, miss ratio 0.1190, byte miss ratio 0.1190
result/tencentBlock.ns6814.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   898542, 56981299 req, miss ratio 0.0631, byte miss ratio 0.0631
result/tencentBlock.ns6814.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1797084, 56981299 req, miss ratio 0.0432, byte miss ratio 0.0432
result/tencentBlock.ns6814.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2246, 56981299 req, miss ratio 0.8073, byte miss ratio 0.8073
result/tencentBlock.ns6814.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6739, 56981299 req, miss ratio 0.7148, byte miss ratio 0.7148
result/tencentBlock.ns6814.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    22463, 56981299 req, miss ratio 0.5728, byte miss ratio 0.5728
result/tencentBlock.ns6814.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    67390, 56981299 req, miss ratio 0.4045, byte miss ratio 0.4045
result/tencentBlock.ns6814.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   224635, 56981299 req, miss ratio 0.2166, byte miss ratio 0.2166
result/tencentBlock.ns6814.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   449271, 56981299 req, miss ratio 0.1152, byte miss ratio 0.1152
result/tencentBlock.ns6814.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   898542, 56981299 req, miss ratio 0.0628, byte miss ratio 0.0628
result/tencentBlock.ns6814.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1797084, 56981299 req, miss ratio 0.0455, byte miss ratio 0.0455
