result/io_traces.ns25.oracleGeneral.zst TwoQ cache size  1741049, 10200000 req, miss ratio 0.5174, byte miss ratio 0.5174
result/io_traces.ns25.oracleGeneral.zst TwoQ cache size  3482098, 10200000 req, miss ratio 0.4424, byte miss ratio 0.4424
result/io_traces.ns25.oracleGeneral.zst B-LRU cache size     4352, 10200000 req, miss ratio 0.8190, byte miss ratio 0.8190
result/io_traces.ns25.oracleGeneral.zst B-LRU cache size    13057, 10200000 req, miss ratio 0.8113, byte miss ratio 0.8113
result/io_traces.ns25.oracleGeneral.zst B-LRU cache size    43526, 10200000 req, miss ratio 0.7788, byte miss ratio 0.7788
result/io_traces.ns25.oracleGeneral.zst B-LRU cache size   130578, 10200000 req, miss ratio 0.7321, byte miss ratio 0.7321
result/io_traces.ns25.oracleGeneral.zst B-LRU cache size   435262, 10200000 req, miss ratio 0.7011, byte miss ratio 0.7011
result/io_traces.ns25.oracleGeneral.zst B-LRU cache size   870524, 10200000 req, miss ratio 0.6674, byte miss ratio 0.6674
result/io_traces.ns25.oracleGeneral.zst B-LRU cache size  1741049, 10200000 req, miss ratio 0.6455, byte miss ratio 0.6455
result/io_traces.ns25.oracleGeneral.zst B-LRU cache size  3482098, 10200000 req, miss ratio 0.6434, byte miss ratio 0.6434
result/io_traces.ns25.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4352, 10200000 req, miss ratio 0.7074, byte miss ratio 0.7074
result/io_traces.ns25.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    13057, 10200000 req, miss ratio 0.7061, byte miss ratio 0.7061
result/io_traces.ns25.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    43526, 10200000 req, miss ratio 0.6949, byte miss ratio 0.6949
result/io_traces.ns25.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   130578, 10200000 req, miss ratio 0.6491, byte miss ratio 0.6491
result/io_traces.ns25.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   435262, 10200000 req, miss ratio 0.5889, byte miss ratio 0.5889
result/io_traces.ns25.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   870524, 10200000 req, miss ratio 0.5675, byte miss ratio 0.5675
result/io_traces.ns25.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1741049, 10200000 req, miss ratio 0.5096, byte miss ratio 0.5096
result/io_traces.ns25.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  3482098, 10200000 req, miss ratio 0.4373, byte miss ratio 0.4373
result/io_traces.ns25.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4352, 10200000 req, miss ratio 0.7082, byte miss ratio 0.7082
result/io_traces.ns25.oracleGeneral.zst S4LRU(25:25:25:25) cache size    13057, 10200000 req, miss ratio 0.7049, byte miss ratio 0.7049
result/io_traces.ns25.oracleGeneral.zst S4LRU(25:25:25:25) cache size    43526, 10200000 req, miss ratio 0.6980, byte miss ratio 0.6980
result/io_traces.ns25.oracleGeneral.zst S4LRU(25:25:25:25) cache size   130578, 10200000 req, miss ratio 0.6158, byte miss ratio 0.6158
result/io_traces.ns25.oracleGeneral.zst S4LRU(25:25:25:25) cache size   435262, 10200000 req, miss ratio 0.5786, byte miss ratio 0.5786
result/io_traces.ns25.oracleGeneral.zst S4LRU(25:25:25:25) cache size   870524, 10200000 req, miss ratio 0.5559, byte miss ratio 0.5559
result/io_traces.ns25.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1741049, 10200000 req, miss ratio 0.5112, byte miss ratio 0.5112
result/io_traces.ns25.oracleGeneral.zst S4LRU(25:25:25:25) cache size  3482098, 10200000 req, miss ratio 0.4369, byte miss ratio 0.4369
result/io_traces.ns25.oracleGeneral.zst S3FIFO cache size     4352, 10200000 req, miss ratio 0.7072, byte miss ratio 0.7072
result/io_traces.ns25.oracleGeneral.zst S3FIFO cache size    13057, 10200000 req, miss ratio 0.7004, byte miss ratio 0.7004
result/io_traces.ns25.oracleGeneral.zst S3FIFO cache size    43526, 10200000 req, miss ratio 0.6302, byte miss ratio 0.6302
result/io_traces.ns25.oracleGeneral.zst S3FIFO cache size   130578, 10200000 req, miss ratio 0.5923, byte miss ratio 0.5923
result/io_traces.ns25.oracleGeneral.zst S3FIFO cache size   435262, 10200000 req, miss ratio 0.5828, byte miss ratio 0.5828
result/io_traces.ns25.oracleGeneral.zst S3FIFO cache size   870524, 10200000 req, miss ratio 0.5593, byte miss ratio 0.5593
result/io_traces.ns25.oracleGeneral.zst S3FIFO cache size  1741049, 10200000 req, miss ratio 0.5113, byte miss ratio 0.5113
result/io_traces.ns25.oracleGeneral.zst S3FIFO cache size  3482098, 10200000 req, miss ratio 0.4362, byte miss ratio 0.4362
result/io_traces.ns25.oracleGeneral.zst S3FIFO-d cache size     4352, 10200000 req, miss ratio 0.7071, byte miss ratio 0.7071
result/io_traces.ns25.oracleGeneral.zst S3FIFO-d cache size    13057, 10200000 req, miss ratio 0.7002, byte miss ratio 0.7002
result/io_traces.ns25.oracleGeneral.zst S3FIFO-d cache size    43526, 10200000 req, miss ratio 0.6292, byte miss ratio 0.6292
result/io_traces.ns25.oracleGeneral.zst S3FIFO-d cache size   130578, 10200000 req, miss ratio 0.5918, byte miss ratio 0.5918
result/io_traces.ns25.oracleGeneral.zst S3FIFO-d cache size   435262, 10200000 req, miss ratio 0.5828, byte miss ratio 0.5828
result/io_traces.ns25.oracleGeneral.zst S3FIFO-d cache size   870524, 10200000 req, miss ratio 0.5592, byte miss ratio 0.5592
result/io_traces.ns25.oracleGeneral.zst S3FIFO-d cache size  1741049, 10200000 req, miss ratio 0.5113, byte miss ratio 0.5113
result/io_traces.ns25.oracleGeneral.zst S3FIFO-d cache size  3482098, 10200000 req, miss ratio 0.4362, byte miss ratio 0.4362
result/io_traces.ns25.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4352, 10200000 req, miss ratio 0.7110, byte miss ratio 0.7110
result/io_traces.ns25.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    13057, 10200000 req, miss ratio 0.6728, byte miss ratio 0.6728
result/io_traces.ns25.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    43526, 10200000 req, miss ratio 0.6080, byte miss ratio 0.6080
result/io_traces.ns25.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   130578, 10200000 req, miss ratio 0.5868, byte miss ratio 0.5868
result/io_traces.ns25.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   435262, 10200000 req, miss ratio 0.5588, byte miss ratio 0.5588
result/io_traces.ns25.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   870524, 10200000 req, miss ratio 0.5277, byte miss ratio 0.5277
result/io_traces.ns25.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1741049, 10200000 req, miss ratio 0.4814, byte miss ratio 0.4814
result/io_traces.ns25.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  3482098, 10200000 req, miss ratio 0.4323, byte miss ratio 0.4323
result/io_traces.ns25.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4352, 10200000 req, miss ratio 0.6962, byte miss ratio 0.6962
result/io_traces.ns25.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    13057, 10200000 req, miss ratio 0.6713, byte miss ratio 0.6713
result/io_traces.ns25.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    43526, 10200000 req, miss ratio 0.6083, byte miss ratio 0.6083
result/io_traces.ns25.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   130578, 10200000 req, miss ratio 0.5878, byte miss ratio 0.5878
result/io_traces.ns25.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   435262, 10200000 req, miss ratio 0.5654, byte miss ratio 0.5654
result/io_traces.ns25.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   870524, 10200000 req, miss ratio 0.5357, byte miss ratio 0.5357
result/io_traces.ns25.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1741049, 10200000 req, miss ratio 0.4888, byte miss ratio 0.4888
result/io_traces.ns25.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  3482098, 10200000 req, miss ratio 0.4362, byte miss ratio 0.4362
