result/cdn2_colo28.ns387.oracleGeneral.zst LRB cache size   105686, 3131344 req, miss ratio 0.2067, byte miss ratio 0.2067
result/cdn2_colo28.ns387.oracleGeneral.zst LRB cache size   211372, 3131344 req, miss ratio 0.1732, byte miss ratio 0.1732
result/cdn2_colo28.ns387.oracleGeneral.zst LRB cache size   422745, 3131344 req, miss ratio 0.1690, byte miss ratio 0.1690
result/cdn2_colo28.ns387.oracleGeneral.zst S4LRU(25:25:25:25) cache size      528, 3131344 req, miss ratio 0.5797, byte miss ratio 0.5797
result/cdn2_colo28.ns387.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1585, 3131344 req, miss ratio 0.5616, byte miss ratio 0.5616
result/cdn2_colo28.ns387.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5284, 3131344 req, miss ratio 0.5361, byte miss ratio 0.5361
result/cdn2_colo28.ns387.oracleGeneral.zst S4LRU(25:25:25:25) cache size    15852, 3131344 req, miss ratio 0.4757, byte miss ratio 0.4757
result/cdn2_colo28.ns387.oracleGeneral.zst S4LRU(25:25:25:25) cache size    52843, 3131344 req, miss ratio 0.2608, byte miss ratio 0.2608
result/cdn2_colo28.ns387.oracleGeneral.zst S4LRU(25:25:25:25) cache size   105686, 3131344 req, miss ratio 0.1838, byte miss ratio 0.1838
result/cdn2_colo28.ns387.oracleGeneral.zst S4LRU(25:25:25:25) cache size   211372, 3131344 req, miss ratio 0.1722, byte miss ratio 0.1722
result/cdn2_colo28.ns387.oracleGeneral.zst S4LRU(25:25:25:25) cache size   422745, 3131344 req, miss ratio 0.1689, byte miss ratio 0.1689
result/cdn2_colo28.ns387.oracleGeneral.zst B-LRU cache size      528, 3131344 req, miss ratio 0.6039, byte miss ratio 0.6039
result/cdn2_colo28.ns387.oracleGeneral.zst B-LRU cache size     1585, 3131344 req, miss ratio 0.5904, byte miss ratio 0.5904
result/cdn2_colo28.ns387.oracleGeneral.zst B-LRU cache size     5284, 3131344 req, miss ratio 0.5784, byte miss ratio 0.5784
result/cdn2_colo28.ns387.oracleGeneral.zst B-LRU cache size    15852, 3131344 req, miss ratio 0.5648, byte miss ratio 0.5648
result/cdn2_colo28.ns387.oracleGeneral.zst B-LRU cache size    52843, 3131344 req, miss ratio 0.2570, byte miss ratio 0.2570
