result/cdn1_sjc.ns330.oracleGeneral.bin.zst B-LRU cache size       52, 11295584 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn1_sjc.ns330.oracleGeneral.bin.zst B-LRU cache size      175, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst B-LRU cache size      351, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst B-LRU cache size      703, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst B-LRU cache size     1406, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst TwoQ cache size        5, 11295584 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn1_sjc.ns330.oracleGeneral.bin.zst TwoQ cache size       17, 11295584 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn1_sjc.ns330.oracleGeneral.bin.zst TwoQ cache size       52, 11295584 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn1_sjc.ns330.oracleGeneral.bin.zst TwoQ cache size      175, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst TwoQ cache size      351, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst TwoQ cache size      703, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst TwoQ cache size     1406, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size        5, 11295584 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn1_sjc.ns330.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       17, 11295584 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn1_sjc.ns330.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       52, 11295584 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn1_sjc.ns330.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      175, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      351, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      703, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1406, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size        5, 11295584 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn1_sjc.ns330.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size       17, 11295584 req, miss ratio 0.0006, byte miss ratio 0.0006
