result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO-d-1 cache size    30825, 2335244 req, miss ratio 0.6559, byte miss ratio 0.6559
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO-d-1 cache size   102753, 2335244 req, miss ratio 0.5766, byte miss ratio 0.5766
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO-d-1 cache size   205506, 2335244 req, miss ratio 0.5272, byte miss ratio 0.5272
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO-d-1 cache size   411012, 2335244 req, miss ratio 0.4841, byte miss ratio 0.4841
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO-d-1 cache size   822024, 2335244 req, miss ratio 0.4433, byte miss ratio 0.4433
result/cdn2_colo28.ns1315.oracleGeneral.zst LRB cache size     1027, 2335244 req, miss ratio 0.8248, byte miss ratio 0.8248
result/cdn2_colo28.ns1315.oracleGeneral.zst LRB cache size     3082, 2335244 req, miss ratio 0.7931, byte miss ratio 0.7931
result/cdn2_colo28.ns1315.oracleGeneral.zst LRB cache size    10275, 2335244 req, miss ratio 0.7464, byte miss ratio 0.7464
result/cdn2_colo28.ns1315.oracleGeneral.zst LRB cache size    30825, 2335244 req, miss ratio 0.6932, byte miss ratio 0.6932
result/cdn2_colo28.ns1315.oracleGeneral.zst LRB cache size   102753, 2335244 req, miss ratio 0.6091, byte miss ratio 0.6091
result/cdn2_colo28.ns1315.oracleGeneral.zst LRB cache size   205506, 2335244 req, miss ratio 0.5424, byte miss ratio 0.5424
result/cdn2_colo28.ns1315.oracleGeneral.zst LRB cache size   411012, 2335244 req, miss ratio 0.4883, byte miss ratio 0.4883
result/cdn2_colo28.ns1315.oracleGeneral.zst LRB cache size   822024, 2335244 req, miss ratio 0.4433, byte miss ratio 0.4433
result/cdn2_colo28.ns1315.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1027, 2335244 req, miss ratio 0.8244, byte miss ratio 0.8244
result/cdn2_colo28.ns1315.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3082, 2335244 req, miss ratio 0.7867, byte miss ratio 0.7867
result/cdn2_colo28.ns1315.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10275, 2335244 req, miss ratio 0.7331, byte miss ratio 0.7331
result/cdn2_colo28.ns1315.oracleGeneral.zst S4LRU(25:25:25:25) cache size    30825, 2335244 req, miss ratio 0.6693, byte miss ratio 0.6693
result/cdn2_colo28.ns1315.oracleGeneral.zst S4LRU(25:25:25:25) cache size   102753, 2335244 req, miss ratio 0.5920, byte miss ratio 0.5920
result/cdn2_colo28.ns1315.oracleGeneral.zst S4LRU(25:25:25:25) cache size   205506, 2335244 req, miss ratio 0.5404, byte miss ratio 0.5404
result/cdn2_colo28.ns1315.oracleGeneral.zst S4LRU(25:25:25:25) cache size   411012, 2335244 req, miss ratio 0.4854, byte miss ratio 0.4854
result/cdn2_colo28.ns1315.oracleGeneral.zst S4LRU(25:25:25:25) cache size   822024, 2335244 req, miss ratio 0.4435, byte miss ratio 0.4435
result/cdn2_colo28.ns1315.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1027, 2335244 req, miss ratio 0.8372, byte miss ratio 0.8372
result/cdn2_colo28.ns1315.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3082, 2335244 req, miss ratio 0.8034, byte miss ratio 0.8034
result/cdn2_colo28.ns1315.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10275, 2335244 req, miss ratio 0.7519, byte miss ratio 0.7519
result/cdn2_colo28.ns1315.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    30825, 2335244 req, miss ratio 0.6892, byte miss ratio 0.6892
result/cdn2_colo28.ns1315.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   102753, 2335244 req, miss ratio 0.6001, byte miss ratio 0.6001
result/cdn2_colo28.ns1315.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   205506, 2335244 req, miss ratio 0.5424, byte miss ratio 0.5424
result/cdn2_colo28.ns1315.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   411012, 2335244 req, miss ratio 0.4901, byte miss ratio 0.4901
result/cdn2_colo28.ns1315.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   822024, 2335244 req, miss ratio 0.4452, byte miss ratio 0.4452
result/cdn2_colo28.ns1315.oracleGeneral.zst B-LRU cache size     1027, 2335244 req, miss ratio 0.8459, byte miss ratio 0.8459
result/cdn2_colo28.ns1315.oracleGeneral.zst B-LRU cache size     3082, 2335244 req, miss ratio 0.8121, byte miss ratio 0.8121
result/cdn2_colo28.ns1315.oracleGeneral.zst B-LRU cache size    10275, 2335244 req, miss ratio 0.7583, byte miss ratio 0.7583
result/cdn2_colo28.ns1315.oracleGeneral.zst B-LRU cache size    30825, 2335244 req, miss ratio 0.6973, byte miss ratio 0.6973
result/cdn2_colo28.ns1315.oracleGeneral.zst B-LRU cache size   102753, 2335244 req, miss ratio 0.6227, byte miss ratio 0.6227
result/cdn2_colo28.ns1315.oracleGeneral.zst B-LRU cache size   205506, 2335244 req, miss ratio 0.5899, byte miss ratio 0.5899
result/cdn2_colo28.ns1315.oracleGeneral.zst B-LRU cache size   411012, 2335244 req, miss ratio 0.5820, byte miss ratio 0.5820
result/cdn2_colo28.ns1315.oracleGeneral.zst B-LRU cache size   822024, 2335244 req, miss ratio 0.5820, byte miss ratio 0.5820
result/cdn2_colo28.ns1315.oracleGeneral.zst TwoQ cache size     1027, 2335244 req, miss ratio 0.8145, byte miss ratio 0.8145
result/cdn2_colo28.ns1315.oracleGeneral.zst TwoQ cache size     3082, 2335244 req, miss ratio 0.7811, byte miss ratio 0.7811
result/cdn2_colo28.ns1315.oracleGeneral.zst TwoQ cache size    10275, 2335244 req, miss ratio 0.7296, byte miss ratio 0.7296
result/cdn2_colo28.ns1315.oracleGeneral.zst TwoQ cache size    30825, 2335244 req, miss ratio 0.6680, byte miss ratio 0.6680
result/cdn2_colo28.ns1315.oracleGeneral.zst TwoQ cache size   102753, 2335244 req, miss ratio 0.5995, byte miss ratio 0.5995
result/cdn2_colo28.ns1315.oracleGeneral.zst TwoQ cache size   205506, 2335244 req, miss ratio 0.5532, byte miss ratio 0.5532
result/cdn2_colo28.ns1315.oracleGeneral.zst TwoQ cache size   411012, 2335244 req, miss ratio 0.5087, byte miss ratio 0.5087
