result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO-d cache size      345, 1007266 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO-d cache size      691, 1007266 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn1_nyc.ns211.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size        8, 1007266 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_nyc.ns211.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       25, 1007266 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_nyc.ns211.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       86, 1007266 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_nyc.ns211.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      172, 1007266 req, miss ratio 0.0092, byte miss ratio 0.0092
result/cdn1_nyc.ns211.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      345, 1007266 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn1_nyc.ns211.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      691, 1007266 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn1_nyc.ns211.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size        8, 1007266 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_nyc.ns211.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       25, 1007266 req, miss ratio 0.0339, byte miss ratio 0.0339
result/cdn1_nyc.ns211.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       86, 1007266 req, miss ratio 0.0207, byte miss ratio 0.0207
result/cdn1_nyc.ns211.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      172, 1007266 req, miss ratio 0.0087, byte miss ratio 0.0087
result/cdn1_nyc.ns211.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      345, 1007266 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn1_nyc.ns211.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      691, 1007266 req, miss ratio 0.0010, byte miss ratio 0.0010
