result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size        7, 1049845 req, miss ratio 0.1397, byte miss ratio 0.1397
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size       21, 1049845 req, miss ratio 0.0720, byte miss ratio 0.0720
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size       71, 1049845 req, miss ratio 0.0590, byte miss ratio 0.0590
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      214, 1049845 req, miss ratio 0.0507, byte miss ratio 0.0507
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      714, 1049845 req, miss ratio 0.0371, byte miss ratio 0.0371
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1428, 1049845 req, miss ratio 0.0273, byte miss ratio 0.0273
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     2857, 1049845 req, miss ratio 0.0167, byte miss ratio 0.0167
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     5715, 1049845 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size        7, 1049845 req, miss ratio 0.1291, byte miss ratio 0.1291
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       21, 1049845 req, miss ratio 0.0783, byte miss ratio 0.0783
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       71, 1049845 req, miss ratio 0.0605, byte miss ratio 0.0605
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      214, 1049845 req, miss ratio 0.0520, byte miss ratio 0.0520
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      714, 1049845 req, miss ratio 0.0399, byte miss ratio 0.0399
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1428, 1049845 req, miss ratio 0.0309, byte miss ratio 0.0309
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     2857, 1049845 req, miss ratio 0.0205, byte miss ratio 0.0205
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     5715, 1049845 req, miss ratio 0.0094, byte miss ratio 0.0094
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst TwoQ cache size        7, 1049845 req, miss ratio 0.1237, byte miss ratio 0.1237
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst TwoQ cache size       21, 1049845 req, miss ratio 0.0752, byte miss ratio 0.0752
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst TwoQ cache size       71, 1049845 req, miss ratio 0.0616, byte miss ratio 0.0616
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst TwoQ cache size      214, 1049845 req, miss ratio 0.0497, byte miss ratio 0.0497
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst TwoQ cache size      714, 1049845 req, miss ratio 0.0334, byte miss ratio 0.0334
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst TwoQ cache size     1428, 1049845 req, miss ratio 0.0239, byte miss ratio 0.0239
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst TwoQ cache size     2857, 1049845 req, miss ratio 0.0154, byte miss ratio 0.0154
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst TwoQ cache size     5715, 1049845 req, miss ratio 0.0099, byte miss ratio 0.0099
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst B-LRU cache size        7, 1049845 req, miss ratio 0.1281, byte miss ratio 0.1281
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst B-LRU cache size       21, 1049845 req, miss ratio 0.0775, byte miss ratio 0.0775
result/cdn1_sjc.ns1087.oracleGeneral.bin.zst B-LRU cache size       71, 1049845 req, miss ratio 0.0627, byte miss ratio 0.0627
