result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst clock2 cache size   654900, 152732993 req, miss ratio 0.0057, byte miss ratio 0.0057
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst ARC cache size      818, 152732993 req, miss ratio 0.3223, byte miss ratio 0.3223
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst ARC cache size     2455, 152732993 req, miss ratio 0.2471, byte miss ratio 0.2471
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst ARC cache size     8186, 152732993 req, miss ratio 0.1367, byte miss ratio 0.1367
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst ARC cache size    24558, 152732993 req, miss ratio 0.0779, byte miss ratio 0.0779
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst ARC cache size    81862, 152732993 req, miss ratio 0.0374, byte miss ratio 0.0374
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst ARC cache size   163725, 152732993 req, miss ratio 0.0227, byte miss ratio 0.0227
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst ARC cache size   327450, 152732993 req, miss ratio 0.0111, byte miss ratio 0.0111
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst ARC cache size   654900, 152732993 req, miss ratio 0.0055, byte miss ratio 0.0055
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LIRS cache size      818, 152732993 req, miss ratio 0.3265, byte miss ratio 0.3265
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LIRS cache size     2455, 152732993 req, miss ratio 0.2471, byte miss ratio 0.2471
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LIRS cache size     8186, 152732993 req, miss ratio 0.1367, byte miss ratio 0.1367
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LIRS cache size    24558, 152732993 req, miss ratio 0.0779, byte miss ratio 0.0779
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LIRS cache size    81862, 152732993 req, miss ratio 0.0374, byte miss ratio 0.0374
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LIRS cache size   163725, 152732993 req, miss ratio 0.0227, byte miss ratio 0.0227
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LIRS cache size   327450, 152732993 req, miss ratio 0.0111, byte miss ratio 0.0111
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LIRS cache size   654900, 152732993 req, miss ratio 0.0055, byte miss ratio 0.0055
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst Clock cache size      818, 152732993 req, miss ratio 0.3258, byte miss ratio 0.3258
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst Clock cache size     2455, 152732993 req, miss ratio 0.2525, byte miss ratio 0.2525
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst Clock cache size     8186, 152732993 req, miss ratio 0.1400, byte miss ratio 0.1400
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst Clock cache size    24558, 152732993 req, miss ratio 0.0800, byte miss ratio 0.0800
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst Clock cache size    81862, 152732993 req, miss ratio 0.0387, byte miss ratio 0.0387
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst Clock cache size   163725, 152732993 req, miss ratio 0.0236, byte miss ratio 0.0236
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst Clock cache size   327450, 152732993 req, miss ratio 0.0117, byte miss ratio 0.0117
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst Clock cache size   654900, 152732993 req, miss ratio 0.0062, byte miss ratio 0.0062
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size      818, 152732993 req, miss ratio 0.3195, byte miss ratio 0.3195
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     2455, 152732993 req, miss ratio 0.2339, byte miss ratio 0.2339
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     8186, 152732993 req, miss ratio 0.1425, byte miss ratio 0.1425
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    24558, 152732993 req, miss ratio 0.0807, byte miss ratio 0.0807
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    81862, 152732993 req, miss ratio 0.0370, byte miss ratio 0.0370
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   163725, 152732993 req, miss ratio 0.0213, byte miss ratio 0.0213
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   327450, 152732993 req, miss ratio 0.0101, byte miss ratio 0.0101
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   654900, 152732993 req, miss ratio 0.0062, byte miss ratio 0.0062
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LRB cache size      818, 152732993 req, miss ratio 0.3017, byte miss ratio 0.3017
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LRB cache size     2455, 152732993 req, miss ratio 0.2264, byte miss ratio 0.2264
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LRB cache size     8186, 152732993 req, miss ratio 0.1395, byte miss ratio 0.1395
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LRB cache size    24558, 152732993 req, miss ratio 0.0764, byte miss ratio 0.0764
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LRB cache size    81862, 152732993 req, miss ratio 0.0358, byte miss ratio 0.0358
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LRB cache size   163725, 152732993 req, miss ratio 0.0196, byte miss ratio 0.0196
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LRB cache size   327450, 152732993 req, miss ratio 0.0091, byte miss ratio 0.0091
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst LRB cache size   654900, 152732993 req, miss ratio 0.0055, byte miss ratio 0.0055
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      818, 152732993 req, miss ratio 0.3197, byte miss ratio 0.3197
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     2455, 152732993 req, miss ratio 0.2299, byte miss ratio 0.2299
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     8186, 152732993 req, miss ratio 0.1364, byte miss ratio 0.1364
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    24558, 152732993 req, miss ratio 0.0774, byte miss ratio 0.0774
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    81862, 152732993 req, miss ratio 0.0370, byte miss ratio 0.0370
