result/cdn2_colo28.ns70.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    52358, 24163184 req, miss ratio 0.7238, byte miss ratio 0.7238
result/cdn2_colo28.ns70.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   174529, 24163184 req, miss ratio 0.7230, byte miss ratio 0.7230
result/cdn2_colo28.ns70.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   523589, 24163184 req, miss ratio 0.7227, byte miss ratio 0.7227
result/cdn2_colo28.ns70.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1745297, 24163184 req, miss ratio 0.7225, byte miss ratio 0.7225
result/cdn2_colo28.ns70.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  3490595, 24163184 req, miss ratio 0.7225, byte miss ratio 0.7225
result/cdn2_colo28.ns70.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  6981190, 24163184 req, miss ratio 0.7224, byte miss ratio 0.7224
result/cdn2_colo28.ns70.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size 13962380, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    17452, 24163184 req, miss ratio 0.7235, byte miss ratio 0.7235
result/cdn2_colo28.ns70.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    52358, 24163184 req, miss ratio 0.7232, byte miss ratio 0.7232
result/cdn2_colo28.ns70.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   174529, 24163184 req, miss ratio 0.7228, byte miss ratio 0.7228
result/cdn2_colo28.ns70.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   523589, 24163184 req, miss ratio 0.7226, byte miss ratio 0.7226
result/cdn2_colo28.ns70.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1745297, 24163184 req, miss ratio 0.7224, byte miss ratio 0.7224
result/cdn2_colo28.ns70.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  3490595, 24163184 req, miss ratio 0.7224, byte miss ratio 0.7224
result/cdn2_colo28.ns70.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  6981190, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size 13962380, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
