result/tencentBlock.ns5268.oracleGeneral.zst LRB cache size   134836, 4867334 req, miss ratio 0.0364, byte miss ratio 0.0364
result/tencentBlock.ns5268.oracleGeneral.zst TwoQ cache size      168, 4867334 req, miss ratio 0.4263, byte miss ratio 0.4263
result/tencentBlock.ns5268.oracleGeneral.zst TwoQ cache size      505, 4867334 req, miss ratio 0.3347, byte miss ratio 0.3347
result/tencentBlock.ns5268.oracleGeneral.zst TwoQ cache size     1685, 4867334 req, miss ratio 0.2627, byte miss ratio 0.2627
result/tencentBlock.ns5268.oracleGeneral.zst TwoQ cache size     5056, 4867334 req, miss ratio 0.1930, byte miss ratio 0.1930
result/tencentBlock.ns5268.oracleGeneral.zst TwoQ cache size    16854, 4867334 req, miss ratio 0.1353, byte miss ratio 0.1353
result/tencentBlock.ns5268.oracleGeneral.zst TwoQ cache size    33709, 4867334 req, miss ratio 0.1173, byte miss ratio 0.1173
result/tencentBlock.ns5268.oracleGeneral.zst TwoQ cache size    67418, 4867334 req, miss ratio 0.0714, byte miss ratio 0.0714
result/tencentBlock.ns5268.oracleGeneral.zst TwoQ cache size   134836, 4867334 req, miss ratio 0.0442, byte miss ratio 0.0442
result/tencentBlock.ns5268.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      168, 4867334 req, miss ratio 0.4901, byte miss ratio 0.4901
result/tencentBlock.ns5268.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      505, 4867334 req, miss ratio 0.3725, byte miss ratio 0.3725
result/tencentBlock.ns5268.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1685, 4867334 req, miss ratio 0.3154, byte miss ratio 0.3154
result/tencentBlock.ns5268.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5056, 4867334 req, miss ratio 0.2441, byte miss ratio 0.2441
result/tencentBlock.ns5268.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    16854, 4867334 req, miss ratio 0.1594, byte miss ratio 0.1594
result/tencentBlock.ns5268.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    33709, 4867334 req, miss ratio 0.1250, byte miss ratio 0.1250
result/tencentBlock.ns5268.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    67418, 4867334 req, miss ratio 0.0836, byte miss ratio 0.0836
result/tencentBlock.ns5268.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   134836, 4867334 req, miss ratio 0.0440, byte miss ratio 0.0440
result/tencentBlock.ns5268.oracleGeneral.zst B-LRU cache size      168, 4867334 req, miss ratio 0.4917, byte miss ratio 0.4917
