result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO-d cache size    28961, 1206240 req, miss ratio 0.8047, byte miss ratio 0.8047
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO-d cache size    96539, 1206240 req, miss ratio 0.8039, byte miss ratio 0.8039
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO-d cache size   193079, 1206240 req, miss ratio 0.8018, byte miss ratio 0.8018
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO-d cache size   386158, 1206240 req, miss ratio 0.8007, byte miss ratio 0.8007
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO-d cache size   772316, 1206240 req, miss ratio 0.8003, byte miss ratio 0.8003
result/cdn2_colo28.ns1129.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      965, 1206240 req, miss ratio 0.8103, byte miss ratio 0.8103
result/cdn2_colo28.ns1129.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2896, 1206240 req, miss ratio 0.8083, byte miss ratio 0.8083
result/cdn2_colo28.ns1129.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9653, 1206240 req, miss ratio 0.8072, byte miss ratio 0.8072
result/cdn2_colo28.ns1129.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    28961, 1206240 req, miss ratio 0.8064, byte miss ratio 0.8064
result/cdn2_colo28.ns1129.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    96539, 1206240 req, miss ratio 0.8053, byte miss ratio 0.8053
result/cdn2_colo28.ns1129.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   193079, 1206240 req, miss ratio 0.8044, byte miss ratio 0.8044
result/cdn2_colo28.ns1129.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   386158, 1206240 req, miss ratio 0.8029, byte miss ratio 0.8029
result/cdn2_colo28.ns1129.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   772316, 1206240 req, miss ratio 0.8007, byte miss ratio 0.8007
result/cdn2_colo28.ns1129.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      965, 1206240 req, miss ratio 0.8073, byte miss ratio 0.8073
result/cdn2_colo28.ns1129.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2896, 1206240 req, miss ratio 0.8067, byte miss ratio 0.8067
result/cdn2_colo28.ns1129.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9653, 1206240 req, miss ratio 0.8061, byte miss ratio 0.8061
result/cdn2_colo28.ns1129.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    28961, 1206240 req, miss ratio 0.8055, byte miss ratio 0.8055
result/cdn2_colo28.ns1129.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    96539, 1206240 req, miss ratio 0.8046, byte miss ratio 0.8046
result/cdn2_colo28.ns1129.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   193079, 1206240 req, miss ratio 0.8038, byte miss ratio 0.8038
result/cdn2_colo28.ns1129.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   386158, 1206240 req, miss ratio 0.8025, byte miss ratio 0.8025
result/cdn2_colo28.ns1129.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   772316, 1206240 req, miss ratio 0.8008, byte miss ratio 0.8008
