result/cdn2_allcolo.ns431.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6340, 21901362 req, miss ratio 0.0633, byte miss ratio 0.0633
result/cdn2_allcolo.ns431.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    19022, 21901362 req, miss ratio 0.0580, byte miss ratio 0.0580
result/cdn2_allcolo.ns431.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    63409, 21901362 req, miss ratio 0.0591, byte miss ratio 0.0591
result/cdn2_allcolo.ns431.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   126819, 21901362 req, miss ratio 0.0444, byte miss ratio 0.0444
result/cdn2_allcolo.ns431.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   253639, 21901362 req, miss ratio 0.0367, byte miss ratio 0.0367
result/cdn2_allcolo.ns431.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   507279, 21901362 req, miss ratio 0.0299, byte miss ratio 0.0299
result/cdn2_allcolo.ns431.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      634, 21901362 req, miss ratio 0.0802, byte miss ratio 0.0802
result/cdn2_allcolo.ns431.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1902, 21901362 req, miss ratio 0.0680, byte miss ratio 0.0680
result/cdn2_allcolo.ns431.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6340, 21901362 req, miss ratio 0.0560, byte miss ratio 0.0560
result/cdn2_allcolo.ns431.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    19022, 21901362 req, miss ratio 0.0501, byte miss ratio 0.0501
result/cdn2_allcolo.ns431.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    63409, 21901362 req, miss ratio 0.0319, byte miss ratio 0.0319
result/cdn2_allcolo.ns431.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   126819, 21901362 req, miss ratio 0.0293, byte miss ratio 0.0293
result/cdn2_allcolo.ns431.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   253639, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   507279, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
