result/user_activity_cache.1.oracleGeneral.sample10.zst TwoQ cache size   286097, 28647511 req, miss ratio 0.0297, byte miss ratio 0.0297
result/user_activity_cache.1.oracleGeneral.sample10.zst TwoQ cache size   572194, 28647511 req, miss ratio 0.0268, byte miss ratio 0.0268
result/user_activity_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      715, 28647511 req, miss ratio 0.3865, byte miss ratio 0.3865
result/user_activity_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     2145, 28647511 req, miss ratio 0.2287, byte miss ratio 0.2287
result/user_activity_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     7152, 28647511 req, miss ratio 0.1390, byte miss ratio 0.1390
result/user_activity_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    21457, 28647511 req, miss ratio 0.0853, byte miss ratio 0.0853
result/user_activity_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    71524, 28647511 req, miss ratio 0.0490, byte miss ratio 0.0490
result/user_activity_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   143048, 28647511 req, miss ratio 0.0361, byte miss ratio 0.0361
result/user_activity_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   286097, 28647511 req, miss ratio 0.0282, byte miss ratio 0.0282
result/user_activity_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   572194, 28647511 req, miss ratio 0.0258, byte miss ratio 0.0258
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO cache size      715, 28647511 req, miss ratio 0.2908, byte miss ratio 0.2908
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     2145, 28647511 req, miss ratio 0.1883, byte miss ratio 0.1883
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     7152, 28647511 req, miss ratio 0.1180, byte miss ratio 0.1180
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    21457, 28647511 req, miss ratio 0.0728, byte miss ratio 0.0728
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    71524, 28647511 req, miss ratio 0.0441, byte miss ratio 0.0441
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   143048, 28647511 req, miss ratio 0.0314, byte miss ratio 0.0314
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   286097, 28647511 req, miss ratio 0.0267, byte miss ratio 0.0267
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   572194, 28647511 req, miss ratio 0.0251, byte miss ratio 0.0251
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size      715, 28647511 req, miss ratio 0.3072, byte miss ratio 0.3072
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     2145, 28647511 req, miss ratio 0.1890, byte miss ratio 0.1890
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     7152, 28647511 req, miss ratio 0.1182, byte miss ratio 0.1182
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    21457, 28647511 req, miss ratio 0.0728, byte miss ratio 0.0728
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    71524, 28647511 req, miss ratio 0.0441, byte miss ratio 0.0441
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   143048, 28647511 req, miss ratio 0.0313, byte miss ratio 0.0313
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   286097, 28647511 req, miss ratio 0.0267, byte miss ratio 0.0267
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   572194, 28647511 req, miss ratio 0.0251, byte miss ratio 0.0251
result/user_activity_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      715, 28647511 req, miss ratio 0.2914, byte miss ratio 0.2914
result/user_activity_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     2145, 28647511 req, miss ratio 0.2014, byte miss ratio 0.2014
result/user_activity_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     7152, 28647511 req, miss ratio 0.1305, byte miss ratio 0.1305
result/user_activity_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    21457, 28647511 req, miss ratio 0.0853, byte miss ratio 0.0853
result/user_activity_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    71524, 28647511 req, miss ratio 0.0534, byte miss ratio 0.0534
result/user_activity_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   143048, 28647511 req, miss ratio 0.0402, byte miss ratio 0.0402
result/user_activity_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   286097, 28647511 req, miss ratio 0.0333, byte miss ratio 0.0333
result/user_activity_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   572194, 28647511 req, miss ratio 0.0272, byte miss ratio 0.0272
result/user_activity_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      715, 28647511 req, miss ratio 0.2885, byte miss ratio 0.2885
result/user_activity_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     2145, 28647511 req, miss ratio 0.1924, byte miss ratio 0.1924
result/user_activity_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     7152, 28647511 req, miss ratio 0.1250, byte miss ratio 0.1250
result/user_activity_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    21457, 28647511 req, miss ratio 0.0813, byte miss ratio 0.0813
result/user_activity_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    71524, 28647511 req, miss ratio 0.0507, byte miss ratio 0.0507
result/user_activity_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   143048, 28647511 req, miss ratio 0.0380, byte miss ratio 0.0380
result/user_activity_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   286097, 28647511 req, miss ratio 0.0314, byte miss ratio 0.0314
result/user_activity_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   572194, 28647511 req, miss ratio 0.0269, byte miss ratio 0.0269
