result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  4516001, 507257408 req, miss ratio 0.0120, byte miss ratio 0.0120
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LRB cache size     5645, 507257408 req, miss ratio 0.2421, byte miss ratio 0.2421
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LRB cache size    16935, 507257408 req, miss ratio 0.1614, byte miss ratio 0.1614
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LRB cache size    56450, 507257408 req, miss ratio 0.0941, byte miss ratio 0.0941
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LRB cache size   169350, 507257408 req, miss ratio 0.0539, byte miss ratio 0.0539
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LRB cache size   564500, 507257408 req, miss ratio 0.0276, byte miss ratio 0.0276
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LRB cache size  1129000, 507257408 req, miss ratio 0.0195, byte miss ratio 0.0195
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LRB cache size  2258000, 507257408 req, miss ratio 0.0142, byte miss ratio 0.0142
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LRB cache size  4516001, 507257408 req, miss ratio 0.0113, byte miss ratio 0.0113
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst B-LRU cache size     5645, 507257408 req, miss ratio 0.2973, byte miss ratio 0.2973
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst B-LRU cache size    16935, 507257408 req, miss ratio 0.2013, byte miss ratio 0.2013
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst B-LRU cache size    56450, 507257408 req, miss ratio 0.1189, byte miss ratio 0.1189
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst B-LRU cache size   169350, 507257408 req, miss ratio 0.0699, byte miss ratio 0.0699
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst B-LRU cache size   564500, 507257408 req, miss ratio 0.0392, byte miss ratio 0.0392
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst B-LRU cache size  1129000, 507257408 req, miss ratio 0.0297, byte miss ratio 0.0297
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst B-LRU cache size  2258000, 507257408 req, miss ratio 0.0232, byte miss ratio 0.0232
