result/cdn2_allcolo.ns703.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       67, 7557016 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns703.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      225, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      450, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      901, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1802, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst S4LRU(25:25:25:25) cache size        6, 7557016 req, miss ratio 0.5716, byte miss ratio 0.5716
result/cdn2_allcolo.ns703.oracleGeneral.zst S4LRU(25:25:25:25) cache size       22, 7557016 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_allcolo.ns703.oracleGeneral.zst S4LRU(25:25:25:25) cache size       67, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst S4LRU(25:25:25:25) cache size      225, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst S4LRU(25:25:25:25) cache size      450, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst S4LRU(25:25:25:25) cache size      901, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1802, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst TwoQ cache size        6, 7557016 req, miss ratio 0.4956, byte miss ratio 0.4956
result/cdn2_allcolo.ns703.oracleGeneral.zst TwoQ cache size       22, 7557016 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_allcolo.ns703.oracleGeneral.zst TwoQ cache size       67, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst TwoQ cache size      225, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst TwoQ cache size      450, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst TwoQ cache size      901, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst TwoQ cache size     1802, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst B-LRU cache size        6, 7557016 req, miss ratio 0.5755, byte miss ratio 0.5755
result/cdn2_allcolo.ns703.oracleGeneral.zst B-LRU cache size       22, 7557016 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns703.oracleGeneral.zst B-LRU cache size       67, 7557016 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns703.oracleGeneral.zst B-LRU cache size      225, 7557016 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns703.oracleGeneral.zst B-LRU cache size      450, 7557016 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns703.oracleGeneral.zst B-LRU cache size      901, 7557016 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns703.oracleGeneral.zst B-LRU cache size     1802, 7557016 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO cache size        6, 7557016 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO cache size       22, 7557016 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO cache size       67, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
