result/cdn2_allcolo.ns256.oracleGeneral.zst LRB cache size      594, 21236651 req, miss ratio 0.6659, byte miss ratio 0.6659
result/cdn2_allcolo.ns256.oracleGeneral.zst LRB cache size     1782, 21236651 req, miss ratio 0.4714, byte miss ratio 0.4714
result/cdn2_allcolo.ns256.oracleGeneral.zst LRB cache size     5941, 21236651 req, miss ratio 0.2574, byte miss ratio 0.2574
result/cdn2_allcolo.ns256.oracleGeneral.zst LRB cache size    17824, 21236651 req, miss ratio 0.1170, byte miss ratio 0.1170
result/cdn2_allcolo.ns256.oracleGeneral.zst LRB cache size    59415, 21236651 req, miss ratio 0.0549, byte miss ratio 0.0549
result/cdn2_allcolo.ns256.oracleGeneral.zst LRB cache size   118830, 21236651 req, miss ratio 0.0401, byte miss ratio 0.0401
result/cdn2_allcolo.ns256.oracleGeneral.zst LRB cache size   237661, 21236651 req, miss ratio 0.0323, byte miss ratio 0.0323
result/cdn2_allcolo.ns256.oracleGeneral.zst LRB cache size   475322, 21236651 req, miss ratio 0.0292, byte miss ratio 0.0292
result/cdn2_allcolo.ns256.oracleGeneral.zst S4LRU(25:25:25:25) cache size      594, 21236651 req, miss ratio 0.6665, byte miss ratio 0.6665
result/cdn2_allcolo.ns256.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1782, 21236651 req, miss ratio 0.4847, byte miss ratio 0.4847
result/cdn2_allcolo.ns256.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5941, 21236651 req, miss ratio 0.2811, byte miss ratio 0.2811
result/cdn2_allcolo.ns256.oracleGeneral.zst S4LRU(25:25:25:25) cache size    17824, 21236651 req, miss ratio 0.1390, byte miss ratio 0.1390
result/cdn2_allcolo.ns256.oracleGeneral.zst S4LRU(25:25:25:25) cache size    59415, 21236651 req, miss ratio 0.0590, byte miss ratio 0.0590
result/cdn2_allcolo.ns256.oracleGeneral.zst S4LRU(25:25:25:25) cache size   118830, 21236651 req, miss ratio 0.0425, byte miss ratio 0.0425
result/cdn2_allcolo.ns256.oracleGeneral.zst S4LRU(25:25:25:25) cache size   237661, 21236651 req, miss ratio 0.0320, byte miss ratio 0.0320
result/cdn2_allcolo.ns256.oracleGeneral.zst S4LRU(25:25:25:25) cache size   475322, 21236651 req, miss ratio 0.0282, byte miss ratio 0.0282
result/cdn2_allcolo.ns256.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      594, 21236651 req, miss ratio 0.6871, byte miss ratio 0.6871
result/cdn2_allcolo.ns256.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1782, 21236651 req, miss ratio 0.5225, byte miss ratio 0.5225
result/cdn2_allcolo.ns256.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5941, 21236651 req, miss ratio 0.3153, byte miss ratio 0.3153
result/cdn2_allcolo.ns256.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    17824, 21236651 req, miss ratio 0.1610, byte miss ratio 0.1610
result/cdn2_allcolo.ns256.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    59415, 21236651 req, miss ratio 0.0683, byte miss ratio 0.0683
