result/tencentBlock.ns12963.oracleGeneral.zst TwoQ cache size       69, 15000762 req, miss ratio 0.6855, byte miss ratio 0.6855
result/tencentBlock.ns12963.oracleGeneral.zst TwoQ cache size      207, 15000762 req, miss ratio 0.5035, byte miss ratio 0.5035
result/tencentBlock.ns12963.oracleGeneral.zst TwoQ cache size      690, 15000762 req, miss ratio 0.3855, byte miss ratio 0.3855
result/tencentBlock.ns12963.oracleGeneral.zst TwoQ cache size     2072, 15000762 req, miss ratio 0.1109, byte miss ratio 0.1109
result/tencentBlock.ns12963.oracleGeneral.zst TwoQ cache size     6908, 15000762 req, miss ratio 0.0857, byte miss ratio 0.0857
result/tencentBlock.ns12963.oracleGeneral.zst TwoQ cache size    13817, 15000762 req, miss ratio 0.0557, byte miss ratio 0.0557
result/tencentBlock.ns12963.oracleGeneral.zst TwoQ cache size    27635, 15000762 req, miss ratio 0.0249, byte miss ratio 0.0249
result/tencentBlock.ns12963.oracleGeneral.zst TwoQ cache size    55271, 15000762 req, miss ratio 0.0119, byte miss ratio 0.0119
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO cache size       69, 15000762 req, miss ratio 0.6514, byte miss ratio 0.6514
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO cache size      207, 15000762 req, miss ratio 0.4801, byte miss ratio 0.4801
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO cache size      690, 15000762 req, miss ratio 0.3123, byte miss ratio 0.3123
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO cache size     2072, 15000762 req, miss ratio 0.1099, byte miss ratio 0.1099
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO cache size     6908, 15000762 req, miss ratio 0.0851, byte miss ratio 0.0851
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO cache size    13817, 15000762 req, miss ratio 0.0520, byte miss ratio 0.0520
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO cache size    27635, 15000762 req, miss ratio 0.0248, byte miss ratio 0.0248
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO cache size    55271, 15000762 req, miss ratio 0.0095, byte miss ratio 0.0095
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO-d cache size       69, 15000762 req, miss ratio 0.8303, byte miss ratio 0.8303
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO-d cache size      207, 15000762 req, miss ratio 0.6981, byte miss ratio 0.6981
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO-d cache size      690, 15000762 req, miss ratio 0.3739, byte miss ratio 0.3739
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO-d cache size     2072, 15000762 req, miss ratio 0.1099, byte miss ratio 0.1099
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO-d cache size     6908, 15000762 req, miss ratio 0.0852, byte miss ratio 0.0852
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO-d cache size    13817, 15000762 req, miss ratio 0.0524, byte miss ratio 0.0524
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO-d cache size    27635, 15000762 req, miss ratio 0.0248, byte miss ratio 0.0248
result/tencentBlock.ns12963.oracleGeneral.zst S3FIFO-d cache size    55271, 15000762 req, miss ratio 0.0095, byte miss ratio 0.0095
result/tencentBlock.ns12963.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       69, 15000762 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns12963.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      207, 15000762 req, miss ratio 0.5033, byte miss ratio 0.5033
result/tencentBlock.ns12963.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      690, 15000762 req, miss ratio 0.2406, byte miss ratio 0.2406
result/tencentBlock.ns12963.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2072, 15000762 req, miss ratio 0.1109, byte miss ratio 0.1109
result/tencentBlock.ns12963.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6908, 15000762 req, miss ratio 0.0844, byte miss ratio 0.0844
result/tencentBlock.ns12963.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    13817, 15000762 req, miss ratio 0.0497, byte miss ratio 0.0497
result/tencentBlock.ns12963.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    27635, 15000762 req, miss ratio 0.0213, byte miss ratio 0.0213
result/tencentBlock.ns12963.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    55271, 15000762 req, miss ratio 0.0080, byte miss ratio 0.0080
result/tencentBlock.ns12963.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       69, 15000762 req, miss ratio 0.6750, byte miss ratio 0.6750
result/tencentBlock.ns12963.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      207, 15000762 req, miss ratio 0.4992, byte miss ratio 0.4992
result/tencentBlock.ns12963.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      690, 15000762 req, miss ratio 0.2612, byte miss ratio 0.2612
result/tencentBlock.ns12963.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2072, 15000762 req, miss ratio 0.1106, byte miss ratio 0.1106
result/tencentBlock.ns12963.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6908, 15000762 req, miss ratio 0.0845, byte miss ratio 0.0845
result/tencentBlock.ns12963.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    13817, 15000762 req, miss ratio 0.0510, byte miss ratio 0.0510
result/tencentBlock.ns12963.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    27635, 15000762 req, miss ratio 0.0222, byte miss ratio 0.0222
result/tencentBlock.ns12963.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    55271, 15000762 req, miss ratio 0.0089, byte miss ratio 0.0089
