result/cdn2_colo28.ns34.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2225, 22199791 req, miss ratio 0.2117, byte miss ratio 0.2117
result/cdn2_colo28.ns34.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7419, 22199791 req, miss ratio 0.0799, byte miss ratio 0.0799
result/cdn2_colo28.ns34.oracleGeneral.zst S4LRU(25:25:25:25) cache size    14838, 22199791 req, miss ratio 0.0270, byte miss ratio 0.0270
result/cdn2_colo28.ns34.oracleGeneral.zst S4LRU(25:25:25:25) cache size    29677, 22199791 req, miss ratio 0.0091, byte miss ratio 0.0091
result/cdn2_colo28.ns34.oracleGeneral.zst S4LRU(25:25:25:25) cache size    59354, 22199791 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_colo28.ns34.oracleGeneral.zst TwoQ cache size       74, 22199791 req, miss ratio 0.4097, byte miss ratio 0.4097
result/cdn2_colo28.ns34.oracleGeneral.zst TwoQ cache size      222, 22199791 req, miss ratio 0.3593, byte miss ratio 0.3593
result/cdn2_colo28.ns34.oracleGeneral.zst TwoQ cache size      741, 22199791 req, miss ratio 0.2915, byte miss ratio 0.2915
result/cdn2_colo28.ns34.oracleGeneral.zst TwoQ cache size     2225, 22199791 req, miss ratio 0.2011, byte miss ratio 0.2011
result/cdn2_colo28.ns34.oracleGeneral.zst TwoQ cache size     7419, 22199791 req, miss ratio 0.0791, byte miss ratio 0.0791
result/cdn2_colo28.ns34.oracleGeneral.zst TwoQ cache size    14838, 22199791 req, miss ratio 0.0282, byte miss ratio 0.0282
result/cdn2_colo28.ns34.oracleGeneral.zst TwoQ cache size    29677, 22199791 req, miss ratio 0.0101, byte miss ratio 0.0101
result/cdn2_colo28.ns34.oracleGeneral.zst TwoQ cache size    59354, 22199791 req, miss ratio 0.0048, byte miss ratio 0.0048
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO-d cache size       74, 22199791 req, miss ratio 0.4135, byte miss ratio 0.4135
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO-d cache size      222, 22199791 req, miss ratio 0.3591, byte miss ratio 0.3591
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO-d cache size      741, 22199791 req, miss ratio 0.2889, byte miss ratio 0.2889
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO-d cache size     2225, 22199791 req, miss ratio 0.1970, byte miss ratio 0.1970
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO-d cache size     7419, 22199791 req, miss ratio 0.0743, byte miss ratio 0.0743
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO-d cache size    14838, 22199791 req, miss ratio 0.0251, byte miss ratio 0.0251
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO-d cache size    29677, 22199791 req, miss ratio 0.0086, byte miss ratio 0.0086
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO-d cache size    59354, 22199791 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO cache size       74, 22199791 req, miss ratio 0.4104, byte miss ratio 0.4104
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO cache size      222, 22199791 req, miss ratio 0.3585, byte miss ratio 0.3585
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO cache size      741, 22199791 req, miss ratio 0.2891, byte miss ratio 0.2891
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO cache size     2225, 22199791 req, miss ratio 0.1977, byte miss ratio 0.1977
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO cache size     7419, 22199791 req, miss ratio 0.0739, byte miss ratio 0.0739
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO cache size    14838, 22199791 req, miss ratio 0.0250, byte miss ratio 0.0250
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO cache size    29677, 22199791 req, miss ratio 0.0086, byte miss ratio 0.0086
result/cdn2_colo28.ns34.oracleGeneral.zst S3FIFO cache size    59354, 22199791 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_colo28.ns34.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       74, 22199791 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns34.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      222, 22199791 req, miss ratio 0.3513, byte miss ratio 0.3513
result/cdn2_colo28.ns34.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      741, 22199791 req, miss ratio 0.2797, byte miss ratio 0.2797
result/cdn2_colo28.ns34.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2225, 22199791 req, miss ratio 0.1821, byte miss ratio 0.1821
result/cdn2_colo28.ns34.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7419, 22199791 req, miss ratio 0.0618, byte miss ratio 0.0618
