result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LRU cache size   168154, 13334390 req, miss ratio 0.0384, byte miss ratio 0.0384
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LRU cache size   336308, 13334390 req, miss ratio 0.0319, byte miss ratio 0.0319
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size      420, 13334390 req, miss ratio 0.2198, byte miss ratio 0.2198
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     1261, 13334390 req, miss ratio 0.1642, byte miss ratio 0.1642
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     4203, 13334390 req, miss ratio 0.1199, byte miss ratio 0.1199
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    12611, 13334390 req, miss ratio 0.0905, byte miss ratio 0.0905
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    42038, 13334390 req, miss ratio 0.0609, byte miss ratio 0.0609
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    84077, 13334390 req, miss ratio 0.0459, byte miss ratio 0.0459
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   168154, 13334390 req, miss ratio 0.0358, byte miss ratio 0.0358
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   336308, 13334390 req, miss ratio 0.0318, byte miss ratio 0.0318
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LRB cache size      420, 13334390 req, miss ratio 0.2120, byte miss ratio 0.2120
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LRB cache size     1261, 13334390 req, miss ratio 0.1616, byte miss ratio 0.1616
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LRB cache size     4203, 13334390 req, miss ratio 0.1195, byte miss ratio 0.1195
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LRB cache size    12611, 13334390 req, miss ratio 0.0933, byte miss ratio 0.0933
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LRB cache size    42038, 13334390 req, miss ratio 0.0684, byte miss ratio 0.0684
