result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    12212, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    36636, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   122122, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   366367, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1221223, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  2442446, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  4884893, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  9769787, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst TwoQ cache size    12212, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst TwoQ cache size    36636, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst TwoQ cache size   122122, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst TwoQ cache size   366367, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst TwoQ cache size  1221223, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst TwoQ cache size  2442446, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst TwoQ cache size  4884893, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
