result/tencentBlock.ns19342.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       84, 3163841 req, miss ratio 0.5785, byte miss ratio 0.5785
result/tencentBlock.ns19342.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      252, 3163841 req, miss ratio 0.3445, byte miss ratio 0.3445
result/tencentBlock.ns19342.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      842, 3163841 req, miss ratio 0.1817, byte miss ratio 0.1817
result/tencentBlock.ns19342.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2527, 3163841 req, miss ratio 0.1688, byte miss ratio 0.1688
result/tencentBlock.ns19342.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     8424, 3163841 req, miss ratio 0.1597, byte miss ratio 0.1597
result/tencentBlock.ns19342.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    16848, 3163841 req, miss ratio 0.1447, byte miss ratio 0.1447
result/tencentBlock.ns19342.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    33696, 3163841 req, miss ratio 0.1116, byte miss ratio 0.1116
result/tencentBlock.ns19342.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    67392, 3163841 req, miss ratio 0.0456, byte miss ratio 0.0456
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-d cache size       84, 3163841 req, miss ratio 0.4060, byte miss ratio 0.4060
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-d cache size      252, 3163841 req, miss ratio 0.3236, byte miss ratio 0.3236
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-d cache size      842, 3163841 req, miss ratio 0.1690, byte miss ratio 0.1690
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-d cache size     2527, 3163841 req, miss ratio 0.1603, byte miss ratio 0.1603
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-d cache size     8424, 3163841 req, miss ratio 0.1493, byte miss ratio 0.1493
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-d cache size    16848, 3163841 req, miss ratio 0.1235, byte miss ratio 0.1235
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-d cache size    33696, 3163841 req, miss ratio 0.1065, byte miss ratio 0.1065
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-d cache size    67392, 3163841 req, miss ratio 0.0309, byte miss ratio 0.0309
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO cache size       84, 3163841 req, miss ratio 0.4039, byte miss ratio 0.4039
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO cache size      252, 3163841 req, miss ratio 0.2715, byte miss ratio 0.2715
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO cache size      842, 3163841 req, miss ratio 0.1688, byte miss ratio 0.1688
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO cache size     2527, 3163841 req, miss ratio 0.1602, byte miss ratio 0.1602
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO cache size     8424, 3163841 req, miss ratio 0.1493, byte miss ratio 0.1493
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO cache size    16848, 3163841 req, miss ratio 0.1245, byte miss ratio 0.1245
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO cache size    33696, 3163841 req, miss ratio 0.1095, byte miss ratio 0.1095
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO cache size    67392, 3163841 req, miss ratio 0.0309, byte miss ratio 0.0309
result/tencentBlock.ns19342.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       84, 3163841 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns19342.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      252, 3163841 req, miss ratio 0.3020, byte miss ratio 0.3020
result/tencentBlock.ns19342.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      842, 3163841 req, miss ratio 0.1882, byte miss ratio 0.1882
result/tencentBlock.ns19342.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2527, 3163841 req, miss ratio 0.1631, byte miss ratio 0.1631
result/tencentBlock.ns19342.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     8424, 3163841 req, miss ratio 0.1432, byte miss ratio 0.1432
result/tencentBlock.ns19342.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    16848, 3163841 req, miss ratio 0.1183, byte miss ratio 0.1183
result/tencentBlock.ns19342.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    33696, 3163841 req, miss ratio 0.0753, byte miss ratio 0.0753
result/tencentBlock.ns19342.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    67392, 3163841 req, miss ratio 0.0275, byte miss ratio 0.0275
result/tencentBlock.ns19342.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       84, 3163841 req, miss ratio 0.3957, byte miss ratio 0.3957
result/tencentBlock.ns19342.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      252, 3163841 req, miss ratio 0.2601, byte miss ratio 0.2601
result/tencentBlock.ns19342.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      842, 3163841 req, miss ratio 0.1689, byte miss ratio 0.1689
result/tencentBlock.ns19342.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2527, 3163841 req, miss ratio 0.1750, byte miss ratio 0.1750
result/tencentBlock.ns19342.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     8424, 3163841 req, miss ratio 0.1416, byte miss ratio 0.1416
result/tencentBlock.ns19342.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    16848, 3163841 req, miss ratio 0.1213, byte miss ratio 0.1213
result/tencentBlock.ns19342.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    33696, 3163841 req, miss ratio 0.0841, byte miss ratio 0.0841
result/tencentBlock.ns19342.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    67392, 3163841 req, miss ratio 0.0276, byte miss ratio 0.0276
