result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-d-1 cache size   157390, 1772758 req, miss ratio 0.1112, byte miss ratio 0.1112
result/cdn1_lax.ns567.oracleGeneral.bin.zst LRB cache size      196, 1772758 req, miss ratio 0.8107, byte miss ratio 0.8107
result/cdn1_lax.ns567.oracleGeneral.bin.zst LRB cache size      590, 1772758 req, miss ratio 0.7285, byte miss ratio 0.7285
result/cdn1_lax.ns567.oracleGeneral.bin.zst LRB cache size     1967, 1772758 req, miss ratio 0.5993, byte miss ratio 0.5993
result/cdn1_lax.ns567.oracleGeneral.bin.zst LRB cache size     5902, 1772758 req, miss ratio 0.4581, byte miss ratio 0.4581
result/cdn1_lax.ns567.oracleGeneral.bin.zst LRB cache size    19673, 1772758 req, miss ratio 0.3198, byte miss ratio 0.3198
result/cdn1_lax.ns567.oracleGeneral.bin.zst LRB cache size    39347, 1772758 req, miss ratio 0.2634, byte miss ratio 0.2634
result/cdn1_lax.ns567.oracleGeneral.bin.zst LRB cache size    78695, 1772758 req, miss ratio 0.1376, byte miss ratio 0.1376
result/cdn1_lax.ns567.oracleGeneral.bin.zst LRB cache size   157390, 1772758 req, miss ratio 0.1112, byte miss ratio 0.1112
result/cdn1_lax.ns567.oracleGeneral.bin.zst TwoQ cache size      196, 1772758 req, miss ratio 0.8189, byte miss ratio 0.8189
result/cdn1_lax.ns567.oracleGeneral.bin.zst TwoQ cache size      590, 1772758 req, miss ratio 0.7390, byte miss ratio 0.7390
result/cdn1_lax.ns567.oracleGeneral.bin.zst TwoQ cache size     1967, 1772758 req, miss ratio 0.6133, byte miss ratio 0.6133
result/cdn1_lax.ns567.oracleGeneral.bin.zst TwoQ cache size     5902, 1772758 req, miss ratio 0.4640, byte miss ratio 0.4640
result/cdn1_lax.ns567.oracleGeneral.bin.zst TwoQ cache size    19673, 1772758 req, miss ratio 0.3045, byte miss ratio 0.3045
result/cdn1_lax.ns567.oracleGeneral.bin.zst TwoQ cache size    39347, 1772758 req, miss ratio 0.2148, byte miss ratio 0.2148
result/cdn1_lax.ns567.oracleGeneral.bin.zst TwoQ cache size    78695, 1772758 req, miss ratio 0.1512, byte miss ratio 0.1512
