result/tencent_photo2.oracleGeneral.sample10.zst LRB cache size 40727394, 273066692 req, miss ratio 0.1870, byte miss ratio 0.1870
result/tencent_photo2.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    50909, 273066692 req, miss ratio 0.6916, byte miss ratio 0.6916
result/tencent_photo2.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   152727, 273066692 req, miss ratio 0.5727, byte miss ratio 0.5727
result/tencent_photo2.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   509092, 273066692 req, miss ratio 0.4331, byte miss ratio 0.4331
result/tencent_photo2.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1527277, 273066692 req, miss ratio 0.3273, byte miss ratio 0.3273
result/tencent_photo2.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  5090924, 273066692 req, miss ratio 0.2491, byte miss ratio 0.2491
result/tencent_photo2.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 10181848, 273066692 req, miss ratio 0.2179, byte miss ratio 0.2179
result/tencent_photo2.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 20363697, 273066692 req, miss ratio 0.1973, byte miss ratio 0.1973
result/tencent_photo2.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 40727394, 273066692 req, miss ratio 0.1875, byte miss ratio 0.1875
result/tencent_photo2.oracleGeneral.sample10.zst TwoQ cache size    50909, 273066692 req, miss ratio 0.6590, byte miss ratio 0.6590
result/tencent_photo2.oracleGeneral.sample10.zst TwoQ cache size   152727, 273066692 req, miss ratio 0.5345, byte miss ratio 0.5345
result/tencent_photo2.oracleGeneral.sample10.zst TwoQ cache size   509092, 273066692 req, miss ratio 0.4131, byte miss ratio 0.4131
result/tencent_photo2.oracleGeneral.sample10.zst TwoQ cache size  1527277, 273066692 req, miss ratio 0.3293, byte miss ratio 0.3293
result/tencent_photo2.oracleGeneral.sample10.zst TwoQ cache size  5090924, 273066692 req, miss ratio 0.2637, byte miss ratio 0.2637
result/tencent_photo2.oracleGeneral.sample10.zst TwoQ cache size 10181848, 273066692 req, miss ratio 0.2306, byte miss ratio 0.2306
result/tencent_photo2.oracleGeneral.sample10.zst TwoQ cache size 20363697, 273066692 req, miss ratio 0.2046, byte miss ratio 0.2046
result/tencent_photo2.oracleGeneral.sample10.zst TwoQ cache size 40727394, 273066692 req, miss ratio 0.1891, byte miss ratio 0.1891
result/tencent_photo2.oracleGeneral.sample10.zst B-LRU cache size    50909, 273066692 req, miss ratio 0.7049, byte miss ratio 0.7049
result/tencent_photo2.oracleGeneral.sample10.zst B-LRU cache size   152727, 273066692 req, miss ratio 0.5977, byte miss ratio 0.5977
result/tencent_photo2.oracleGeneral.sample10.zst B-LRU cache size   509092, 273066692 req, miss ratio 0.4640, byte miss ratio 0.4640
result/tencent_photo2.oracleGeneral.sample10.zst B-LRU cache size  1527277, 273066692 req, miss ratio 0.3644, byte miss ratio 0.3644
result/tencent_photo2.oracleGeneral.sample10.zst B-LRU cache size  5090924, 273066692 req, miss ratio 0.2967, byte miss ratio 0.2967
result/tencent_photo2.oracleGeneral.sample10.zst B-LRU cache size 10181848, 273066692 req, miss ratio 0.2766, byte miss ratio 0.2766
result/tencent_photo2.oracleGeneral.sample10.zst B-LRU cache size 20363697, 273066692 req, miss ratio 0.2698, byte miss ratio 0.2698
result/tencent_photo2.oracleGeneral.sample10.zst B-LRU cache size 40727394, 273066692 req, miss ratio 0.2697, byte miss ratio 0.2697
result/tencent_photo2.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    50909, 273066692 req, miss ratio 0.6572, byte miss ratio 0.6572
result/tencent_photo2.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   152727, 273066692 req, miss ratio 0.5351, byte miss ratio 0.5351
result/tencent_photo2.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   509092, 273066692 req, miss ratio 0.4041, byte miss ratio 0.4041
result/tencent_photo2.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1527277, 273066692 req, miss ratio 0.3102, byte miss ratio 0.3102
result/tencent_photo2.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  5090924, 273066692 req, miss ratio 0.2402, byte miss ratio 0.2402
result/tencent_photo2.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 10181848, 273066692 req, miss ratio 0.2135, byte miss ratio 0.2135
result/tencent_photo2.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 20363697, 273066692 req, miss ratio 0.1962, byte miss ratio 0.1962
result/tencent_photo2.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 40727394, 273066692 req, miss ratio 0.1869, byte miss ratio 0.1869
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO-d cache size    50909, 273066692 req, miss ratio 0.6536, byte miss ratio 0.6536
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO-d cache size   152727, 273066692 req, miss ratio 0.5290, byte miss ratio 0.5290
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO-d cache size   509092, 273066692 req, miss ratio 0.4018, byte miss ratio 0.4018
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO-d cache size  1527277, 273066692 req, miss ratio 0.3103, byte miss ratio 0.3103
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO-d cache size  5090924, 273066692 req, miss ratio 0.2433, byte miss ratio 0.2433
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO-d cache size 10181848, 273066692 req, miss ratio 0.2220, byte miss ratio 0.2220
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO-d cache size 20363697, 273066692 req, miss ratio 0.1959, byte miss ratio 0.1959
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO-d cache size 40727394, 273066692 req, miss ratio 0.1871, byte miss ratio 0.1871
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO cache size    50909, 273066692 req, miss ratio 0.6585, byte miss ratio 0.6585
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO cache size   152727, 273066692 req, miss ratio 0.5250, byte miss ratio 0.5250
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO cache size   509092, 273066692 req, miss ratio 0.3968, byte miss ratio 0.3968
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO cache size  1527277, 273066692 req, miss ratio 0.3105, byte miss ratio 0.3105
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO cache size  5090924, 273066692 req, miss ratio 0.2427, byte miss ratio 0.2427
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO cache size 10181848, 273066692 req, miss ratio 0.2152, byte miss ratio 0.2152
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO cache size 20363697, 273066692 req, miss ratio 0.1959, byte miss ratio 0.1959
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO cache size 40727394, 273066692 req, miss ratio 0.1871, byte miss ratio 0.1871
result/tencent_photo2.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    50909, 273066692 req, miss ratio 0.8211, byte miss ratio 0.8211
result/tencent_photo2.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   152727, 273066692 req, miss ratio 0.7900, byte miss ratio 0.7900
result/tencent_photo2.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   509092, 273066692 req, miss ratio 0.5169, byte miss ratio 0.5169
result/tencent_photo2.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1527277, 273066692 req, miss ratio 0.6283, byte miss ratio 0.6283
result/tencent_photo2.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  5090924, 273066692 req, miss ratio 0.4333, byte miss ratio 0.4333
result/tencent_photo2.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 10181848, 273066692 req, miss ratio 0.3115, byte miss ratio 0.3115
result/tencent_photo2.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 20363697, 273066692 req, miss ratio 0.2440, byte miss ratio 0.2440
result/tencent_photo2.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 40727394, 273066692 req, miss ratio 0.2032, byte miss ratio 0.2032
result/tencent_photo2.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    50909, 273066692 req, miss ratio 0.7064, byte miss ratio 0.7064
result/tencent_photo2.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   152727, 273066692 req, miss ratio 0.7203, byte miss ratio 0.7203
result/tencent_photo2.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   509092, 273066692 req, miss ratio 0.4981, byte miss ratio 0.4981
result/tencent_photo2.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1527277, 273066692 req, miss ratio 0.5045, byte miss ratio 0.5045
result/tencent_photo2.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  5090924, 273066692 req, miss ratio 0.3117, byte miss ratio 0.3117
result/tencent_photo2.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 10181848, 273066692 req, miss ratio 0.2667, byte miss ratio 0.2667
result/tencent_photo2.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 20363697, 273066692 req, miss ratio 0.2282, byte miss ratio 0.2282
result/tencent_photo2.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 40727394, 273066692 req, miss ratio 0.1945, byte miss ratio 0.1945
