result/cdn1_nyc.ns685.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    30462, 3571285 req, miss ratio 0.2912, byte miss ratio 0.2912
result/cdn1_nyc.ns685.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   101542, 3571285 req, miss ratio 0.2855, byte miss ratio 0.2855
result/cdn1_nyc.ns685.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   203085, 3571285 req, miss ratio 0.2845, byte miss ratio 0.2845
result/cdn1_nyc.ns685.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   406170, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   812340, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1015, 3571285 req, miss ratio 0.2992, byte miss ratio 0.2992
result/cdn1_nyc.ns685.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     3046, 3571285 req, miss ratio 0.2917, byte miss ratio 0.2917
result/cdn1_nyc.ns685.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    10154, 3571285 req, miss ratio 0.2860, byte miss ratio 0.2860
result/cdn1_nyc.ns685.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    30462, 3571285 req, miss ratio 0.2846, byte miss ratio 0.2846
result/cdn1_nyc.ns685.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   101542, 3571285 req, miss ratio 0.2845, byte miss ratio 0.2845
result/cdn1_nyc.ns685.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   203085, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   406170, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   812340, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
