result/cdn1_lax.ns969.oracleGeneral.bin.zst TwoQ cache size     1185, 1994940 req, miss ratio 0.6189, byte miss ratio 0.6189
result/cdn1_lax.ns969.oracleGeneral.bin.zst TwoQ cache size     3555, 1994940 req, miss ratio 0.5962, byte miss ratio 0.5962
result/cdn1_lax.ns969.oracleGeneral.bin.zst TwoQ cache size    11851, 1994940 req, miss ratio 0.5953, byte miss ratio 0.5953
result/cdn1_lax.ns969.oracleGeneral.bin.zst TwoQ cache size    35553, 1994940 req, miss ratio 0.5946, byte miss ratio 0.5946
result/cdn1_lax.ns969.oracleGeneral.bin.zst TwoQ cache size   118510, 1994940 req, miss ratio 0.5944, byte miss ratio 0.5944
result/cdn1_lax.ns969.oracleGeneral.bin.zst TwoQ cache size   237020, 1994940 req, miss ratio 0.5943, byte miss ratio 0.5943
result/cdn1_lax.ns969.oracleGeneral.bin.zst TwoQ cache size   474041, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
result/cdn1_lax.ns969.oracleGeneral.bin.zst TwoQ cache size   948083, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
result/cdn1_lax.ns969.oracleGeneral.bin.zst B-LRU cache size     1185, 1994940 req, miss ratio 0.6856, byte miss ratio 0.6856
result/cdn1_lax.ns969.oracleGeneral.bin.zst B-LRU cache size     3555, 1994940 req, miss ratio 0.6847, byte miss ratio 0.6847
result/cdn1_lax.ns969.oracleGeneral.bin.zst B-LRU cache size    11851, 1994940 req, miss ratio 0.6837, byte miss ratio 0.6837
result/cdn1_lax.ns969.oracleGeneral.bin.zst B-LRU cache size    35553, 1994940 req, miss ratio 0.6834, byte miss ratio 0.6834
result/cdn1_lax.ns969.oracleGeneral.bin.zst B-LRU cache size   118510, 1994940 req, miss ratio 0.6833, byte miss ratio 0.6833
result/cdn1_lax.ns969.oracleGeneral.bin.zst B-LRU cache size   237020, 1994940 req, miss ratio 0.6833, byte miss ratio 0.6833
result/cdn1_lax.ns969.oracleGeneral.bin.zst B-LRU cache size   474041, 1994940 req, miss ratio 0.6833, byte miss ratio 0.6833
result/cdn1_lax.ns969.oracleGeneral.bin.zst B-LRU cache size   948083, 1994940 req, miss ratio 0.6833, byte miss ratio 0.6833
result/cdn1_lax.ns969.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1185, 1994940 req, miss ratio 0.6107, byte miss ratio 0.6107
result/cdn1_lax.ns969.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     3555, 1994940 req, miss ratio 0.6013, byte miss ratio 0.6013
result/cdn1_lax.ns969.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    11851, 1994940 req, miss ratio 0.5971, byte miss ratio 0.5971
result/cdn1_lax.ns969.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    35553, 1994940 req, miss ratio 0.5952, byte miss ratio 0.5952
result/cdn1_lax.ns969.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   118510, 1994940 req, miss ratio 0.5943, byte miss ratio 0.5943
result/cdn1_lax.ns969.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   237020, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
result/cdn1_lax.ns969.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1185, 1994940 req, miss ratio 0.6166, byte miss ratio 0.6166
result/cdn1_lax.ns969.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     3555, 1994940 req, miss ratio 0.6004, byte miss ratio 0.6004
result/cdn1_lax.ns969.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    11851, 1994940 req, miss ratio 0.5957, byte miss ratio 0.5957
result/cdn1_lax.ns969.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    35553, 1994940 req, miss ratio 0.5951, byte miss ratio 0.5951
result/cdn1_lax.ns969.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   118510, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
result/cdn1_lax.ns969.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-d cache size     1185, 1994940 req, miss ratio 0.6157, byte miss ratio 0.6157
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-d cache size     3555, 1994940 req, miss ratio 0.6037, byte miss ratio 0.6037
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-d cache size    11851, 1994940 req, miss ratio 0.5960, byte miss ratio 0.5960
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-d cache size    35553, 1994940 req, miss ratio 0.5952, byte miss ratio 0.5952
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-d cache size   118510, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-d cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-d cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-d cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO cache size     1185, 1994940 req, miss ratio 0.6316, byte miss ratio 0.6316
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO cache size     3555, 1994940 req, miss ratio 0.6163, byte miss ratio 0.6163
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO cache size    11851, 1994940 req, miss ratio 0.5960, byte miss ratio 0.5960
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO cache size    35553, 1994940 req, miss ratio 0.5952, byte miss ratio 0.5952
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO cache size   118510, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
