result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst ARC cache size   570301, 257114254 req, miss ratio 0.0028, byte miss ratio 0.0028
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size      712, 257114254 req, miss ratio 0.2354, byte miss ratio 0.2354
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     2138, 257114254 req, miss ratio 0.1071, byte miss ratio 0.1071
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     7128, 257114254 req, miss ratio 0.0298, byte miss ratio 0.0298
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    21386, 257114254 req, miss ratio 0.0072, byte miss ratio 0.0072
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    71287, 257114254 req, miss ratio 0.0037, byte miss ratio 0.0037
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   142575, 257114254 req, miss ratio 0.0032, byte miss ratio 0.0032
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   285150, 257114254 req, miss ratio 0.0029, byte miss ratio 0.0029
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   570301, 257114254 req, miss ratio 0.0028, byte miss ratio 0.0028
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LRB cache size      712, 257114254 req, miss ratio 0.2322, byte miss ratio 0.2322
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LRB cache size     2138, 257114254 req, miss ratio 0.1009, byte miss ratio 0.1009
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LRB cache size     7128, 257114254 req, miss ratio 0.0280, byte miss ratio 0.0280
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LRB cache size    21386, 257114254 req, miss ratio 0.0071, byte miss ratio 0.0071
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LRB cache size    71287, 257114254 req, miss ratio 0.0037, byte miss ratio 0.0037
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LRB cache size   142575, 257114254 req, miss ratio 0.0033, byte miss ratio 0.0033
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LRB cache size   285150, 257114254 req, miss ratio 0.0030, byte miss ratio 0.0030
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LRB cache size   570301, 257114254 req, miss ratio 0.0028, byte miss ratio 0.0028
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      712, 257114254 req, miss ratio 0.2662, byte miss ratio 0.2662
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     2138, 257114254 req, miss ratio 0.1285, byte miss ratio 0.1285
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     7128, 257114254 req, miss ratio 0.0382, byte miss ratio 0.0382
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    21386, 257114254 req, miss ratio 0.0099, byte miss ratio 0.0099
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    71287, 257114254 req, miss ratio 0.0043, byte miss ratio 0.0043
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   142575, 257114254 req, miss ratio 0.0035, byte miss ratio 0.0035
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   285150, 257114254 req, miss ratio 0.0030, byte miss ratio 0.0030
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   570301, 257114254 req, miss ratio 0.0029, byte miss ratio 0.0029
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst B-LRU cache size      712, 257114254 req, miss ratio 0.2633, byte miss ratio 0.2633
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst B-LRU cache size     2138, 257114254 req, miss ratio 0.1272, byte miss ratio 0.1272
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst B-LRU cache size     7128, 257114254 req, miss ratio 0.0353, byte miss ratio 0.0353
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst B-LRU cache size    21386, 257114254 req, miss ratio 0.0082, byte miss ratio 0.0082
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst B-LRU cache size    71287, 257114254 req, miss ratio 0.0043, byte miss ratio 0.0043
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst B-LRU cache size   142575, 257114254 req, miss ratio 0.0038, byte miss ratio 0.0038
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst B-LRU cache size   285150, 257114254 req, miss ratio 0.0038, byte miss ratio 0.0038
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst B-LRU cache size   570301, 257114254 req, miss ratio 0.0038, byte miss ratio 0.0038
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst TwoQ cache size      712, 257114254 req, miss ratio 0.2390, byte miss ratio 0.2390
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst TwoQ cache size     2138, 257114254 req, miss ratio 0.1138, byte miss ratio 0.1138
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst TwoQ cache size     7128, 257114254 req, miss ratio 0.0340, byte miss ratio 0.0340
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst TwoQ cache size    21386, 257114254 req, miss ratio 0.0085, byte miss ratio 0.0085
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst TwoQ cache size    71287, 257114254 req, miss ratio 0.0039, byte miss ratio 0.0039
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst TwoQ cache size   142575, 257114254 req, miss ratio 0.0035, byte miss ratio 0.0035
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst TwoQ cache size   285150, 257114254 req, miss ratio 0.0032, byte miss ratio 0.0032
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst TwoQ cache size   570301, 257114254 req, miss ratio 0.0029, byte miss ratio 0.0029
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      712, 257114254 req, miss ratio 0.2381, byte miss ratio 0.2381
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     2138, 257114254 req, miss ratio 0.1118, byte miss ratio 0.1118
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     7128, 257114254 req, miss ratio 0.0316, byte miss ratio 0.0316
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    21386, 257114254 req, miss ratio 0.0078, byte miss ratio 0.0078
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    71287, 257114254 req, miss ratio 0.0038, byte miss ratio 0.0038
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   142575, 257114254 req, miss ratio 0.0032, byte miss ratio 0.0032
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   285150, 257114254 req, miss ratio 0.0029, byte miss ratio 0.0029
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   570301, 257114254 req, miss ratio 0.0028, byte miss ratio 0.0028
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO cache size      712, 257114254 req, miss ratio 0.2344, byte miss ratio 0.2344
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     2138, 257114254 req, miss ratio 0.1060, byte miss ratio 0.1060
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     7128, 257114254 req, miss ratio 0.0301, byte miss ratio 0.0301
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    21386, 257114254 req, miss ratio 0.0073, byte miss ratio 0.0073
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    71287, 257114254 req, miss ratio 0.0037, byte miss ratio 0.0037
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   142575, 257114254 req, miss ratio 0.0032, byte miss ratio 0.0032
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   285150, 257114254 req, miss ratio 0.0029, byte miss ratio 0.0029
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   570301, 257114254 req, miss ratio 0.0028, byte miss ratio 0.0028
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size      712, 257114254 req, miss ratio 0.2379, byte miss ratio 0.2379
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     2138, 257114254 req, miss ratio 0.1065, byte miss ratio 0.1065
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     7128, 257114254 req, miss ratio 0.0308, byte miss ratio 0.0308
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    21386, 257114254 req, miss ratio 0.0073, byte miss ratio 0.0073
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    71287, 257114254 req, miss ratio 0.0037, byte miss ratio 0.0037
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   142575, 257114254 req, miss ratio 0.0032, byte miss ratio 0.0032
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   285150, 257114254 req, miss ratio 0.0029, byte miss ratio 0.0029
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   570301, 257114254 req, miss ratio 0.0028, byte miss ratio 0.0028
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      712, 257114254 req, miss ratio 0.2536, byte miss ratio 0.2536
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     2138, 257114254 req, miss ratio 0.1117, byte miss ratio 0.1117
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     7128, 257114254 req, miss ratio 0.0297, byte miss ratio 0.0297
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    21386, 257114254 req, miss ratio 0.0077, byte miss ratio 0.0077
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    71287, 257114254 req, miss ratio 0.0042, byte miss ratio 0.0042
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   142575, 257114254 req, miss ratio 0.0036, byte miss ratio 0.0036
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   285150, 257114254 req, miss ratio 0.0032, byte miss ratio 0.0032
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   570301, 257114254 req, miss ratio 0.0029, byte miss ratio 0.0029
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      712, 257114254 req, miss ratio 0.2310, byte miss ratio 0.2310
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     2138, 257114254 req, miss ratio 0.1012, byte miss ratio 0.1012
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     7128, 257114254 req, miss ratio 0.0298, byte miss ratio 0.0298
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    21386, 257114254 req, miss ratio 0.0077, byte miss ratio 0.0077
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    71287, 257114254 req, miss ratio 0.0041, byte miss ratio 0.0041
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   142575, 257114254 req, miss ratio 0.0035, byte miss ratio 0.0035
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   285150, 257114254 req, miss ratio 0.0032, byte miss ratio 0.0032
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   570301, 257114254 req, miss ratio 0.0029, byte miss ratio 0.0029
