result/w43.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   744516, 15617420 req, miss ratio 0.4408, byte miss ratio 0.4408
result/w43.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size  1489033, 15617420 req, miss ratio 0.2802, byte miss ratio 0.2802
result/w43.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size  2978066, 15617420 req, miss ratio 0.2410, byte miss ratio 0.2410
result/w43.oracleGeneral.bin.zst S3FIFO-d cache size     3722, 15617420 req, miss ratio 0.8309, byte miss ratio 0.8309
result/w43.oracleGeneral.bin.zst S3FIFO-d cache size    11167, 15617420 req, miss ratio 0.8036, byte miss ratio 0.8036
result/w43.oracleGeneral.bin.zst S3FIFO-d cache size    37225, 15617420 req, miss ratio 0.7310, byte miss ratio 0.7310
result/w43.oracleGeneral.bin.zst S3FIFO-d cache size   111677, 15617420 req, miss ratio 0.6479, byte miss ratio 0.6479
result/w43.oracleGeneral.bin.zst S3FIFO-d cache size   372258, 15617420 req, miss ratio 0.5731, byte miss ratio 0.5731
result/w43.oracleGeneral.bin.zst S3FIFO-d cache size   744516, 15617420 req, miss ratio 0.4791, byte miss ratio 0.4791
result/w43.oracleGeneral.bin.zst S3FIFO-d cache size  1489033, 15617420 req, miss ratio 0.2748, byte miss ratio 0.2748
result/w43.oracleGeneral.bin.zst S3FIFO-d cache size  2978066, 15617420 req, miss ratio 0.2421, byte miss ratio 0.2421
result/w43.oracleGeneral.bin.zst S3FIFO cache size     3722, 15617420 req, miss ratio 0.8328, byte miss ratio 0.8328
result/w43.oracleGeneral.bin.zst S3FIFO cache size    11167, 15617420 req, miss ratio 0.8036, byte miss ratio 0.8036
result/w43.oracleGeneral.bin.zst S3FIFO cache size    37225, 15617420 req, miss ratio 0.7329, byte miss ratio 0.7329
result/w43.oracleGeneral.bin.zst S3FIFO cache size   111677, 15617420 req, miss ratio 0.6491, byte miss ratio 0.6491
result/w43.oracleGeneral.bin.zst S3FIFO cache size   372258, 15617420 req, miss ratio 0.5738, byte miss ratio 0.5738
result/w43.oracleGeneral.bin.zst S3FIFO cache size   744516, 15617420 req, miss ratio 0.4074, byte miss ratio 0.4074
result/w43.oracleGeneral.bin.zst S3FIFO cache size  1489033, 15617420 req, miss ratio 0.2746, byte miss ratio 0.2746
result/w43.oracleGeneral.bin.zst S3FIFO cache size  2978066, 15617420 req, miss ratio 0.2421, byte miss ratio 0.2421
result/w43.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     3722, 15617420 req, miss ratio 0.8661, byte miss ratio 0.8661
