result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  5363229, 121795012 req, miss ratio 0.4999, byte miss ratio 0.4999
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 10726458, 121795012 req, miss ratio 0.4864, byte miss ratio 0.4864
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 21452916, 121795012 req, miss ratio 0.4668, byte miss ratio 0.4668
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 42905832, 121795012 req, miss ratio 0.4445, byte miss ratio 0.4445
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    53632, 121795012 req, miss ratio 0.5391, byte miss ratio 0.5391
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   160896, 121795012 req, miss ratio 0.5252, byte miss ratio 0.5252
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   536322, 121795012 req, miss ratio 0.5118, byte miss ratio 0.5118
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1608968, 121795012 req, miss ratio 0.5022, byte miss ratio 0.5022
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  5363229, 121795012 req, miss ratio 0.4892, byte miss ratio 0.4892
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 10726458, 121795012 req, miss ratio 0.4766, byte miss ratio 0.4766
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 21452916, 121795012 req, miss ratio 0.4608, byte miss ratio 0.4608
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 42905832, 121795012 req, miss ratio 0.4426, byte miss ratio 0.4426
