result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   175678, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   351357, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LRB cache size      439, 654038818 req, miss ratio 0.2204, byte miss ratio 0.2204
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LRB cache size     1317, 654038818 req, miss ratio 0.1225, byte miss ratio 0.1225
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LRB cache size     4391, 654038818 req, miss ratio 0.0512, byte miss ratio 0.0512
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LRB cache size    13175, 654038818 req, miss ratio 0.0153, byte miss ratio 0.0153
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LRB cache size    43919, 654038818 req, miss ratio 0.0033, byte miss ratio 0.0033
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LRB cache size    87839, 654038818 req, miss ratio 0.0012, byte miss ratio 0.0012
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LRB cache size   175678, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LRB cache size   351357, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      439, 654038818 req, miss ratio 0.2466, byte miss ratio 0.2466
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     1317, 654038818 req, miss ratio 0.1481, byte miss ratio 0.1481
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     4391, 654038818 req, miss ratio 0.0677, byte miss ratio 0.0677
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    13175, 654038818 req, miss ratio 0.0225, byte miss ratio 0.0225
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    43919, 654038818 req, miss ratio 0.0043, byte miss ratio 0.0043
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    87839, 654038818 req, miss ratio 0.0019, byte miss ratio 0.0019
