result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    96904, 111641628 req, miss ratio 0.1234, byte miss ratio 0.1234
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   290712, 111641628 req, miss ratio 0.1030, byte miss ratio 0.1030
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   969041, 111641628 req, miss ratio 0.0917, byte miss ratio 0.0917
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1938082, 111641628 req, miss ratio 0.0888, byte miss ratio 0.0888
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  3876164, 111641628 req, miss ratio 0.0874, byte miss ratio 0.0874
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  7752328, 111641628 req, miss ratio 0.0868, byte miss ratio 0.0868
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     9690, 111641628 req, miss ratio 0.1922, byte miss ratio 0.1922
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    29071, 111641628 req, miss ratio 0.1529, byte miss ratio 0.1529
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    96904, 111641628 req, miss ratio 0.1207, byte miss ratio 0.1207
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   290712, 111641628 req, miss ratio 0.1021, byte miss ratio 0.1021
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   969041, 111641628 req, miss ratio 0.0917, byte miss ratio 0.0917
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  1938082, 111641628 req, miss ratio 0.0889, byte miss ratio 0.0889
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  3876164, 111641628 req, miss ratio 0.0873, byte miss ratio 0.0873
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  7752328, 111641628 req, miss ratio 0.0868, byte miss ratio 0.0868
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     9690, 111641628 req, miss ratio 0.1920, byte miss ratio 0.1920
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    29071, 111641628 req, miss ratio 0.1533, byte miss ratio 0.1533
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    96904, 111641628 req, miss ratio 0.1217, byte miss ratio 0.1217
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   290712, 111641628 req, miss ratio 0.1036, byte miss ratio 0.1036
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   969041, 111641628 req, miss ratio 0.0932, byte miss ratio 0.0932
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  1938082, 111641628 req, miss ratio 0.0897, byte miss ratio 0.0897
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  3876164, 111641628 req, miss ratio 0.0873, byte miss ratio 0.0873
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  7752328, 111641628 req, miss ratio 0.0868, byte miss ratio 0.0868
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     9690, 111641628 req, miss ratio 0.2046, byte miss ratio 0.2046
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    29071, 111641628 req, miss ratio 0.1753, byte miss ratio 0.1753
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    96904, 111641628 req, miss ratio 0.2127, byte miss ratio 0.2127
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   290712, 111641628 req, miss ratio 0.1943, byte miss ratio 0.1943
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   969041, 111641628 req, miss ratio 0.1213, byte miss ratio 0.1213
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1938082, 111641628 req, miss ratio 0.1125, byte miss ratio 0.1125
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  3876164, 111641628 req, miss ratio 0.1029, byte miss ratio 0.1029
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  7752328, 111641628 req, miss ratio 0.0913, byte miss ratio 0.0913
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     9690, 111641628 req, miss ratio 0.2037, byte miss ratio 0.2037
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    29071, 111641628 req, miss ratio 0.1727, byte miss ratio 0.1727
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    96904, 111641628 req, miss ratio 0.1489, byte miss ratio 0.1489
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   290712, 111641628 req, miss ratio 0.1312, byte miss ratio 0.1312
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   969041, 111641628 req, miss ratio 0.1111, byte miss ratio 0.1111
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1938082, 111641628 req, miss ratio 0.1021, byte miss ratio 0.1021
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  3876164, 111641628 req, miss ratio 0.0939, byte miss ratio 0.0939
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  7752328, 111641628 req, miss ratio 0.0877, byte miss ratio 0.0877
