result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst TwoQ cache size 31904446, 81422217 req, miss ratio 0.9814, byte miss ratio 0.9814
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst TwoQ cache size 63808892, 81422217 req, miss ratio 0.9799, byte miss ratio 0.9799
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst B-LRU cache size    79761, 81422217 req, miss ratio 0.9961, byte miss ratio 0.9961
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst B-LRU cache size   239283, 81422217 req, miss ratio 0.9944, byte miss ratio 0.9944
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst B-LRU cache size   797611, 81422217 req, miss ratio 0.9934, byte miss ratio 0.9934
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst B-LRU cache size  2392833, 81422217 req, miss ratio 0.9934, byte miss ratio 0.9934
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst B-LRU cache size  7976111, 81422217 req, miss ratio 0.9934, byte miss ratio 0.9934
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst B-LRU cache size 15952223, 81422217 req, miss ratio 0.9934, byte miss ratio 0.9934
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst B-LRU cache size 31904446, 81422217 req, miss ratio 0.9934, byte miss ratio 0.9934
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst B-LRU cache size 63808892, 81422217 req, miss ratio 0.9934, byte miss ratio 0.9934
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    79761, 81422217 req, miss ratio 0.9925, byte miss ratio 0.9925
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   239283, 81422217 req, miss ratio 0.9915, byte miss ratio 0.9915
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   797611, 81422217 req, miss ratio 0.9898, byte miss ratio 0.9898
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  2392833, 81422217 req, miss ratio 0.9874, byte miss ratio 0.9874
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  7976111, 81422217 req, miss ratio 0.9845, byte miss ratio 0.9845
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 15952223, 81422217 req, miss ratio 0.9824, byte miss ratio 0.9824
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 31904446, 81422217 req, miss ratio 0.9806, byte miss ratio 0.9806
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 63808892, 81422217 req, miss ratio 0.9797, byte miss ratio 0.9797
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    79761, 81422217 req, miss ratio 0.9925, byte miss ratio 0.9925
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   239283, 81422217 req, miss ratio 0.9919, byte miss ratio 0.9919
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   797611, 81422217 req, miss ratio 0.9908, byte miss ratio 0.9908
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  2392833, 81422217 req, miss ratio 0.9885, byte miss ratio 0.9885
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  7976111, 81422217 req, miss ratio 0.9851, byte miss ratio 0.9851
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 15952223, 81422217 req, miss ratio 0.9830, byte miss ratio 0.9830
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 31904446, 81422217 req, miss ratio 0.9810, byte miss ratio 0.9810
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 63808892, 81422217 req, miss ratio 0.9797, byte miss ratio 0.9797
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    79761, 81422217 req, miss ratio 0.9921, byte miss ratio 0.9921
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   239283, 81422217 req, miss ratio 0.9911, byte miss ratio 0.9911
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   797611, 81422217 req, miss ratio 0.9888, byte miss ratio 0.9888
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  2392833, 81422217 req, miss ratio 0.9867, byte miss ratio 0.9867
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  7976111, 81422217 req, miss ratio 0.9838, byte miss ratio 0.9838
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size 15952223, 81422217 req, miss ratio 0.9821, byte miss ratio 0.9821
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size 31904446, 81422217 req, miss ratio 0.9810, byte miss ratio 0.9810
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size 63808892, 81422217 req, miss ratio 0.9797, byte miss ratio 0.9797
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    79761, 81422217 req, miss ratio 0.9921, byte miss ratio 0.9921
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   239283, 81422217 req, miss ratio 0.9911, byte miss ratio 0.9911
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   797611, 81422217 req, miss ratio 0.9888, byte miss ratio 0.9888
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  2392833, 81422217 req, miss ratio 0.9867, byte miss ratio 0.9867
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  7976111, 81422217 req, miss ratio 0.9838, byte miss ratio 0.9838
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S3FIFO cache size 15952223, 81422217 req, miss ratio 0.9821, byte miss ratio 0.9821
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S3FIFO cache size 31904446, 81422217 req, miss ratio 0.9810, byte miss ratio 0.9810
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst S3FIFO cache size 63808892, 81422217 req, miss ratio 0.9797, byte miss ratio 0.9797
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    79761, 81422217 req, miss ratio 0.9938, byte miss ratio 0.9938
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   239283, 81422217 req, miss ratio 0.9931, byte miss ratio 0.9931
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   797611, 81422217 req, miss ratio 0.9922, byte miss ratio 0.9922
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  2392833, 81422217 req, miss ratio 0.9908, byte miss ratio 0.9908
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  7976111, 81422217 req, miss ratio 0.9886, byte miss ratio 0.9886
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 15952223, 81422217 req, miss ratio 0.9864, byte miss ratio 0.9864
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 31904446, 81422217 req, miss ratio 0.9837, byte miss ratio 0.9837
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 63808892, 81422217 req, miss ratio 0.9804, byte miss ratio 0.9804
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    79761, 81422217 req, miss ratio 0.9932, byte miss ratio 0.9932
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   239283, 81422217 req, miss ratio 0.9926, byte miss ratio 0.9926
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   797611, 81422217 req, miss ratio 0.9916, byte miss ratio 0.9916
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  2392833, 81422217 req, miss ratio 0.9903, byte miss ratio 0.9903
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  7976111, 81422217 req, miss ratio 0.9871, byte miss ratio 0.9871
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 15952223, 81422217 req, miss ratio 0.9845, byte miss ratio 0.9845
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 31904446, 81422217 req, miss ratio 0.9822, byte miss ratio 0.9822
result/twemcache_notification_delivery_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 63808892, 81422217 req, miss ratio 0.9801, byte miss ratio 0.9801
