result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst TwoQ cache size 31703082, 825591125 req, miss ratio 0.0487, byte miss ratio 0.0487
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    39628, 825591125 req, miss ratio 0.2081, byte miss ratio 0.2081
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   118886, 825591125 req, miss ratio 0.1472, byte miss ratio 0.1472
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   396288, 825591125 req, miss ratio 0.0987, byte miss ratio 0.0987
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1188865, 825591125 req, miss ratio 0.0711, byte miss ratio 0.0711
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  3962885, 825591125 req, miss ratio 0.0562, byte miss ratio 0.0562
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  7925770, 825591125 req, miss ratio 0.0518, byte miss ratio 0.0518
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 15851541, 825591125 req, miss ratio 0.0490, byte miss ratio 0.0490
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 31703082, 825591125 req, miss ratio 0.0482, byte miss ratio 0.0482
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst B-LRU cache size    39628, 825591125 req, miss ratio 0.2645, byte miss ratio 0.2645
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst B-LRU cache size   118886, 825591125 req, miss ratio 0.2012, byte miss ratio 0.2012
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst B-LRU cache size   396288, 825591125 req, miss ratio 0.1501, byte miss ratio 0.1501
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst B-LRU cache size  1188865, 825591125 req, miss ratio 0.1206, byte miss ratio 0.1206
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst B-LRU cache size  3962885, 825591125 req, miss ratio 0.1038, byte miss ratio 0.1038
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst B-LRU cache size  7925770, 825591125 req, miss ratio 0.0991, byte miss ratio 0.0991
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst B-LRU cache size 15851541, 825591125 req, miss ratio 0.0971, byte miss ratio 0.0971
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst B-LRU cache size 31703082, 825591125 req, miss ratio 0.0961, byte miss ratio 0.0961
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    39628, 825591125 req, miss ratio 0.1928, byte miss ratio 0.1928
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   118886, 825591125 req, miss ratio 0.1377, byte miss ratio 0.1377
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   396288, 825591125 req, miss ratio 0.0937, byte miss ratio 0.0937
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1188865, 825591125 req, miss ratio 0.0686, byte miss ratio 0.0686
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  3962885, 825591125 req, miss ratio 0.0544, byte miss ratio 0.0544
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  7925770, 825591125 req, miss ratio 0.0507, byte miss ratio 0.0507
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 15851541, 825591125 req, miss ratio 0.0488, byte miss ratio 0.0488
