result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  8639062, 108901801 req, miss ratio 0.2427, byte miss ratio 0.2427
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 17278124, 108901801 req, miss ratio 0.2048, byte miss ratio 0.2048
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst B-LRU cache size    21597, 108901801 req, miss ratio 0.8158, byte miss ratio 0.8158
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst B-LRU cache size    64792, 108901801 req, miss ratio 0.7241, byte miss ratio 0.7241
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst B-LRU cache size   215976, 108901801 req, miss ratio 0.6079, byte miss ratio 0.6079
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst B-LRU cache size   647929, 108901801 req, miss ratio 0.4952, byte miss ratio 0.4952
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst B-LRU cache size  2159765, 108901801 req, miss ratio 0.4171, byte miss ratio 0.4171
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst B-LRU cache size  4319531, 108901801 req, miss ratio 0.3680, byte miss ratio 0.3680
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst B-LRU cache size  8639062, 108901801 req, miss ratio 0.3304, byte miss ratio 0.3304
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst B-LRU cache size 17278124, 108901801 req, miss ratio 0.3239, byte miss ratio 0.3239
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    21597, 108901801 req, miss ratio 0.7160, byte miss ratio 0.7160
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    64792, 108901801 req, miss ratio 0.6295, byte miss ratio 0.6295
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   215976, 108901801 req, miss ratio 0.5251, byte miss ratio 0.5251
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   647929, 108901801 req, miss ratio 0.4187, byte miss ratio 0.4187
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  2159765, 108901801 req, miss ratio 0.3317, byte miss ratio 0.3317
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  4319531, 108901801 req, miss ratio 0.3044, byte miss ratio 0.3044
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  8639062, 108901801 req, miss ratio 0.2437, byte miss ratio 0.2437
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size 17278124, 108901801 req, miss ratio 0.2015, byte miss ratio 0.2015
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    21597, 108901801 req, miss ratio 0.7042, byte miss ratio 0.7042
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    64792, 108901801 req, miss ratio 0.6243, byte miss ratio 0.6243
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   215976, 108901801 req, miss ratio 0.5197, byte miss ratio 0.5197
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   647929, 108901801 req, miss ratio 0.4241, byte miss ratio 0.4241
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  2159765, 108901801 req, miss ratio 0.3356, byte miss ratio 0.3356
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  4319531, 108901801 req, miss ratio 0.2807, byte miss ratio 0.2807
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  8639062, 108901801 req, miss ratio 0.2347, byte miss ratio 0.2347
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO cache size 17278124, 108901801 req, miss ratio 0.2015, byte miss ratio 0.2015
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    21597, 108901801 req, miss ratio 0.7513, byte miss ratio 0.7513
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    64792, 108901801 req, miss ratio 0.7532, byte miss ratio 0.7532
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   215976, 108901801 req, miss ratio 0.5748, byte miss ratio 0.5748
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   647929, 108901801 req, miss ratio 0.5790, byte miss ratio 0.5790
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  2159765, 108901801 req, miss ratio 0.3954, byte miss ratio 0.3954
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  4319531, 108901801 req, miss ratio 0.3300, byte miss ratio 0.3300
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  8639062, 108901801 req, miss ratio 0.2651, byte miss ratio 0.2651
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 17278124, 108901801 req, miss ratio 0.2103, byte miss ratio 0.2103
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    21597, 108901801 req, miss ratio 0.7514, byte miss ratio 0.7514
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    64792, 108901801 req, miss ratio 0.6775, byte miss ratio 0.6775
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   215976, 108901801 req, miss ratio 0.5623, byte miss ratio 0.5623
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   647929, 108901801 req, miss ratio 0.4738, byte miss ratio 0.4738
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  2159765, 108901801 req, miss ratio 0.3748, byte miss ratio 0.3748
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  4319531, 108901801 req, miss ratio 0.3037, byte miss ratio 0.3037
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  8639062, 108901801 req, miss ratio 0.2460, byte miss ratio 0.2460
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 17278124, 108901801 req, miss ratio 0.2078, byte miss ratio 0.2078
