result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    17799, 51790270 req, miss ratio 0.3438, byte miss ratio 0.3438
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    53397, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   177992, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   533978, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  1779928, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  3559856, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  7119713, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size 14239427, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    17799, 51790270 req, miss ratio 0.3438, byte miss ratio 0.3438
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    53397, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   177992, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   533978, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  1779928, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  3559856, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  7119713, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO cache size 14239427, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    17799, 51790270 req, miss ratio 0.3454, byte miss ratio 0.3454
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    53397, 51790270 req, miss ratio 0.3444, byte miss ratio 0.3444
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   177992, 51790270 req, miss ratio 0.3439, byte miss ratio 0.3439
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   533978, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1779928, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  3559856, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  7119713, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 14239427, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    17799, 51790270 req, miss ratio 0.3439, byte miss ratio 0.3439
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    53397, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   177992, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   533978, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1779928, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  3559856, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  7119713, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 14239427, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
