result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  1635798, 99119244 req, miss ratio 0.0515, byte miss ratio 0.0515
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  3271596, 99119244 req, miss ratio 0.0423, byte miss ratio 0.0423
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     4089, 99119244 req, miss ratio 0.4235, byte miss ratio 0.4235
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    12268, 99119244 req, miss ratio 0.3249, byte miss ratio 0.3249
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    40894, 99119244 req, miss ratio 0.2339, byte miss ratio 0.2339
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   122684, 99119244 req, miss ratio 0.1669, byte miss ratio 0.1669
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   408949, 99119244 req, miss ratio 0.0975, byte miss ratio 0.0975
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   817899, 99119244 req, miss ratio 0.0690, byte miss ratio 0.0690
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  1635798, 99119244 req, miss ratio 0.0533, byte miss ratio 0.0533
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  3271596, 99119244 req, miss ratio 0.0423, byte miss ratio 0.0423
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     4089, 99119244 req, miss ratio 0.5087, byte miss ratio 0.5087
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    12268, 99119244 req, miss ratio 0.4342, byte miss ratio 0.4342
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    40894, 99119244 req, miss ratio 0.3386, byte miss ratio 0.3386
