result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   158099, 1235361853 req, miss ratio 0.1885, byte miss ratio 0.1885
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   526999, 1235361853 req, miss ratio 0.1214, byte miss ratio 0.1214
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  1580999, 1235361853 req, miss ratio 0.0888, byte miss ratio 0.0888
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  5269998, 1235361853 req, miss ratio 0.0623, byte miss ratio 0.0623
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO cache size 10539996, 1235361853 req, miss ratio 0.0516, byte miss ratio 0.0516
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO cache size 21079992, 1235361853 req, miss ratio 0.0457, byte miss ratio 0.0457
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO cache size 42159985, 1235361853 req, miss ratio 0.0427, byte miss ratio 0.0427
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    52699, 1235361853 req, miss ratio 0.4046, byte miss ratio 0.4046
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   158099, 1235361853 req, miss ratio 0.2868, byte miss ratio 0.2868
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   526999, 1235361853 req, miss ratio 0.3794, byte miss ratio 0.3794
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1580999, 1235361853 req, miss ratio 0.2627, byte miss ratio 0.2627
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  5269998, 1235361853 req, miss ratio 0.0897, byte miss ratio 0.0897
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 10539996, 1235361853 req, miss ratio 0.0676, byte miss ratio 0.0676
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 21079992, 1235361853 req, miss ratio 0.0560, byte miss ratio 0.0560
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 42159985, 1235361853 req, miss ratio 0.0460, byte miss ratio 0.0460
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    52699, 1235361853 req, miss ratio 0.5009, byte miss ratio 0.5009
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   158099, 1235361853 req, miss ratio 0.3982, byte miss ratio 0.3982
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   526999, 1235361853 req, miss ratio 0.2418, byte miss ratio 0.2418
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1580999, 1235361853 req, miss ratio 0.1257, byte miss ratio 0.1257
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  5269998, 1235361853 req, miss ratio 0.0734, byte miss ratio 0.0734
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 10539996, 1235361853 req, miss ratio 0.0607, byte miss ratio 0.0607
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 21079992, 1235361853 req, miss ratio 0.0524, byte miss ratio 0.0524
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 42159985, 1235361853 req, miss ratio 0.0461, byte miss ratio 0.0461
