result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst TwoQ cache size    42623, 9601695 req, miss ratio 0.4706, byte miss ratio 0.4706
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst TwoQ cache size   127870, 9601695 req, miss ratio 0.4551, byte miss ratio 0.4551
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst TwoQ cache size   426234, 9601695 req, miss ratio 0.4464, byte miss ratio 0.4464
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst TwoQ cache size   852468, 9601695 req, miss ratio 0.4441, byte miss ratio 0.4441
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst TwoQ cache size  1704936, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst TwoQ cache size  3409872, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     4262, 9601695 req, miss ratio 0.4794, byte miss ratio 0.4794
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    12787, 9601695 req, miss ratio 0.4749, byte miss ratio 0.4749
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    42623, 9601695 req, miss ratio 0.4672, byte miss ratio 0.4672
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   127870, 9601695 req, miss ratio 0.4584, byte miss ratio 0.4584
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   426234, 9601695 req, miss ratio 0.4507, byte miss ratio 0.4507
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   852468, 9601695 req, miss ratio 0.4463, byte miss ratio 0.4463
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1704936, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  3409872, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst B-LRU cache size     4262, 9601695 req, miss ratio 0.9227, byte miss ratio 0.9227
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst B-LRU cache size    12787, 9601695 req, miss ratio 0.9204, byte miss ratio 0.9204
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst B-LRU cache size    42623, 9601695 req, miss ratio 0.9076, byte miss ratio 0.9076
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst B-LRU cache size   127870, 9601695 req, miss ratio 0.8976, byte miss ratio 0.8976
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst B-LRU cache size   426234, 9601695 req, miss ratio 0.8900, byte miss ratio 0.8900
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst B-LRU cache size   852468, 9601695 req, miss ratio 0.8879, byte miss ratio 0.8879
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst B-LRU cache size  1704936, 9601695 req, miss ratio 0.8878, byte miss ratio 0.8878
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst B-LRU cache size  3409872, 9601695 req, miss ratio 0.8878, byte miss ratio 0.8878
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     4262, 9601695 req, miss ratio 0.4802, byte miss ratio 0.4802
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    12787, 9601695 req, miss ratio 0.4769, byte miss ratio 0.4769
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    42623, 9601695 req, miss ratio 0.4718, byte miss ratio 0.4718
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   127870, 9601695 req, miss ratio 0.4655, byte miss ratio 0.4655
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   426234, 9601695 req, miss ratio 0.4495, byte miss ratio 0.4495
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   852468, 9601695 req, miss ratio 0.4444, byte miss ratio 0.4444
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  1704936, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  3409872, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     4262, 9601695 req, miss ratio 0.4795, byte miss ratio 0.4795
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    12787, 9601695 req, miss ratio 0.4766, byte miss ratio 0.4766
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    42623, 9601695 req, miss ratio 0.4716, byte miss ratio 0.4716
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   127870, 9601695 req, miss ratio 0.4618, byte miss ratio 0.4618
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   426234, 9601695 req, miss ratio 0.4494, byte miss ratio 0.4494
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   852468, 9601695 req, miss ratio 0.4444, byte miss ratio 0.4444
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  1704936, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  3409872, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     4262, 9601695 req, miss ratio 0.4921, byte miss ratio 0.4921
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    12787, 9601695 req, miss ratio 0.4885, byte miss ratio 0.4885
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    42623, 9601695 req, miss ratio 0.4825, byte miss ratio 0.4825
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   127870, 9601695 req, miss ratio 0.4795, byte miss ratio 0.4795
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   426234, 9601695 req, miss ratio 0.4740, byte miss ratio 0.4740
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   852468, 9601695 req, miss ratio 0.4692, byte miss ratio 0.4692
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1704936, 9601695 req, miss ratio 0.4617, byte miss ratio 0.4617
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  3409872, 9601695 req, miss ratio 0.4483, byte miss ratio 0.4483
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     4262, 9601695 req, miss ratio 0.4836, byte miss ratio 0.4836
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    12787, 9601695 req, miss ratio 0.4813, byte miss ratio 0.4813
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    42623, 9601695 req, miss ratio 0.4778, byte miss ratio 0.4778
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   127870, 9601695 req, miss ratio 0.4748, byte miss ratio 0.4748
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   426234, 9601695 req, miss ratio 0.4618, byte miss ratio 0.4618
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   852468, 9601695 req, miss ratio 0.4545, byte miss ratio 0.4545
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1704936, 9601695 req, miss ratio 0.4486, byte miss ratio 0.4486
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  3409872, 9601695 req, miss ratio 0.4445, byte miss ratio 0.4445
