result/user_aggregates_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   476362, 35514911 req, miss ratio 0.0192, byte miss ratio 0.0192
result/user_aggregates_cache.1.oracleGeneral.sample10.zst TwoQ cache size      595, 35514911 req, miss ratio 0.2769, byte miss ratio 0.2769
result/user_aggregates_cache.1.oracleGeneral.sample10.zst TwoQ cache size     1786, 35514911 req, miss ratio 0.2187, byte miss ratio 0.2187
result/user_aggregates_cache.1.oracleGeneral.sample10.zst TwoQ cache size     5954, 35514911 req, miss ratio 0.1574, byte miss ratio 0.1574
result/user_aggregates_cache.1.oracleGeneral.sample10.zst TwoQ cache size    17863, 35514911 req, miss ratio 0.1090, byte miss ratio 0.1090
result/user_aggregates_cache.1.oracleGeneral.sample10.zst TwoQ cache size    59545, 35514911 req, miss ratio 0.0661, byte miss ratio 0.0661
result/user_aggregates_cache.1.oracleGeneral.sample10.zst TwoQ cache size   119090, 35514911 req, miss ratio 0.0449, byte miss ratio 0.0449
result/user_aggregates_cache.1.oracleGeneral.sample10.zst TwoQ cache size   238181, 35514911 req, miss ratio 0.0291, byte miss ratio 0.0291
result/user_aggregates_cache.1.oracleGeneral.sample10.zst TwoQ cache size   476362, 35514911 req, miss ratio 0.0201, byte miss ratio 0.0201
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      595, 35514911 req, miss ratio 0.2972, byte miss ratio 0.2972
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     1786, 35514911 req, miss ratio 0.2228, byte miss ratio 0.2228
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     5954, 35514911 req, miss ratio 0.1526, byte miss ratio 0.1526
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    17863, 35514911 req, miss ratio 0.1072, byte miss ratio 0.1072
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    59545, 35514911 req, miss ratio 0.0661, byte miss ratio 0.0661
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   119090, 35514911 req, miss ratio 0.0467, byte miss ratio 0.0467
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   238181, 35514911 req, miss ratio 0.0286, byte miss ratio 0.0286
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   476362, 35514911 req, miss ratio 0.0174, byte miss ratio 0.0174
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size      595, 35514911 req, miss ratio 0.2829, byte miss ratio 0.2829
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     1786, 35514911 req, miss ratio 0.2163, byte miss ratio 0.2163
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     5954, 35514911 req, miss ratio 0.1502, byte miss ratio 0.1502
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    17863, 35514911 req, miss ratio 0.1051, byte miss ratio 0.1051
